"","Code","Functional_Group","Species","Scientific_Name","SVSPP","NESPP3","Species_Itis","isFishedSpecies"
"108","COD","Atlantic cod","Atlantic cod","GADUS MORHUA",73,81,164712,TRUE
"109","COD","Atlantic cod","Atlantic cod","GADUS MORHUA",73,82,164712,TRUE
"110","DC","Carrion","Carrion",NA,NA,NA,NA,FALSE
"111","DF","Dinoflagellates","Dinoflagellates",NA,NA,NA,NA,FALSE
"112","DL","Labile detritus","Labile detritus",NA,NA,NA,NA,FALSE
"113","DOG","Spiny dogfish","Spiny dogfish","SQUALUS ACANTHIAS",15,352,160617,TRUE
"114","DR","Refractory detritus","Refractory detritus",NA,NA,NA,NA,FALSE
"115","DRM","Drums and croakers","Atlantic croaker","MICROPOGONIAS UNDULATUS",136,90,169283,FALSE
"116","DRM","Drums and croakers","Black drum","POGONIAS CROMIS",147,106,169288,FALSE
"117","DRM","Drums and croakers","Northern kingfish","MENTICIRRHUS SAXATILIS",146,196,169276,FALSE
"118","DRM","Drums and croakers","Weakfish","CYNOSCION REGALIS",145,344,169241,FALSE
"119","DRM","Drums and croakers","Spot","LEIOSTOMUS XANTHURUS",149,406,169267,FALSE
"120","DRM","Drums and croakers","Silver perch",NA,148,NA,NA,FALSE
"121","DRM","Spotted weakfish","Spotted weakfish","CYNOSCION NEBULOSUS",NA,345,169239,TRUE
"122","DRM","Nk drum","Nk drum","SCIAENIDAE",NA,104,169237,TRUE
"123","DRM","Red drum","Red drum","SCIAENOPS OCELLATUS",NA,107,169290,TRUE
"124","DSH","Other demersal sharks","Chain dogfish","SCYLIORHINUS RETIFER",14,346,160060,FALSE
"125","DSH","Other demersal sharks","Nurse shark","GINGLYMOSTOMA CIRRATUM",350,348,159977,FALSE
"126","DSH","Other demersal sharks","Sand tiger","CARCHARIAS TAURUS",12,349,159888,FALSE
"127","DSH","Other demersal sharks","Thresher shark","ALOPIAS VULPINUS",925,353,159916,FALSE
"128","DSH","Other demersal sharks","Atlantic angel shark","SQUATINA DUMERIL",16,477,160787,FALSE
"129","DSH","Other demersal sharks","Scalloped hammerhead","SPHYRNA LEWINI",362,478,160508,FALSE
"130","DSH","Other demersal sharks","Bull shark","CARCHARHINUS LEUCAS",356,489,160275,FALSE
"131","DSH","Other demersal sharks","Lemon shark","NEGAPRION BREVIROSTRIS",359,492,160433,FALSE
"132","DSH","Other demersal sharks","Sharpnose shark","RHIZOPRIONODON TERRAENOVAE",360,494,160200,FALSE
"133","DSH","Thresher unc shark","Thresher unc shark","ALOPIAS",NA,360,159915,TRUE
"134","DSH","Hammerhead shark","Hammerhead shark","SPHYRNIDAE",NA,495,160497,TRUE
"135","DSH","Hmhd smooth shark","Hmhd smooth shark","SPHYRNA ZYGAENA",NA,479,160505,TRUE
"136","DSH","Bonnethead shark","Bonnethead shark","SPHYRNA TIBURO",NA,476,160502,TRUE
"137","DSH","Night shark","Night shark","CARCHARHINUS SIGNATUS",NA,486,160413,TRUE
"138","FDE","Shallow demersal fish","Alewife","ALOSA PSEUDOHARENGUS",33,1,161706,FALSE
"139","FDE","Shallow demersal fish","Blueback herring","ALOSA AESTIVALIS",34,112,161703,FALSE
"140","FDE","Shallow demersal fish","Gizzard shad","DOROSOMA CEPEDIANUM",426,134,161737,FALSE
"141","FDE","Shallow demersal fish","Hickory shad","ALOSA MEDIOCRIS",37,173,161704,FALSE
"142","FDE","Shallow demersal fish","American shad","ALOSA SAPIDISSIMA",35,347,161702,FALSE
"143","FDE","Shallow demersal fish","Smelt","OSMERIDAE",NA,371,162028,FALSE
"144","FDE","Mullets","Mullets","MUGILIDAE",NA,234,170333,TRUE
"145","FDE","Spadefish","Spadefish","EPHIPPIDAE",NA,381,169537,TRUE
"146","FDE","White perch","White perch","MORONE AMERICANA",NA,506,167678,TRUE
"147","FDE","Carp","Carp","CYPRINUS CARPIO",NA,63,163344,TRUE
"148","FDE","Round scad","Round scad","DECAPTERUS PUNCTAUS",NA,77,168725,TRUE
"149","FDE","Rough scad","Rough scad","TRACHURUS LATHAMI",NA,331,168587,TRUE
"150","FDE","Pinfish","Pinfish","LAGODON RHOMBOIDES",NA,267,169187,TRUE
"151","FDE","Striped mullet","Striped mullet","MUGIL CEPHALUS",NA,235,170335,TRUE
"152","FDE","Ladyfish","Ladyfish","ELOPS SAURUS",NA,268,161111,TRUE
"153","FDE","Minnow","Minnow","CYPRINIDAE",NA,223,163342,TRUE
"154","FDE","Nk silverside","Nk silverside","ATHERINIDAE",NA,363,165984,TRUE
"155","FDE","Bullheads","Bullheads","ICTALURUS",NA,45,163996,TRUE
"156","FDE","Channel catfish","Channel catfish","ICTALURUS PUNCTATUS",NA,68,163998,TRUE
"157","FDE","Blue catfish","Blue catfish","ICTALURUS FURCATUS",NA,67,163997,TRUE
"158","FDE","Mummichog","Mummichog","FUNDULUS HETEROCLITUS",NA,237,165647,TRUE
"159","FDE","Yellow perch","Yellow perch","PERCA FLAVESCENS",NA,517,168469,TRUE
"160","FDE","Suckers","Suckers","CATOSTOMIDAE",NA,423,163892,TRUE
"161","FDF","Miscellaneous demersal fish","Atlantic needlefish","STRONGYLURA MARINA",471,19,165551,FALSE
"162","FDF","Miscellaneous demersal fish","Cunner","TAUTOGOLABRUS ADSPERSUS",176,93,170481,FALSE
"163","FDF","Miscellaneous demersal fish","Cusk","BROSME BROSME",84,96,164740,FALSE
"164","FDF","Miscellaneous demersal fish","Conger eel","CONGER OCEANICUS",63,116,161326,FALSE
"165","FDF","Miscellaneous demersal fish","Eel unclassified","ANGUILLIFORMES",60,117,161123,FALSE
"166","FDF","Miscellaneous demersal fish","Garfish","LEPISOSTEIDAE",NA,133,161092,FALSE
"167","FDF","Miscellaneous demersal fish","Roughhead grenadier","MACROURUS BERGLAX",92,137,165421,FALSE
"168","FDF","Miscellaneous demersal fish","Grenadier unclassified","MACROURIDAE",90,138,165332,FALSE
"169","FDF","Miscellaneous demersal fish","Hagfish","MYXINIDAE",NA,150,159753,FALSE
"170","FDF","Miscellaneous demersal fish","Hogfish","LACHNOLAIMUS MAXIMUS",682,179,170566,FALSE
"171","FDF","Miscellaneous demersal fish","John Dory","ZENOPSIS OCELLATA",112,188,166283,FALSE
"172","FDF","Miscellaneous demersal fish","Lumpfish","CYCLOPTERUS LUMPUS",168,210,167612,FALSE
"173","FDF","Miscellaneous demersal fish","Blackbelly rosefish","HELICOLENUS DACTYLOPTERUS",156,242,166787,FALSE
"174","FDF","Miscellaneous demersal fish","Sand perch","DIPLECTRUM FORMOSUM",530,311,167793,FALSE
"175","FDF","Miscellaneous demersal fish","Longhorn sculpin",NA,163,NA,NA,FALSE
"176","FDF","Miscellaneous demersal fish","Sculpins unclassified","COTTIDAE",160,326,167196,FALSE
"177","FDF","Miscellaneous demersal fish","Sea raven","HEMITRIPTERUS AMERICANUS",164,327,167289,FALSE
"178","FDF","Miscellaneous demersal fish","Northern searobin","PRIONOTUS CAROLINUS",171,340,166974,FALSE
"179","FDF","Miscellaneous demersal fish","Searobin uncl","TRIGLIDAE",174,341,166972,FALSE
"180","FDF","Miscellaneous demersal fish","Striped searobin","PRIONOTUS EVOLANS",172,342,166975,FALSE
"181","FDF","Miscellaneous demersal fish","Armored searobin","PERISTEDION MINIATUM",173,343,167010,FALSE
"182","FDF","Miscellaneous demersal fish","Sheepshead","ARCHOSARGUS PROBATOCEPHALUS",631,356,169189,FALSE
"183","FDF","Miscellaneous demersal fish","Atlantic sturgeon","ACIPENSER OXYRINCHUS",380,420,553269,FALSE
"184","FDF","Miscellaneous demersal fish","Sturgeon unclassified","ACIPENSERIDAE",NA,421,161064,FALSE
"185","FDF","Miscellaneous demersal fish","Shortnose sturgeon","ACIPENSER BREVIROSTRUM",379,422,161069,FALSE
"186","FDF","Miscellaneous demersal fish","Northern puffer","SPHOEROIDES MACULATUS",196,429,173290,FALSE
"187","FDF","Miscellaneous demersal fish","Oyster toadfish","BATRACHOIDIDAE",185,451,164412,FALSE
"188","FDF","Miscellaneous demersal fish","Tomcod","MICROGADUS TOMCOD",453,453,164720,FALSE
"189","FDF","Miscellaneous demersal fish","Ninespine stickleback","Pungitius pungitius",902,522,166387,FALSE
"190","FDF","Miscellaneous demersal fish","Fourbeard rockling",NA,83,NA,NA,FALSE
"191","FDF","Miscellaneous demersal fish","Inshore lizardfish",NA,435,NA,NA,FALSE
"192","FDF","Miscellaneous demersal fish","Lookdown",NA,133,NA,NA,FALSE
"193","FDF","Miscellaneous demersal fish","Northern pipefish",NA,116,NA,NA,FALSE
"194","FDF","Miscellaneous demersal fish","Spotted hake","UROPHYCIS REGIA",78,662,164731,FALSE
"195","FDF","Miscellaneous demersal fish","Atlantic moonfish",NA,132,NA,NA,FALSE
"196","FDF","Miscellaneous demersal fish","Blackspotted stickleback",NA,901,NA,NA,FALSE
"197","FDF","Miscellaneous demersal fish","Chain pipefish",NA,495,NA,NA,FALSE
"198","FDF","Miscellaneous demersal fish","Dusky pipefish",NA,494,NA,NA,FALSE
"199","FDF","Miscellaneous demersal fish","Fourspine stickleback",NA,488,NA,NA,FALSE
"200","FDF","Miscellaneous demersal fish","Largescale lizardfish",NA,433,NA,NA,FALSE
"201","FDF","Miscellaneous demersal fish","Lizardfish unclassified",NA,852,NA,NA,FALSE
"202","FDF","Miscellaneous demersal fish","Longspine scorpionfish",NA,154,NA,NA,FALSE
"203","FDF","Miscellaneous demersal fish","Longspine snipefish",NA,111,NA,NA,FALSE
"204","FDF","Miscellaneous demersal fish","Moustache sculpin",NA,161,NA,NA,FALSE
"205","FDF","Miscellaneous demersal fish","Offshore lizardfish",NA,437,NA,NA,FALSE
"206","FDF","Miscellaneous demersal fish","Pipefish unclassified",NA,421,NA,NA,FALSE
"207","FDF","Miscellaneous demersal fish","Red lizardfish",NA,438,NA,NA,FALSE
"208","FDF","Miscellaneous demersal fish","Shorthorn sculpin",NA,162,NA,NA,FALSE
"209","FDF","Miscellaneous demersal fish","Shortjaw lizardfish",NA,434,NA,NA,FALSE
"210","FDF","Miscellaneous demersal fish","Threebeard rockling",NA,85,NA,NA,FALSE
"211","FDF","Miscellaneous demersal fish","Threespine stickleback",NA,115,NA,NA,FALSE
"212","FDF","Miscellaneous demersal fish","Trumpetfish",NA,119,NA,NA,FALSE
"213","FDF","Miscellaneous demersal fish","Whitenose pipefish",NA,491,NA,NA,FALSE
"214","FDF","Miscellaneous demersal fish","Wrymouth",NA,191,NA,NA,FALSE
"215","FDF","Northern stargazer","Northern stargazer","ASTROSCOPUS GUTTATUS",NA,31,171055,TRUE
"216","FLA","Other flatfish","Hogchoker","TRINECTES MACULATUS",118,128,172982,FALSE
"217","FLA","Other flatfish","Gulfstream flounder","CITHARICHTHYS ARCTIFRONS",109,129,172719,FALSE
"218","FLA","Nk flounders","Nk flounders","PLEURONECTIFORMES",NA,126,172702,TRUE
"219","FLA","Southern flounder","Southern flounder","PARALICHTHYS LETHOSTIGMA",NA,130,172738,TRUE
"220","FLA","Greenland halibut","Greenland halibut","REINHARDTIUS HIPPOGLOSSOIDES",NA,158,172930,TRUE
"221","FOU","Fourspot flounder","Fourspot flounder","PARALICHTHYS OBLONGUS",104,127,172739,TRUE
"222","GOO","Goosefish","Goosefish","LOPHIUS AMERICANUS",197,11,164499,TRUE
"223","GOO","Goosefish","Goosefish","LOPHIUS AMERICANUS",197,12,164499,TRUE
"224","GOO","Blackfin goosefish","Blackfin goosefish","LOPHIUS GASTROPHYSUS",NA,13,164500,TRUE
"225","HAD","Haddock","Haddock","MELANOGRAMMUS AEGLEFINUS",74,147,164744,TRUE
"226","HAD","Haddock","Haddock","MELANOGRAMMUS AEGLEFINUS",74,148,164744,TRUE
"227","HAL","Atlantic halibut","Atlantic halibut","HIPPOGLOSSUS HIPPOGLOSSUS",101,159,172933,TRUE
"228","HER","Atlantic herring","Atlantic herring","CLUPEA HARENGUS",32,168,161722,TRUE
"229","HER","Nk herring","Nk herring","CLUPEIDAE",NA,167,161700,TRUE
"230","INV","Invasive vertebrate species","All Invasive vertebrate species",NA,NA,NA,NA,FALSE
"231","ISQ","Illex squid","Illex squid","ILLEX ILLECEBROSUS",502,802,82521,TRUE
"232","LOB","Lobster","Lobster","HOMARUS AMERICANUS",301,727,97314,TRUE
"233","LSK","Little skate","Little skate","LEUCORAJA ERINACEA",26,366,564130,TRUE
"234","LSQ","Loligo squid","Loligo squid","LOLIGO PEALEII",503,801,82372,TRUE
"235","MA","Macroalgae","Macroalgae",NA,NA,NA,NA,TRUE
"236","MA","Rockweed","Rockweed","FUCACEAE",NA,832,11329,TRUE
"237","MA","Fingered kelp","Fingered kelp","LAMINARIA DIGITATA",NA,820,11228,TRUE
"238","MAK","Atlantic mackerel","Atlantic mackerel","SCOMBER SCOMBRUS",121,212,172414,TRUE
"239","MB","Microphtybenthos","Microphtybenthos",NA,NA,NA,NA,FALSE
"240","MEN","Atlantic menhaden","Atlantic menhaden","BREVOORTIA",36,221,161731,TRUE
"241","MPF","Migratory mesopelagic fish","Lanternfish","MYCTOPHIDAE",56,655,162575,FALSE
"242","MPF","Migratory mesopelagic fish","Weitzmans pearlsides",NA,229,NA,NA,FALSE
"243","MPF","Cobia","Cobia","RACHYCENTRON CANADUM",NA,57,168566,TRUE
"244","MPF","Argentine","Argentine","ARGENTINIDAE",NA,171,162057,TRUE
"245","NSH","Northern shrimp other pandalids","Northern shrimp and other pandalids","PANDALUS BOREALIS",306,736,96967,FALSE
"246","NSH","Northern shrimp other pandalids","Aesop shrimp",NA,297,NA,NA,FALSE
"247","NSH","Northern shrimp other pandalids","Bristled longbeak",NA,296,NA,NA,FALSE
"248","OHK","Offshore hake","Offshore hake","MERLUCCIUS ALBIDUS",69,508,164793,TRUE
"249","OPT","Ocean pout","Ocean pout","ZOARCES AMERICANUS",193,250,630979,TRUE
"250","OSH","Other shrimps","Brown shrimp",NA,913,NA,NA,FALSE
"251","OSH","Other shrimps","Other penaeids",NA,307,NA,NA,FALSE
"252","OSH","Other shrimps","Pink shrimp",NA,914,NA,NA,FALSE
"253","OSH","Other shrimps","White shrimp",NA,915,NA,NA,FALSE
"254","OSH","Brown shrimp","Brown shrimp","FARFANTEPENAEUS AZTECUS",NA,731,551570,TRUE
"255","OSH","Penaeid shrimp","Penaeid shrimp","PANAEIDAE",NA,738,95602,TRUE
"256","OSH","Nk shrimp","Nk shrimp","CARIDEA",NA,735,96106,TRUE
"257","OSH","Mantis shrimp","Mantis shrimp","STOMATOPODA",NA,737,99140,TRUE
"258","OSH","Shrimp royal red","Shrimp royal red","PLEOTICUS ROBUSTUS",NA,733,95966,TRUE
"259","OSH","Crangon shrimp","Crangon shrimp","CRANGONIDAE",NA,739,97106,TRUE
"260","PB","Pelagic Bacteria","Pelagic Bacteria",NA,NA,NA,NA,FALSE
"261","PIN","Pinnipeds","All Pinnipeds",NA,NA,NA,NA,FALSE
"262","PL","Diatom","Diatom",NA,NA,NA,NA,FALSE
"263","PLA","American plaice","American plaice","HIPPOGLOSSOIDES PLATESSOIDES",102,124,172877,TRUE
"264","POL","Pollock","Pollock","POLLACHIUS VIRENS",75,269,164727,TRUE
"265","POL","Pollock","Pollock","POLLACHIUS VIRENS",75,270,164727,TRUE
"266","POR","Porbeagle shark","Porbeagle shark","LAMNA NASUS",353,481,159911,TRUE
"267","PS","Pico-phytoplankton","Pico-phytoplankton",NA,NA,NA,NA,FALSE
"268","PSH","Other pelagic sharks","Shortfin mako","ISURUS OXYRINCHUS",352,355,159924,FALSE
"269","PSH","Other pelagic sharks","Great hammerhead","SPHYRNA MOKARRAN",363,386,160515,FALSE
"270","PSH","Other pelagic sharks","White shark","CARCHARODON CARCHARIAS",351,480,159903,FALSE
"271","PSH","Other pelagic sharks","Bignose shark","CARCHARHINUS ALTIMUS",929,483,160307,FALSE
"272","PSH","Other pelagic sharks","Dusky shark","CARCHARHINUS OBSCURUS",3,484,160268,FALSE
"273","PSH","Other pelagic sharks","Silky shark","CARCHARHINUS FALCIFORMIS",355,485,160310,FALSE
"274","PSH","Other pelagic sharks","Blacktip shark","CARCHARHINUS LIMBATUS",357,487,160318,FALSE
"275","PSH","Other pelagic sharks","Tiger shark","GALEOCERDO CUVIER",358,491,160189,FALSE
"276","PSH","Other pelagic sharks","Finetooth shark","CARCHARHINUS ISODON",928,499,160409,FALSE
"277","PSH","Other pelagic sharks","Blacknose shark","CARCHARHINUS ACRONOTUS",354,503,160304,FALSE
"278","PSH","Spinner shark","Spinner shark","CARCHARHINUS BREVIPINNA",NA,488,160401,TRUE
"279","PSH","Mako shark","Mako shark","ISURUS",NA,357,159923,TRUE
"280","PSH","Mako longfin shark","Mako longfin shark","ISURUS PAUCUS",NA,358,159926,TRUE
"281","PSH","Threshr bgeye shark","Threshr bgeye shark","ALOPIAS SUPERCILIOSUS",NA,354,159921,TRUE
"282","PSH","Pelagic sharks","Pelagic sharks","LAMINIFORMES",NA,498,159851,TRUE
"283","PSH","Whitetip oc shark","Whitetip oc shark","CARCHARHINUS LONGIMANUS",NA,490,160330,TRUE
"284","PSH","Basking shark","Basking shark","CETORHINUS MAXIMUS",NA,496,159907,TRUE
"285","QHG","Ocean quahog","Ocean quahog","ARCTICA ISLANDICA",409,754,81343,TRUE
"286","RCB","Red deep-sea crab","Red deep-sea crab","CHACEON QUINQUEDENS",310,710,620992,TRUE
"287","RED","Acadian redfish","Acadian redfish","SEBASTES FASCIATUS",155,240,166774,TRUE
"288","REP","Marine turtles","Green seaturtle","CHELONIA MYDAS",951,809,173833,FALSE
"289","REP","Marine turtles","Kemp’s Ridley seaturtle","LEPIDOCHELYS KEMPI",954,810,551770,FALSE
