box,face,level,x
11,0,2,1
11,0,3,1
11,55,1,1
11,55,2,1
11,55,3,1
11,59,1,1
11,59,2,1
11,59,3,1
11,58,1,1
11,58,2,1
11,58,3,1
11,57,1,1
11,57,2,1
11,57,3,1
11,56,1,1
11,56,2,1
11,56,3,1
11,40,1,1
11,40,2,1
11,40,3,1
11,42,1,1
11,42,2,1
11,42,3,1
11,11,1,1
11,11,2,1
11,11,3,1
11,13,1,1
11,13,2,1
11,13,3,1
11,14,1,1
11,14,2,1
11,14,3,1
11,15,1,1
11,15,2,1
11,15,3,1
12,47,1,1
12,47,2,1
12,46,1,1
12,46,2,1
12,45,1,1
12,45,2,1
12,44,1,1
12,44,2,1
12,43,1,1
12,43,2,1
12,40,1,1
12,40,2,1
12,41,1,1
12,41,2,1
12,53,1,1
12,53,2,1
12,52,1,1
12,52,2,1
12,51,1,1
12,51,2,1
12,50,1,1
12,50,2,1
12,49,1,1
12,49,2,1
13,49,1,1
13,50,1,1
13,51,1,1
13,52,1,1
13,53,1,1
13,54,1,1
13,68,1,1
13,60,1,1
13,62,1,1
13,63,1,1
13,64,1,1
13,65,1,1
13,66,1,1
13,16,1,1
14,24,1,1
14,24,2,1
14,24,3,1
14,66,1,1
14,66,2,1
14,66,3,1
14,65,1,1
14,65,2,1
14,65,3,1
14,64,1,1
14,64,2,1
14,64,3,1
14,63,1,1
14,63,2,1
14,63,3,1
14,62,1,1
14,62,2,1
14,62,3,1
14,60,1,1
14,60,2,1
14,60,3,1
14,61,1,1
14,61,2,1
14,61,3,1
14,67,1,1
14,67,2,1
14,67,3,1
14,23,1,1
14,23,2,1
14,23,3,1
15,16,1,1
15,16,2,1
15,24,1,1
15,24,2,1
15,22,1,1
15,22,2,1
15,21,1,1
15,21,2,1
15,20,1,1
15,20,2,1
15,18,1,1
15,18,2,1
15,17,1,1
15,17,2,1
16,15,1,1
16,15,2,1
16,15,3,1
16,14,1,1
16,14,2,1
16,14,3,1
16,13,1,1
16,13,2,1
16,13,3,1
16,11,1,1
16,11,2,1
16,11,3,1
16,10,1,1
16,10,2,1
16,10,3,1
16,8,1,1
16,8,2,1
16,8,3,1
16,7,1,1
16,7,2,1
16,7,3,1
16,6,1,1
16,6,2,1
16,6,3,1
16,5,1,1
16,5,2,1
16,5,3,1
16,4,1,1
16,4,2,1
16,4,3,1
16,3,1,1
16,3,2,1
16,3,3,1
16,2,1,1
16,2,2,1
16,2,3,1
16,1,1,1
16,1,2,1
16,1,3,1
17,1,1,1
17,1,2,1
17,2,1,1
17,2,2,1
17,3,1,1
17,3,2,1
17,4,1,1
17,4,2,1
17,5,1,1
17,5,2,1
17,6,1,1
17,6,2,1
17,7,1,1
17,7,2,1
17,8,1,1
17,8,2,1
17,9,1,1
17,9,2,1
17,39,1,1
17,39,2,1
18,38,1,1
18,38,2,1
18,37,1,1
18,37,2,1
18,36,1,1
18,36,2,1
18,35,1,1
18,35,2,1
18,34,1,1
18,34,2,1
18,33,1,1
18,33,2,1
18,32,1,1
18,32,2,1
18,31,1,1
18,31,2,1
18,25,1,1
18,25,2,1
18,26,1,1
18,26,2,1
18,27,1,1
18,27,2,1
18,28,1,1
18,28,2,1
18,29,1,1
18,29,2,1
18,30,1,1
18,30,2,1
18,9,1,1
18,9,2,1
19,10,1,1
19,10,2,1
19,10,3,1
19,12,1,1
19,12,2,1
19,12,3,1
19,72,1,1
19,72,2,1
19,72,3,1
19,99,1,1
19,99,2,1
19,99,3,1
19,98,1,1
19,98,2,1
19,98,3,1
19,97,1,1
19,97,2,1
19,97,3,1
19,96,1,1
19,96,2,1
19,96,3,1
19,95,1,1
19,95,2,1
19,95,3,1
19,94,1,1
19,94,2,1
19,94,3,1
19,93,1,1
19,93,2,1
19,93,3,1
19,92,1,1
19,92,2,1
19,92,3,1
19,91,1,1
19,91,2,1
19,91,3,1
19,83,1,1
19,83,2,1
19,83,3,1
19,35,1,1
19,35,2,1
19,35,3,1
19,36,1,1
19,36,2,1
19,36,3,1
19,37,1,1
19,37,2,1
19,37,3,1
19,38,1,1
19,38,2,1
19,38,3,1
20,42,1,1
20,42,2,1
20,42,3,1
20,43,1,1
20,43,2,1
20,43,3,1
20,44,1,1
20,44,2,1
20,44,3,1
20,45,1,1
20,45,2,1
20,45,3,1
20,46,1,1
20,46,2,1
20,46,3,1
20,48,1,1
20,48,2,1
20,48,3,1
20,69,1,1
20,69,2,1
20,69,3,1
20,12,1,1
20,12,2,1
20,12,3,1
21,17,1,1
21,17,2,1
21,17,3,1
21,18,1,1
21,18,2,1
21,18,3,1
21,19,1,1
21,19,2,1
21,19,3,1
21,71,1,1
21,71,2,1
21,71,3,1
21,70,1,1
21,70,2,1
21,70,3,1
21,48,1,1
21,48,2,1
21,48,3,1
21,47,1,1
21,47,2,1
21,47,3,1
22,70,1,1
22,70,2,1
22,71,1,1
22,71,2,1
22,100,1,1
22,100,2,1
22,73,1,1
22,73,2,1
22,74,1,1
22,74,2,1
22,75,1,1
22,75,2,1
22,76,1,1
22,76,2,1
22,77,1,1
22,77,2,1
22,78,1,1
22,78,2,1
22,79,1,1
22,79,2,1
22,80,1,1
22,80,2,1
22,81,1,1
22,81,2,1
22,82,1,1
22,82,2,1
22,84,1,1
22,84,2,1
22,91,1,1
22,91,2,1
22,92,1,1
22,92,2,1
22,93,1,1
22,93,2,1
22,94,1,1
22,94,2,1
22,95,1,1
22,95,2,1
22,96,1,1
22,96,2,1
22,97,1,1
22,97,2,1
22,98,1,1
22,98,2,1
22,99,1,1
22,99,2,1
22,72,1,1
22,72,2,1
22,69,1,1
22,69,2,1
23,86,NA,1
23,90,NA,1
23,89,NA,1
23,88,NA,1
23,85,NA,1
24,30,NA,1
24,29,NA,1
24,28,NA,1
24,27,NA,1
24,26,NA,1
24,25,NA,1
25,31,1,1
25,31,2,1
25,32,1,1
25,32,2,1
25,33,1,1
25,33,2,1
25,34,1,1
25,34,2,1
25,83,1,1
25,83,2,1
25,84,1,1
25,84,2,1
25,82,1,1
25,82,2,1
25,81,1,1
25,81,2,1
25,80,1,1
25,80,2,1
25,79,1,1
25,79,2,1
25,78,1,1
25,78,2,1
25,77,1,1
25,77,2,1
25,76,1,1
25,76,2,1
25,75,1,1
25,75,2,1
25,74,1,1
25,74,2,1
26,20,1,1
26,20,2,1
26,20,3,1
26,21,1,1
26,21,2,1
26,21,3,1
26,73,1,1
26,73,2,1
26,73,3,1
26,100,1,1
26,100,2,1
26,100,3,1
26,19,1,1
26,19,2,1
26,19,3,1
27,22,1,1
27,22,2,1
27,22,3,1
27,22,4,1
27,23,1,1
27,23,2,1
27,23,3,1
27,23,4,1
28,67,1,1
28,67,2,1
28,67,3,1
28,67,4,1
28,112,1,1
28,112,2,1
28,112,3,1
28,112,4,1
28,101,1,1
28,101,2,1
28,101,3,1
28,101,4,1
28,102,1,1
28,102,2,1
28,102,3,1
28,102,4,1
28,120,1,1
28,120,2,1
28,120,3,1
28,120,4,1
28,119,1,1
28,119,2,1
28,119,3,1
28,119,4,1
28,123,1,1
28,123,2,1
28,123,3,1
28,123,4,1
28,122,1,1
28,122,2,1
28,122,3,1
28,122,4,1
28,121,1,1
28,121,2,1
28,121,3,1
28,121,4,1
29,117,1,1
29,117,2,1
29,117,3,1
29,117,4,1
29,115,1,1
29,115,2,1
29,115,3,1
29,115,4,1
29,114,1,1
29,114,2,1
29,114,3,1
29,114,4,1
