"","1","2","3","4","5","6","7","8","9","10"
"FOU",0.0394285714285714,0.822388059701493,2.21319444444444,3.5167701863354,4.69941520467836,5.53571428571428,6.07098445595855,6.36666666666667,6.51682242990654,6.57174887892377
"GOO",0.468613138686131,4.96057692307692,14.3117117117117,27.3422764227642,43.4716417910448,61.8465277777778,81.2201298701299,100.751219512195,119.794252873563,138.634972677596
"HAD",1.14625,21.1561797752809,37.5639175257732,43.5944444444444,43.7358333333333,42.3392307692308,40.4438848920863,38.8705479452055,37.4947368421053,36.1398734177215
"HAL",0.544907407407407,46.1756097560976,196.582170542636,438.260283687943,767.718918918919,1138.74871794872,1515.96424242424,1882.38965517241,2235.15879120879,2555.19315789474
"HER",0.0277227722772277,0.593939393939394,1.86363636363636,3.46868686868687,5.032,6.46,7.651,8.602,9.34,9.901
"INV",0.93013698630137,15.5364705882353,24.4010416666667,25.7225225225225,24.7943548387097,23.4311111111111,22.2104166666667,21.1322368421053,20.2358490566038,19.6317073170732
"LSK",0.169485294117647,8.91358024691358,24.303821656051,35.0185628742515,39.0583783783784,39.940099009901,39.0739726027397,37.7521367521368,36.2439516129032,34.9003846153846
"MAK",0.109420289855072,0.92089552238806,2.54901960784314,5.043,7.594,10.199,12.553,14.651,16.452,17.77
"MEN",0.104,0.592553191489362,1.4,2.38404255319149,3.41276595744681,4.3968085106383,5.23263157894737,6.00105263157895,6.65368421052632,7.12291666666667
"MPF",0.00693069306930693,0.0507936507936508,0.0793103448275862,0.129824561403509,0.178571428571429,0.214035087719298,0.245614035087719,0.271929824561404,0.286206896551724,0.3
"OHK",0.694262295081967,6.79655172413793,10.3881720430108,11.1960784313725,11.04,10.6230769230769,10.1943089430894,9.75348837209302,9.40149253731343,9.13333333333333
"OPT",0.107299270072993,3.56555555555556,14.36,30.679746835443,48.4463414634146,65.4476744186046,80.7255555555556,93.6287234042553,103.988775510204,111.920588235294
"PIN",1791.055,52223.9482758621,72843.8672413793,75448.1118644068,71665.9147540984,69608.3451612903,65375.2,63389.8184615385,59664.0805970149,57922.6455882353
"PLA",0.0852348993288591,2.6873786407767,8.51792452830189,13.2759689922481,17.6867132867133,21.125974025974,23.1873493975904,24.2505617977528,24.7222222222222,24.8140703517588
"POL",1.08675496688742,28.8168421052632,79.8009900990099,131.471818181818,172.063333333333,201.437984496124,219.553623188406,230.428082191781,234.850649350649,236.265217391304
"POR",0.862442396313364,503.8328,1596.651,2233.407,2563.283,2719.586,2790.969,2823.057,2837.381,2843.757
"PSH",2.9624145785877,1145.00125786164,4665.591,6550.829,7525.22,7984.351,8192.625,8285.581,8326.776,8344.976
"RED",0.00481283422459893,0.21010101010101,0.743137254901961,1.49266055045872,2.31538461538462,3.116,3.85909090909091,4.49208633093525,5.00547945205479,5.43815789473684
"REP",0.00427444092367811,1.85376420723801,4068.447,4502.402,4601.379,4623.224,4628.012,4629.059,4629.288,4629.338
"RHK",0.232236842105263,7.35526315789474,20.9613333333333,34.3316455696202,44.0741176470588,50.4043956043956,53.9041237113402,55.3436893203883,55.9148148148148,55.0684210526316
"RWH",34.3837297867354,7997.04591278922,2183.39376050478,1622248.968,1626225.985,1626645.538,1626689.762,1626694.424,1626694.915,1768146.703
"SAL",20.5752380952381,450.206756756757,1238.05,2096.14189189189,2812.56133333333,3355.44736842105,3737.03766233766,4041.4974025974,4200.02692307692,4290.08227848101
"SB",18.097,124.793421052632,126.054,134.742,137.938,136.779,135.358,135.377,133.91,133.91
"SCU",0.09921875,2.325,7.02574257425743,12.3647619047619,17.0527272727273,20.8675438596491,23.6271186440678,25.4631147540984,26.7816,27.3403100775194
"SDF",1.06891891891892,12.5637362637363,39.0689655172414,79.0707865168539,127.310638297872,183.573469387755,241.394174757282,302.233644859813,362.033333333333,422.820175438596
"SHK",0.222935779816514,5.27619047619048,5.97341772151899,17.2859154929577,29.6898550724638,41.5871428571429,52.5444444444444,58.5189189189189,63.0506666666667,65.6394736842105
"SK",0.495667870036101,34.438961038961,121.116058394161,203.018881118881,254.375641025641,279.314619883041,287.645698924731,287.127,283.235849056604,275.766071428571
"SMO",1.16747967479675,51.5763440860215,80.971978021978,83.3766839378238,79.6359223300971,76.275,73.9511210762332,71.7160869565217,70.1931914893617,69.0192468619247
"SSH",0.125501432664756,47.9461038961039,285.443650793651,564.206451612903,867.506923076923,1154.48656716418,1404.4496350365,1592.57517730496,1719.11780821918,1802.69933774834
"STB",0.747826086956522,19.619512195122,56.3120481927711,94.2516853932584,126.708421052632,152.514,170.539047619048,181.938181818182,188.177391304348,192.224369747899
"SUF",1.25867768595041,22.2952830188679,60.88,98.3324074074074,130.203669724771,152.284684684685,166.745132743363,175.480869565217,180.205982905983,185.354700854701
"SWH",248.569565217391,32454.4752688172,37022.6666666667,47132.49,47613.519,47697.442,47712.035,47714.571,47196.371,47196.447
"TAU",0.0890510948905109,2.1787610619469,7.425,14.9082644628099,23.08515625,31.5646616541353,39.1611510791367,46.0375,52.1601351351351,57.2138157894737
"TUN",65.8740384615385,2117.28888888889,4916.22888888889,4769.43010752688,5431.03,5970.427,6350.771,4651.2,2742.011,1529.154
"TWH",14666.95,1928965.82473118,2158962.59714286,2801369.065,2829959.511,2834947.538,2835814.926,2835965.673,1635045.348,957896.25
"TYL",0.348039215686274,12.260396039604,45.4415841584158,94.3455445544554,150.219801980198,208.175,260.341,306.135,344.959,377.076
"WHK",0.565420560747663,8.2109375,18.1245901639344,36.4163934426229,60.8229508196721,89.0032258064516,118.4578125,151.296923076923,182.328358208955,212.631884057971
"WIF",4.72486187845304,35.1895104895105,39.4823204419889,40.1251282051282,41.5559585492228,41.840932642487,41.2790816326531,43.0579787234043,44.4840659340659,44.732044198895
"WOL",0.0503597122302158,1.30442477876106,5.3688679245283,13.323,24.6939393939394,38.84,54.4766990291262,72.1809523809524,90.1722222222222,108.487387387387
"WPF",0.0861111111111111,1.59051094890511,3.86266666666667,6.25974025974026,8.31794871794872,9.62222222222222,10.2444444444444,10.5564245810056,10.6192513368984,10.5235897435897
"WSK",0.139830508474576,15.3197368421053,73.2991525423729,148.460169491525,216.6328,271.357894736842,311.654609929078,338.624161073826,354.649044585987,362.295151515152
"WTF",0.0259615384615385,0.649101796407186,2.15965909090909,4.8066265060241,8.08641975308642,11.1676646706587,13.8434285714286,15.9756756756757,17.7670103092784,19.1541871921182
"YTF",0.400746268656716,2.25688073394495,4.58571428571429,6.51900826446281,7.7796992481203,8.53586206896552,8.84620253164557,8.99349112426036,8.95277777777778,8.88412698412698
