Child,Index,Parent,Change,Name,Long Name,,IsVertebrate,Parent_Name,Parent_index
PIN,53,PIN,0,Pinniped,Pinnipeds,52,1,Pinnipeds,30
PL,79,PL,0,Diatom,Diatom,53,0,Diatom,52
PLA,10,FVB,1,Plaice,American plaice,54,1,Other piscivorous fish,7
POL,26,FDC,1,Pollock,Pollock,55,1,Miscellaneous demersal fish,19
POR,47,SHP,1,Porbeagle_Shark,Porbeagle shark,56,1,Pelagic sharks,25
PS,81,PS,0,PicoPhytopl,Pico-phytoplankton,57,0,Pico-phytoplankton,54
PSH,48,SHP,0,Pelagic_Shark,Other pelagic sharks,58,1,Pelagic sharks,25
QHG,63,BFF,1,Quahog,Ocean quahog,59,0,Other benthic filter feeder,38
RCB,68,BMS,1,Red_Crab,Red deep-sea crab,60,0,Shallow macrozoobenthos,43
RED,31,FDC,1,Redfish,Acadian redfish,61,1,Miscellaneous demersal fish,19
REP,54,REP,0,Turtle,Marine turtles,62,1,Reptiles,31
RHK,27,FDC,1,Red_Hake,Red hake,63,1,Miscellaneous demersal fish,19
RWH,55,WHB,1,Right_Whale,Right whales,64,1,Baleen whales,32
SAL,33,FDC,1,Atlantic_Salmon,Atlantic salmon,65,1,Miscellaneous demersal fish,19
SB,52,SB,0,Seabird,Seabirds,66,1,Seabirds,28
SCA,62,BFS,0,Scallop,Sea scallop,67,0,Shallow benthic filter feeder,37
SCU,29,FDC,1,Scup,Scup,68,1,Miscellaneous demersal fish,19
SDF,38,FDC,1,Atlantic_States_Demersals,Atlantic states demersal fish,69,1,Miscellaneous demersal fish,19
SG,76,SG,0,Seagrass,Seagrass,70,0,Seagrass,49
SHK,24,FDB,0,Silver_Hake,Silver hake,71,1,Flat deep demersal fish,18
SK,51,SSK,0,Skate,Northeast skate complex,72,1,Skates and rays,27
SMO,43,SHD,1,Smooth_Dogfish,Smooth dogfish,73,1,Other demersal sharks,23
SSH,44,SHD,1,Sandbar_Shark,Sandbar shark,74,1,Other demersal sharks,23
STB,35,FDC,1,Striped_Bass,Striped bass,75,1,Miscellaneous demersal fish,19
SUF,6,FVB,1,Summerflounder,Summer flounder,76,1,Other piscivorous fish,7
SWH,57,WHT,1,Small_Whale,Small toothed whales,77,1,Toothed whales ,34
TAU,36,FDC,1,Tautog,Tautog,78,1,Miscellaneous demersal fish,19
TUN,14,FVT,1,Tunas,Other tunas,79,1,Large piscivorous fish (tuna),8
TWH,58,WHT,1,Tooth_Whale,Toothed whales ,80,1,Toothed whales ,34
TYL,30,FDC,1,Tilefish,Tilefish,81,1,Miscellaneous demersal fish,19
WHK,3,FVD,0,White_Hake,White hake,82,1,Deep piscivorous fish,4
WIF,7,FVB,1,Winterflounder,Winter flounder,83,1,Other piscivorous fish,7
WOL,37,FDC,1,Wolffish,Wolffish,84,1,Miscellaneous demersal fish,19
WPF,5,FVB,1,Windowpane,Windowpane flounder,85,1,Other piscivorous fish,7
WSK,49,SSK,1,Winter_Skate,Winter skate,86,1,Skates and rays,27
WTF,8,FVB,1,Witchflounder,Witch flounder,87,1,Other piscivorous fish,7
YTF,41,FDF,0,Yellowtail_Flounder,Yellowtail flounder,88,1,Longlived deep demersal fish,21
ZG,78,ZG,0,Gelat_Zoo,Gelatinous zooplankton,89,0,Gelatinous zooplankton,51
ZL,72,ZL,0,Carniv_Zoo,Carnivorous zooplankton,90,0,Carnivorous zooplankton,45
ZM,82,ZM,0,Zoo,Mesozooplankton,91,0,Mesozooplankton,55
ZS,83,ZS,0,MicroZoo,Microzooplankton,92,0,Microzooplankton,56
