Done,PPREY Max,code,Priority,pprey name,MAK,HER,WHK,BLF,WPF,SUF,WIF,WTF,FOU,HAL,PLA,FLA,BFT,TUN,BIL,MPF,BUT,BPF,ANC,GOO,MEN,FDE,COD,SHK,OHK,POL,RHK,BSB,SCU,TYL,RED,OPT,SAL,DRM,STB,TAU,WOL,SDF,FDF,HAD,YTF,DOG,SMO,SSH,DSH,BLS,POR,PSH,WSK,LSK,SK,SB,PIN,REP,RWH,BWH,SWH,TWH,INV,LSQ,ISQ,SCA,QHG,CLA,BFF,BG,LOB,RCB,BMS,NSH,OSH,ZL,BD,MA,MB,SG,BC,ZG,PL,DF,PS,ZM,ZS,PB,BB,BO,DL,DR,DC,DLsed,DRsed,DCsed
x,0.18,SUF,H,1SUF1,0,-1,-1,0,2,2,2,2,2,2,2,2,0,0,0,-1,1,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,-1,-1,0,-1,2,3,3,3,-1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
x,0.18,SUF,H,2SUF1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,-1,-1,0,-1,2,3,3,3,-1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
x,0.18,SUF,H,1SUF2,2,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,1,1,0,-1,-1,2,2,2,2,2,0,2,0,0,0,0,-1,0,0,0,2,2,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,-1,-1,0,-1,2,-1,-1,-1,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
x,0.18,SUF,H,2SUF2,2,2,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,1,1,0,-1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,-1,-1,0,-1,2,-1,-1,-1,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
x,0.18,WIF,H,1WIF1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,1,3,-1,-1,2,-1,-1,-1,3,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,0.18,WIF,H,2WIF1,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,3,0,-1,2,-1,-1,-1,3,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,0.18,WIF,H,1WIF2,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,2,2,2,3,-1,-1,-1,1,-1,-1,2,3,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
x,0.18,WIF,H,2WIF2,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,-1,0,0,1,-1,-1,2,3,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.2,WTF,L,1WTF1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1875,WTF,L,2WTF1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
