Child,Index,Parent,Change,Name,Long Name,,IsVertebrate,Parent_Name,Parent_index
POL,26,FDC,1,Pollock,Pollock,,1,Miscellaneous demersal fish,19
RHK,27,FDC,1,Red_Hake,Red hake,,1,Miscellaneous demersal fish,19
BSB,28,FDC,1,Black_Sea_Bass,Black sea bass,,1,Miscellaneous demersal fish,19
SCU,29,FDC,1,Scup,Scup,,1,Miscellaneous demersal fish,19
TYL,30,FDC,1,Tilefish,Tilefish,,1,Miscellaneous demersal fish,19
RED,31,FDC,1,Redfish,Acadian redfish,,1,Miscellaneous demersal fish,19
OPT,32,FDC,1,Ocean_Pout,Ocean pout,,1,Miscellaneous demersal fish,19
SAL,33,FDC,1,Atlantic_Salmon,Atlantic salmon,,1,Miscellaneous demersal fish,19
DRM,34,FDC,1,Drums_Croakers,Drums and croakers,,1,Miscellaneous demersal fish,19
STB,35,FDC,1,Striped_Bass,Striped bass,,1,Miscellaneous demersal fish,19
TAU,36,FDC,1,Tautog,Tautog,,1,Miscellaneous demersal fish,19
WOL,37,FDC,1,Wolffish,Wolffish,,1,Miscellaneous demersal fish,19
SDF,38,FDC,1,Atlantic_States_Demersals,Atlantic states demersal fish,,1,Miscellaneous demersal fish,19
FDF,39,FDC,0,Demersal_DC_Fish,Miscellaneous demersal fish,,1,Miscellaneous demersal fish,19
HAD,40,FDO,0,Haddock,Haddock,,1,Protected demersal fish,20
YTF,41,FDF,0,Yellowtail_Flounder,Yellowtail flounder,,1,Longlived deep demersal fish,21
DOG,42,SHB,0,Spiny_Dogfish,Spiny dogfish,,1,Demersal sharks ,22
SMO,43,SHD,1,Smooth_Dogfish,Smooth dogfish,,1,Other demersal sharks,23
SSH,44,SHD,1,Sandbar_Shark,Sandbar shark,,1,Other demersal sharks,23
DSH,45,SHD,0,Demersal_Shark,Other demersal sharks,,1,Other demersal sharks,23
BLS,46,SHP,1,Blue_Shark,Blue shark,,1,Pelagic sharks,25
POR,47,SHP,1,Porbeagle_Shark,Porbeagle shark,,1,Pelagic sharks,25
PSH,48,SHP,0,Pelagic_Shark,Other pelagic sharks,,1,Pelagic sharks,25
WSK,49,SSK,1,Winter_Skate,Winter skate,,1,Skates and rays,27
LSK,50,SSK,1,Little_Skate,Little skate,,1,Skates and rays,27
SK,51,SSK,0,Skate,Northeast skate complex,,1,Skates and rays,27
SB,52,SB,0,Seabird,Seabirds,,1,Seabirds,28
PIN,53,PIN,0,Pinniped,Pinnipeds,,1,Pinnipeds,30
REP,54,REP,0,Turtle,Marine turtles,,1,Reptiles,31
RWH,55,WHB,1,Right_Whale,Right whales,,1,Baleen whales,32
BWH,56,WHB,1,Baleen_Whale,Baleen whales,,1,Baleen whales,32
SWH,57,WHT,1,Small_Whale,Small toothed whales,,1,Toothed whales ,34
TWH,58,WHT,1,Tooth_Whale,Toothed whales ,,1,Toothed whales ,34
INV,59,FDC,1,Invasive_Species,Invasive vertebrate species,,1,Miscellaneous demersal fish,19
LSQ,60,CEP,1,Loligo_Squid,Loligo squid,,0,Cephalopod,36
ISQ,61,CEP,1,Illex_Squid,Illex squid,,0,Cephalopod,36
SCA,62,BFS,0,Scallop,Sea scallop,,0,Shallow benthic filter feeder,37
QHG,63,BFF,1,Quahog,Ocean quahog,,0,Other benthic filter feeder,38
CLA,64,BFF,1,Surf_Clam,Atlantic surf clam,,0,Other benthic filter feeder,38
BFF,65,BFF,1,Filter_Other,Other benthic filter feeder,,0,Other benthic filter feeder,38
BG,66,BG,0,Benthic_grazer,Benthic grazer,,0,Benthic grazer,40
LOB,67,BML,0,Lobster,Lobster,,0,Megazoobenthos,42
RCB,68,BMS,1,Red_Crab,Red deep-sea crab,,0,Shallow macrozoobenthos,43
BMS,69,BMS,0,Macrobenth_Shallow,Shallow macrozoobenthos,,0,Shallow macrozoobenthos,43
NSH,70,PWN,1,Northern_Shrimp,Northern shrimp other pandalids,,0,Prawn,44
OSH,71,PWN,1,Other_Shrimp,Other shrimps,,0,Prawn,44
ZL,72,ZL,0,Carniv_Zoo,Carnivorous zooplankton,,0,Carnivorous zooplankton,45
BD,73,BD,0,Deposit_Feeder,Deposit Feeder,,0,Deposit Feeder,46
MA,74,MA,0,Macroalgae,Macroalgae,,0,Macroalgae,47
MB,75,MB,0,MicroPB,Microphtybenthos,,0,Microphtybenthos,48
SG,76,SG,0,Seagrass,Seagrass,,0,Seagrass,49
BC,77,BC,0,Benthic_Carniv,Benthic Carnivore,,0,Benthic Carnivore,50
ZG,78,ZG,0,Gelat_Zoo,Gelatinous zooplankton,,0,Gelatinous zooplankton,51
PL,79,PL,0,Diatom,Diatom,,0,Diatom,52
DF,80,DF,0,DinoFlag,Dinoflagellates,,0,Dinoflagellates,53
PS,81,PS,0,PicoPhytopl,Pico-phytoplankton,,0,Pico-phytoplankton,54
ZM,82,ZM,0,Zoo,Mesozooplankton,,0,Mesozooplankton,55
ZS,83,ZS,0,MicroZoo,Microzooplankton,,0,Microzooplankton,56
PB,84,PB,0,Pelag_Bact,Pelagic Bacteria,,0,Pelagic Bacteria,57
BB,85,BB,0,Sed_Bact,Sediment Bacteria,,0,Sediment Bacteria,58
BO,86,BO,0,Meiobenth,Meiobenthos,,0,Meiobenthos,59
DL,87,DL,0,Lab_Det,Labile detritus,,0,Labile detritus,60
DR,88,DR,0,Ref_Det,Refractory detritus,,0,Refractory detritus,61
DC,89,DC,0,Carrion,Carrion3,,0,Carrion,62
DLsed,90,DLsed,,Dlsed,,,0,Dlsed,63
DRsed,91,DRsed,,Drsed,,,0,Drsed,64
DCsed,92,DCsed,,Dcsed,,,0,Dcsed,65
,,,,,,,-1,jCEP,66
,,,,,,,-1,jPWN,67
