PL.ts,PS.ts,DF.ts,month,days
190485.2492,57145.57476,69844.59137,10,6060
196391.546,58917.4638,72010.23353,11,6090
244697.2664,73409.17991,89722.331,12,6120
195069.9079,58520.97236,71525.63289,1,6150
163121.7482,48936.52445,59811.30766,2,6180
194782.727,58434.8181,71420.33323,3,6210
290784.9472,87235.48416,106621.1473,4,6240
103227.6496,30968.29487,37850.13817,5,6270
91535.74158,27460.72247,33563.10525,6,6300
91091.36017,27327.40805,33400.1654,7,6330
119525.8358,35857.75074,43826.13979,8,6360
118922.9297,35676.87891,43605.07423,9,6390
131505.9143,39451.77428,48218.83523,10,6420
101079.1044,30323.73132,37062.33828,11,6450
101937.8924,30581.36773,37377.22723,12,6480
88994.51657,26698.35497,32631.32274,1,6510
88784.53226,26635.35968,32554.3285,2,6540
88591.86599,26577.5598,32483.6842,3,6570
119885.9369,35965.78108,43958.17688,4,6600
117905.7666,35371.72999,43232.11443,5,6630
97673.36429,29302.00929,35813.56691,6,6660
105385.8888,31615.76664,38641.49256,7,6690
120133.8641,36040.15923,44049.08351,8,6720
114607.755,34382.3265,42022.84349,9,6750
122474.5428,36742.36284,44907.33236,10,6780
131027.0116,39308.10349,48043.2376,11,6810
104917.1281,31475.13842,38469.61363,12,6840
