id,n,nm,name,type,intx
pPREY2COD2,92,2COD2,COD,22,Adt Pred - Adt Prey
pPREYDF,92,DF,DF,NA,Invert Pred
pPREY1DOG1,92,1DOG1,DOG,11,Juv Pred - Juv Prey
pPREY1DOG2,92,1DOG2,DOG,12,Juv Pred - Adt Prey
pPREY2DOG1,92,2DOG1,DOG,21,Adt Pred - Juv Prey
pPREY2DOG2,92,2DOG2,DOG,22,Adt Pred - Adt Prey
pPREY1DRM1,92,1DRM1,DRM,11,Juv Pred - Juv Prey
pPREY1DRM2,92,1DRM2,DRM,12,Juv Pred - Adt Prey
pPREY2DRM1,92,2DRM1,DRM,21,Adt Pred - Juv Prey
pPREY2DRM2,92,2DRM2,DRM,22,Adt Pred - Adt Prey
pPREY1DSH1,92,1DSH1,DSH,11,Juv Pred - Juv Prey
pPREY1DSH2,92,1DSH2,DSH,12,Juv Pred - Adt Prey
pPREY2DSH1,92,2DSH1,DSH,21,Adt Pred - Juv Prey
pPREY2DSH2,92,2DSH2,DSH,22,Adt Pred - Adt Prey
pPREY1FDE1,92,1FDE1,FDE,11,Juv Pred - Juv Prey
pPREY1FDE2,92,1FDE2,FDE,12,Juv Pred - Adt Prey
pPREY2FDE1,92,2FDE1,FDE,21,Adt Pred - Juv Prey
pPREY2FDE2,92,2FDE2,FDE,22,Adt Pred - Adt Prey
pPREY1FDF1,92,1FDF1,FDF,11,Juv Pred - Juv Prey
pPREY1FDF2,92,1FDF2,FDF,12,Juv Pred - Adt Prey
pPREY2FDF1,92,2FDF1,FDF,21,Adt Pred - Juv Prey
pPREY2FDF2,92,2FDF2,FDF,22,Adt Pred - Adt Prey
pPREY1FLA1,92,1FLA1,FLA,11,Juv Pred - Juv Prey
pPREY1FLA2,92,1FLA2,FLA,12,Juv Pred - Adt Prey
pPREY2FLA1,92,2FLA1,FLA,21,Adt Pred - Juv Prey
pPREY2FLA2,92,2FLA2,FLA,22,Adt Pred - Adt Prey
pPREY1FOU1,92,1FOU1,FOU,11,Juv Pred - Juv Prey
pPREY1FOU2,92,1FOU2,FOU,12,Juv Pred - Adt Prey
pPREY2FOU1,92,2FOU1,FOU,21,Adt Pred - Juv Prey
pPREY2FOU2,92,2FOU2,FOU,22,Adt Pred - Adt Prey
pPREY1GOO1,92,1GOO1,GOO,11,Juv Pred - Juv Prey
pPREY1GOO2,92,1GOO2,GOO,12,Juv Pred - Adt Prey
pPREY2GOO1,92,2GOO1,GOO,21,Adt Pred - Juv Prey
pPREY2GOO2,92,2GOO2,GOO,22,Adt Pred - Adt Prey
pPREY1HAD1,92,1HAD1,HAD,11,Juv Pred - Juv Prey
pPREY1HAD2,92,1HAD2,HAD,12,Juv Pred - Adt Prey
pPREY2HAD1,92,2HAD1,HAD,21,Adt Pred - Juv Prey
pPREY2HAD2,92,2HAD2,HAD,22,Adt Pred - Adt Prey
pPREY1HAL1,92,1HAL1,HAL,11,Juv Pred - Juv Prey
pPREY1HAL2,92,1HAL2,HAL,12,Juv Pred - Adt Prey
pPREY2HAL1,92,2HAL1,HAL,21,Adt Pred - Juv Prey
pPREY2HAL2,92,2HAL2,HAL,22,Adt Pred - Adt Prey
pPREY1HER1,92,1HER1,HER,11,Juv Pred - Juv Prey
pPREY1HER2,92,1HER2,HER,12,Juv Pred - Adt Prey
pPREY2HER1,92,2HER1,HER,21,Adt Pred - Juv Prey
pPREY2HER2,92,2HER2,HER,22,Adt Pred - Adt Prey
pPREY1INV1,92,1INV1,INV,11,Juv Pred - Juv Prey
pPREY1INV2,92,1INV2,INV,12,Juv Pred - Adt Prey
pPREY2INV1,92,2INV1,INV,21,Adt Pred - Juv Prey
pPREY2INV2,92,2INV2,INV,22,Adt Pred - Adt Prey
pPREYISQ,92,ISQ,ISQ,NA,Invert Pred
pPREYLOB,92,LOB,LOB,NA,Invert Pred
pPREY1LSK1,92,1LSK1,LSK,11,Juv Pred - Juv Prey
pPREY1LSK2,92,1LSK2,LSK,12,Juv Pred - Adt Prey
pPREY2LSK1,92,2LSK1,LSK,21,Adt Pred - Juv Prey
pPREY2LSK2,92,2LSK2,LSK,22,Adt Pred - Adt Prey
pPREYLSQ,92,LSQ,LSQ,NA,Invert Pred
pPREY1MAK1,92,1MAK1,MAK,11,Juv Pred - Juv Prey
pPREY1MAK2,92,1MAK2,MAK,12,Juv Pred - Adt Prey
pPREY2MAK1,92,2MAK1,MAK,21,Adt Pred - Juv Prey
pPREY2MAK2,92,2MAK2,MAK,22,Adt Pred - Adt Prey
pPREY1MEN1,92,1MEN1,MEN,11,Juv Pred - Juv Prey
pPREY1MEN2,92,1MEN2,MEN,12,Juv Pred - Adt Prey
pPREY2MEN1,92,2MEN1,MEN,21,Adt Pred - Juv Prey
pPREY2MEN2,92,2MEN2,MEN,22,Adt Pred - Adt Prey
pPREY1MPF1,92,1MPF1,MPF,11,Juv Pred - Juv Prey
pPREY1MPF2,92,1MPF2,MPF,12,Juv Pred - Adt Prey
pPREY2MPF1,92,2MPF1,MPF,21,Adt Pred - Juv Prey
pPREY2MPF2,92,2MPF2,MPF,22,Adt Pred - Adt Prey
pPREYNSH,92,NSH,NSH,NA,Invert Pred
pPREY1OHK1,92,1OHK1,OHK,11,Juv Pred - Juv Prey
pPREY1OHK2,92,1OHK2,OHK,12,Juv Pred - Adt Prey
pPREY2OHK1,92,2OHK1,OHK,21,Adt Pred - Juv Prey
pPREY2OHK2,92,2OHK2,OHK,22,Adt Pred - Adt Prey
pPREY1OPT1,92,1OPT1,OPT,11,Juv Pred - Juv Prey
pPREY1OPT2,92,1OPT2,OPT,12,Juv Pred - Adt Prey
pPREY2OPT1,92,2OPT1,OPT,21,Adt Pred - Juv Prey
pPREY2OPT2,92,2OPT2,OPT,22,Adt Pred - Adt Prey
pPREYOSH,92,OSH,OSH,NA,Invert Pred
pPREY1PIN1,92,1PIN1,PIN,11,Juv Pred - Juv Prey
pPREY1PIN2,92,1PIN2,PIN,12,Juv Pred - Adt Prey
pPREY2PIN1,92,2PIN1,PIN,21,Adt Pred - Juv Prey
pPREY2PIN2,92,2PIN2,PIN,22,Adt Pred - Adt Prey
pPREY1PLA1,92,1PLA1,PLA,11,Juv Pred - Juv Prey
pPREY1PLA2,92,1PLA2,PLA,12,Juv Pred - Adt Prey
pPREY2PLA1,92,2PLA1,PLA,21,Adt Pred - Juv Prey
pPREY2PLA2,92,2PLA2,PLA,22,Adt Pred - Adt Prey
pPREY1POL1,92,1POL1,POL,11,Juv Pred - Juv Prey
pPREY1POL2,92,1POL2,POL,12,Juv Pred - Adt Prey
pPREY2POL1,92,2POL1,POL,21,Adt Pred - Juv Prey
pPREY2POL2,92,2POL2,POL,22,Adt Pred - Adt Prey
pPREY1POR1,92,1POR1,POR,11,Juv Pred - Juv Prey
pPREY1POR2,92,1POR2,POR,12,Juv Pred - Adt Prey
pPREY2POR1,92,2POR1,POR,21,Adt Pred - Juv Prey
pPREY2POR2,92,2POR2,POR,22,Adt Pred - Adt Prey
pPREY1PSH1,92,1PSH1,PSH,11,Juv Pred - Juv Prey
pPREY1PSH2,92,1PSH2,PSH,12,Juv Pred - Adt Prey
pPREY2PSH1,92,2PSH1,PSH,21,Adt Pred - Juv Prey
pPREY2PSH2,92,2PSH2,PSH,22,Adt Pred - Adt Prey
pPREYQHG,92,QHG,QHG,NA,Invert Pred
pPREYRCB,92,RCB,RCB,NA,Invert Pred
pPREY1RED1,92,1RED1,RED,11,Juv Pred - Juv Prey
pPREY1RED2,92,1RED2,RED,12,Juv Pred - Adt Prey
pPREY2RED1,92,2RED1,RED,21,Adt Pred - Juv Prey
pPREY2RED2,92,2RED2,RED,22,Adt Pred - Adt Prey
pPREY1REP1,92,1REP1,REP,11,Juv Pred - Juv Prey
pPREY1REP2,92,1REP2,REP,12,Juv Pred - Adt Prey
pPREY2REP1,92,2REP1,REP,21,Adt Pred - Juv Prey
pPREY2REP2,92,2REP2,REP,22,Adt Pred - Adt Prey
pPREY1RHK1,92,1RHK1,RHK,11,Juv Pred - Juv Prey
pPREY1RHK2,92,1RHK2,RHK,12,Juv Pred - Adt Prey
pPREY2RHK1,92,2RHK1,RHK,21,Adt Pred - Juv Prey
pPREY2RHK2,92,2RHK2,RHK,22,Adt Pred - Adt Prey
pPREY1RWH1,92,1RWH1,RWH,11,Juv Pred - Juv Prey
pPREY1RWH2,92,1RWH2,RWH,12,Juv Pred - Adt Prey
pPREY2RWH1,92,2RWH1,RWH,21,Adt Pred - Juv Prey
pPREY2RWH2,92,2RWH2,RWH,22,Adt Pred - Adt Prey
pPREY1SAL1,92,1SAL1,SAL,11,Juv Pred - Juv Prey
pPREY1SAL2,92,1SAL2,SAL,12,Juv Pred - Adt Prey
pPREY2SAL1,92,2SAL1,SAL,21,Adt Pred - Juv Prey
pPREY2SAL2,92,2SAL2,SAL,22,Adt Pred - Adt Prey
pPREY1SB1,92,1SB1,SB,11,Juv Pred - Juv Prey
pPREY1SB2,92,1SB2,SB,12,Juv Pred - Adt Prey
pPREY2SB1,92,2SB1,SB,21,Adt Pred - Juv Prey
pPREY2SB2,92,2SB2,SB,22,Adt Pred - Adt Prey
pPREYSCA,92,SCA,SCA,NA,Invert Pred
pPREY1SCU1,92,1SCU1,SCU,11,Juv Pred - Juv Prey
pPREY1SCU2,92,1SCU2,SCU,12,Juv Pred - Adt Prey
pPREY2SCU1,92,2SCU1,SCU,21,Adt Pred - Juv Prey
pPREY2SCU2,92,2SCU2,SCU,22,Adt Pred - Adt Prey
pPREY1SDF1,92,1SDF1,SDF,11,Juv Pred - Juv Prey
pPREY1SDF2,92,1SDF2,SDF,12,Juv Pred - Adt Prey
pPREY2SDF1,92,2SDF1,SDF,21,Adt Pred - Juv Prey
pPREY2SDF2,92,2SDF2,SDF,22,Adt Pred - Adt Prey
pPREY1SHK1,92,1SHK1,SHK,11,Juv Pred - Juv Prey
pPREY1SHK2,92,1SHK2,SHK,12,Juv Pred - Adt Prey
pPREY2SHK1,92,2SHK1,SHK,21,Adt Pred - Juv Prey
pPREY2SHK2,92,2SHK2,SHK,22,Adt Pred - Adt Prey
pPREY1SK1,92,1SK1,SK,11,Juv Pred - Juv Prey
pPREY1SK2,92,1SK2,SK,12,Juv Pred - Adt Prey
pPREY2SK1,92,2SK1,SK,21,Adt Pred - Juv Prey
pPREY2SK2,92,2SK2,SK,22,Adt Pred - Adt Prey
pPREY1SMO1,92,1SMO1,SMO,11,Juv Pred - Juv Prey
pPREY1SMO2,92,1SMO2,SMO,12,Juv Pred - Adt Prey
pPREY2SMO1,92,2SMO1,SMO,21,Adt Pred - Juv Prey
pPREY2SMO2,92,2SMO2,SMO,22,Adt Pred - Adt Prey
pPREY1SSH1,92,1SSH1,SSH,11,Juv Pred - Juv Prey
pPREY1SSH2,92,1SSH2,SSH,12,Juv Pred - Adt Prey
pPREY2SSH1,92,2SSH1,SSH,21,Adt Pred - Juv Prey
pPREY2SSH2,92,2SSH2,SSH,22,Adt Pred - Adt Prey
pPREY1STB1,92,1STB1,STB,11,Juv Pred - Juv Prey
pPREY1STB2,92,1STB2,STB,12,Juv Pred - Adt Prey
pPREY2STB1,92,2STB1,STB,21,Adt Pred - Juv Prey
pPREY2STB2,92,2STB2,STB,22,Adt Pred - Adt Prey
pPREY1SUF1,92,1SUF1,SUF,11,Juv Pred - Juv Prey
pPREY1SUF2,92,1SUF2,SUF,12,Juv Pred - Adt Prey
pPREY2SUF1,92,2SUF1,SUF,21,Adt Pred - Juv Prey
pPREY2SUF2,92,2SUF2,SUF,22,Adt Pred - Adt Prey
pPREY1SWH1,92,1SWH1,SWH,11,Juv Pred - Juv Prey
pPREY1SWH2,92,1SWH2,SWH,12,Juv Pred - Adt Prey
pPREY2SWH1,92,2SWH1,SWH,21,Adt Pred - Juv Prey
pPREY2SWH2,92,2SWH2,SWH,22,Adt Pred - Adt Prey
pPREY1TAU1,92,1TAU1,TAU,11,Juv Pred - Juv Prey
pPREY1TAU2,92,1TAU2,TAU,12,Juv Pred - Adt Prey
pPREY2TAU1,92,2TAU1,TAU,21,Adt Pred - Juv Prey
pPREY2TAU2,92,2TAU2,TAU,22,Adt Pred - Adt Prey
pPREY1TUN1,92,1TUN1,TUN,11,Juv Pred - Juv Prey
pPREY1TUN2,92,1TUN2,TUN,12,Juv Pred - Adt Prey
pPREY2TUN1,92,2TUN1,TUN,21,Adt Pred - Juv Prey
pPREY2TUN2,92,2TUN2,TUN,22,Adt Pred - Adt Prey
pPREY1TWH1,92,1TWH1,TWH,11,Juv Pred - Juv Prey
pPREY1TWH2,92,1TWH2,TWH,12,Juv Pred - Adt Prey
pPREY2TWH1,92,2TWH1,TWH,21,Adt Pred - Juv Prey
pPREY2TWH2,92,2TWH2,TWH,22,Adt Pred - Adt Prey
pPREY1TYL1,92,1TYL1,TYL,11,Juv Pred - Juv Prey
pPREY1TYL2,92,1TYL2,TYL,12,Juv Pred - Adt Prey
pPREY2TYL1,92,2TYL1,TYL,21,Adt Pred - Juv Prey
pPREY2TYL2,92,2TYL2,TYL,22,Adt Pred - Adt Prey
pPREY1WHK1,92,1WHK1,WHK,11,Juv Pred - Juv Prey
pPREY1WHK2,92,1WHK2,WHK,12,Juv Pred - Adt Prey
pPREY2WHK1,92,2WHK1,WHK,21,Adt Pred - Juv Prey
pPREY2WHK2,92,2WHK2,WHK,22,Adt Pred - Adt Prey
pPREY1WIF1,92,1WIF1,WIF,11,Juv Pred - Juv Prey
pPREY1WIF2,92,1WIF2,WIF,12,Juv Pred - Adt Prey
pPREY2WIF1,92,2WIF1,WIF,21,Adt Pred - Juv Prey
pPREY2WIF2,92,2WIF2,WIF,22,Adt Pred - Adt Prey
pPREY1WOL1,92,1WOL1,WOL,11,Juv Pred - Juv Prey
pPREY1WOL2,92,1WOL2,WOL,12,Juv Pred - Adt Prey
pPREY2WOL1,92,2WOL1,WOL,21,Adt Pred - Juv Prey
pPREY2WOL2,92,2WOL2,WOL,22,Adt Pred - Adt Prey
pPREY1WPF1,92,1WPF1,WPF,11,Juv Pred - Juv Prey
pPREY1WPF2,92,1WPF2,WPF,12,Juv Pred - Adt Prey
pPREY2WPF1,92,2WPF1,WPF,21,Adt Pred - Juv Prey
pPREY2WPF2,92,2WPF2,WPF,22,Adt Pred - Adt Prey
pPREY1WSK1,92,1WSK1,WSK,11,Juv Pred - Juv Prey
pPREY1WSK2,92,1WSK2,WSK,12,Juv Pred - Adt Prey
pPREY2WSK1,92,2WSK1,WSK,21,Adt Pred - Juv Prey
pPREY2WSK2,92,2WSK2,WSK,22,Adt Pred - Adt Prey
pPREY1WTF1,92,1WTF1,WTF,11,Juv Pred - Juv Prey
pPREY1WTF2,92,1WTF2,WTF,12,Juv Pred - Adt Prey
pPREY2WTF1,92,2WTF1,WTF,21,Adt Pred - Juv Prey
pPREY2WTF2,92,2WTF2,WTF,22,Adt Pred - Adt Prey
pPREY1YTF1,92,1YTF1,YTF,11,Juv Pred - Juv Prey
pPREY1YTF2,92,1YTF2,YTF,12,Juv Pred - Adt Prey
pPREY2YTF1,92,2YTF1,YTF,21,Adt Pred - Juv Prey
pPREY2YTF2,92,2YTF2,YTF,22,Adt Pred - Adt Prey
pPREYZG,92,ZG,ZG,NA,Invert Pred
pPREYZL,92,ZL,ZL,NA,Invert Pred
pPREYZM,92,ZM,ZM,NA,Invert Pred
pPREYZS,92,ZS,ZS,NA,Invert Pred
