Code,Species,Cohort,SN,RN,weight_g,weight_kg,weight_t,weight_lbs,li_a,li_b,length_cm,,vbert_cm,grams,SN,RN
BIL,Billfish,4,157775.1923,418104.2597,65650.25752,65.65025752,0.065650258,144.7338707,0.0214,2.96,155.4154328,,,,,
BIL,Billfish,5,174502.5333,462431.7133,72610.50411,72.61050411,0.072610504,160.0785696,0.0214,2.96,160.7973716,,,,,
BIL,Billfish,6,182386.1888,483323.4003,75890.89316,75.89089316,0.075890893,167.3105809,0.0214,2.96,163.2157726,,,,,
BIL,Billfish,7,186004.1284,492910.9401,77396.31783,77.39631783,0.077396318,170.6294702,0.0214,2.96,164.3024716,,,,,
BIL,Billfish,8,187644.9615,497259.1481,78079.06848,78.07906848,0.078079068,172.134676,0.0214,2.96,164.790708,,,,,
BIL,Billfish,9,188385.8135,499222.4057,78387.337,78.387337,0.078387337,172.8142909,0.0214,2.96,165.0102253,,,,,
BIL,Billfish,10,188718.3336,500103.5842,78525.69861,78.52569861,0.078525699,173.1193257,0.0214,2.96,165.1085664,,,,,
BLF,Bluefish,1,269.4063927,713.9269407,112.1,0.1121,0.0001121,0.247137902,0.011,2.9,24.10695675,,,,,
BLF,Bluefish,2,1159.336698,3072.24225,482.4,0.4824,0.0004824,1.063508688,0.011,2.9,39.87444897,,,,,
BLF,Bluefish,3,3106.224465,8231.494833,1292.5,1.2925,0.0012925,2.84947135,0.011,2.9,56.01301107,,,,,
BLF,Bluefish,4,5996.875751,15891.72074,2495.3,2.4953,0.0024953,5.501188286,0.011,2.9,70.27542429,,,,,
BLF,Bluefish,5,7692.14131,20384.17447,3200.699999,3.200699999,0.0032007,7.056327232,0.011,2.9,76.5749981,,,,,
BLF,Bluefish,6,10142.27349,26877.02475,4220.199999,4.220199999,0.0042202,9.303937322,0.011,2.9,84.23579358,,,,,
BLF,Bluefish,7,11392.21341,30189.36555,4740.3,4.7403,0.0047403,10.45056019,0.011,2.9,87.68010953,,,,,
BLF,Bluefish,8,12774.81374,33853.25642,5315.599997,5.315599997,0.0053156,11.71887807,0.011,2.9,91.21264235,,,,,
BLF,Bluefish,9,13862.05239,36734.43884,5767.999999,5.767999999,0.005768,12.71624816,0.011,2.9,93.81819905,,,,,
BLF,Bluefish,10,14179.28383,37575.10214,5900.000002,5.900000002,0.0059,13.007258,0.011,2.9,94.55306903,,,,,
BLS,Blue_Shark,1,1355.00938,3590.52486,563.819403,0.563819403,0.000563819,1.243007532,0.00325,3,55.77234247,,,,,
BLS,Blue_Shark,2,9019.28204,23901.1974,3752.923257,3.752923257,0.003752923,8.273769671,0.00325,3,104.9128716,,,,,
BLS,Blue_Shark,3,20847.3854,55245.1214,8674.597065,8.674597065,0.008674597,19.12419018,0.00325,3,138.7145391,,,,,
BLS,Blue_Shark,4,32899.0593,87183.5571,13689.29857,13.68929857,0.013689299,30.17970142,0.00325,3,161.4975525,,,,,
BLS,Blue_Shark,5,43204.5378,114492.325,17977.40818,17.97740818,0.017977408,39.63335362,0.00325,3,176.8538721,,,,,
BLS,Blue_Shark,6,51223.1927,135742.561,21313.97048,21.31397048,0.02131397,46.98920561,0.00325,3,187.1803836,,,,,
BLS,Blue_Shark,7,57132.7029,151401.763,23772.91768,23.77291768,0.023772918,52.41024977,0.00325,3,194.1182534,,,,,
BLS,Blue_Shark,8,61342.9118,162558.266,25524.7856,25.5247856,0.025524786,56.27245283,0.00325,3,198.7740015,,,,,
BLS,Blue_Shark,9,64280.7821,170344.273,26747.23343,26.74723343,0.026747233,58.96748577,0.00325,3,201.8979158,,,,,
BLS,Blue_Shark,10,66302.7108,175702.084,27588.55796,27.58855796,0.027588558,60.82228666,0.00325,3,203.9929757,,,,,
BSB,Black_Sea_Bass,1,127.5414564,337.9848595,53.07000001,0.05307,0.0000531,0.116999183,0.015,3,15.23769499,,,,,
BSB,Black_Sea_Bass,2,347.4885845,920.8447489,144.59,0.14459,0.00014459,0.318766006,0.015,3,21.28215815,,,,,
BSB,Black_Sea_Bass,3,732.4200913,1940.913242,304.76,0.30476,0.00030476,0.671879991,0.015,3,27.28698603,,,,,
BSB,Black_Sea_Bass,4,1115.200673,2955.281782,464.035,0.464035,0.000464035,1.023020842,0.015,3,31.39206078,,,,,
BSB,Black_Sea_Bass,5,1550.432588,4108.646359,645.1349999,0.645135,0.000645135,1.422277523,0.015,3,35.03642466,,,,,
BSB,Black_Sea_Bass,6,1976.435953,5237.555275,822.395,0.822395,0.000822395,1.813068465,0.015,3,37.98945537,,,,,
BSB,Black_Sea_Bass,7,2275.666907,6030.517304,946.905,0.946905,0.000946905,2.087565701,0.015,3,39.81729171,,,,,
BSB,Black_Sea_Bass,8,2451.333814,6496.034608,1020,1.02,0.00102,2.2487124,0.015,3,40.81655102,,,,,
BSB,Black_Sea_Bass,9,2643.59529,7005.527518,1100,1.1,0.0011,2.425082,0.015,3,41.85690786,,,,,
BSB,Black_Sea_Bass,10,3076.18361,8151.886566,1280,1.28,0.00128,2.8219136,0.015,3,44.02569665,,,,,
BUT,Butterfish,1,49.19490507,130.3664984,20.47,0.02047,0.0000205,0.045128571,0.021,3,9.915155187,,,,,
BUT,Butterfish,2,86.10910835,228.1891371,35.82999998,0.03583,0.0000358,0.078991535,0.021,3,11.94930109,,,,,
BUT,Butterfish,3,123.0233117,326.011776,51.19,0.05119,0.0000512,0.112854498,0.021,3,13.45825062,,,,,
BUT,Butterfish,4,164.5638068,436.094088,68.47500001,0.068475,0.0000685,0.150961355,0.021,3,14.82873994,,,,,
BUT,Butterfish,5,206.1043018,546.1763998,85.75999998,0.08576,0.0000858,0.189068211,0.021,3,15.98411121,,,,,
BUT,Butterfish,6,244.7128095,648.4889451,101.825,0.101825,0.000101825,0.224485432,0.021,3,16.92563774,,,,,
BUT,Butterfish,7,283.321317,750.8014901,117.89,0.11789,0.00011789,0.259902652,0.021,3,17.77266511,,,,,
BUT,Butterfish,8,314.4436434,833.275655,130.84,0.13084,0.00013084,0.288452481,0.021,3,18.40095713,,,,,
BUT,Butterfish,9,345.5659698,915.7498198,143.79,0.14379,0.00014379,0.31700231,0.021,3,18.98904526,,,,,
BUT,Butterfish,10,372.7469359,987.77938,155.1,0.1551,0.0001551,0.341936562,0.021,3,19.47440366,,,,,
BWH,Baleen_Whale,1,1513105530,4009729654,629603211,629603.211,629.603211,1388035.831,0.2,3,1465.589392,,,,,
BWH,Baleen_Whale,2,1762470683,4670547309,733364051.2,733364.0512,733.3640512,1616789.055,0.2,3,1542.0432,,,,,
BWH,Baleen_Whale,3,1772157205,4696216593,737394613,737394.613,737.394613,1625674.912,0.2,3,1544.863059,,,,,
BWH,Baleen_Whale,4,1772515152,4697165152,737543554.7,737543.5547,737.5435547,1626003.272,0.2,3,1544.967064,,,,,
BWH,Baleen_Whale,5,1772528355,4697200141,737549048.5,737549.0485,737.5490485,1626015.383,0.2,3,1544.9709,,,,,
BWH,Baleen_Whale,6,1772528841,4697201430,737549250.7,737549.2507,737.5492507,1626015.829,0.2,3,1544.971041,,,,,
BWH,Baleen_Whale,7,1772528859,4697201478,737549258.2,737549.2582,737.5492582,1626015.846,0.2,3,1544.971047,,,,,
BWH,Baleen_Whale,8,1772528860,4697201480,737549258.6,737549.2586,737.5492586,1626015.847,0.2,3,1544.971047,,,,,
BWH,Baleen_Whale,9,1772528862,4697201484,737549259.5,737549.2595,737.5492595,1626015.848,0.2,3,1544.971047,,,,,
BWH,Baleen_Whale,10,1772528862,4697201485,737549259.5,737549.2595,737.5492595,1626015.848,0.2,3,1544.971047,,,,,
COD,Cod,1,309.3006489,819.6467196,128.7,0.1287,0.0001287,0.283734594,0.012,3,22.05290299,,,,,
COD,Cod,2,3222.062004,8538.464311,1340.7,1.3407,0.0013407,2.955734034,0.012,3,48.16336121,,,,,
COD,Cod,3,7922.134104,20993.65538,3296.400001,3.296400001,0.0032964,7.267309369,0.012,3,65.00591663,,,,,
COD,Cod,4,14625.69094,38758.08098,6085.75,6.08575,0.00608575,13.41676617,0.012,3,79.7463756,,,,,
COD,Cod,5,23666.30617,62715.71136,9847.549997,9.847549997,0.00984755,21.71010568,0.012,3,93.62294888,,,,,
COD,Cod,6,39926.70031,105805.7558,16613.5,16.6135,0.0166135,36.62645437,0.012,3,111.4533936,,,,,
COD,Cod,7,49795.72218,131958.6638,20720,20.72,0.02072,45.6797264,0.012,3,119.9691279,,,,,
COD,Cod,8,52871.90579,140110.5503,22000,22,0.022,48.50164,0.012,3,122.390341,,,,,
COD,Cod,9,57678.44268,152847.8731,24000,24,0.024,52.91088,0.012,3,125.992105,,,,,
COD,Cod,10,60081.71113,159216.5345,25000,25,0.025,55.1155,0.012,3,127.7182387,,,,,
DOG,Spiny_Dogfish,1,343.7793207,911.0151998,143.0465753,0.143046575,0.000143047,0.315363341,0.0134,3.1,19.92852032,,,,,
DOG,Spiny_Dogfish,2,1944.830175,5153.799963,809.2438358,0.809243836,0.000809244,1.784075145,0.0134,3.1,34.85377887,,,,,
DOG,Spiny_Dogfish,3,4816.663539,12764.15838,2004.213699,2.004213699,0.002004214,4.418529604,0.0134,3.1,46.69850493,,,,,
DOG,Spiny_Dogfish,4,8564.458623,22695.81535,3563.671233,3.563671233,0.003563671,7.856540874,0.0134,3.1,56.22548003,,,,,
DOG,Spiny_Dogfish,5,12752.8617,33795.08351,5306.465753,5.306465753,0.005306466,11.69874053,0.0134,3.1,63.93075899,,,,,
DOG,Spiny_Dogfish,6,17035.09101,45142.99118,7088.301369,7.088301369,0.007088301,15.62701096,0.0134,3.1,70.18917231,,,,,
DOG,Spiny_Dogfish,7,21167.19835,56093.07562,8807.671233,8.807671233,0.008807671,19.41756815,0.0134,3.1,75.28276813,,,,,
DOG,Spiny_Dogfish,8,24995.30869,66237.56802,10400.54795,10.40054795,0.010400548,22.92925601,0.0134,3.1,79.42995741,,,,,
DOG,Spiny_Dogfish,9,28445.11165,75379.54588,11836.01096,11.83601096,0.011836011,26.09390648,0.0134,3.1,82.81270199,,,,,
DOG,Spiny_Dogfish,10,31491.08651,83451.37925,13103.4411,13.1034411,0.013103441,28.88810831,0.0134,3.1,85.57532723,,,,,
DRM,Drums_Croakers,1,127.5414564,337.9848595,53.07000001,0.05307,0.0000531,0.116999183,0.0144,3,15.44645648,,,,,
DRM,Drums_Croakers,2,347.4885845,920.8447489,144.59,0.14459,0.00014459,0.318766006,0.0144,3,21.5737308,,,,,
DRM,Drums_Croakers,3,732.4200913,1940.913242,304.76,0.30476,0.00030476,0.671879991,0.0144,3,27.66082682,,,,,
DRM,Drums_Croakers,4,1115.200673,2955.281782,464.035,0.464035,0.000464035,1.023020842,0.0144,3,31.82214245,,,,,
DRM,Drums_Croakers,5,1550.432588,4108.646359,645.1349999,0.645135,0.000645135,1.422277523,0.0144,3,35.51643533,,,,,
DRM,Drums_Croakers,6,1976.435953,5237.555275,822.395,0.822395,0.000822395,1.813068465,0.0144,3,38.50992354,,,,,
DRM,Drums_Croakers,7,2275.666907,6030.517304,946.905,0.946905,0.000946905,2.087565701,0.0144,3,40.36280185,,,,,
DRM,Drums_Croakers,8,2451.333814,6496.034608,1020,1.02,0.00102,2.2487124,0.0144,3,41.37575134,,,,,
DRM,Drums_Croakers,9,2643.59529,7005.527518,1100,1.1,0.0011,2.425082,0.0144,3,42.43036142,,,,,
DRM,Drums_Croakers,10,3076.18361,8151.886566,1280,1.28,0.00128,2.8219136,0.0144,3,44.62886334,,,,,
DSH,Demersal_Shark,1,819.6659786,2172.114843,341.0630137,0.341063014,0.000341063,0.751914341,0.00396,3.2,34.8522704,,,,,
DSH,Demersal_Shark,2,3110.527303,8242.897354,1294.290411,1.294290411,0.00129429,2.853418525,0.00396,3.2,52.8725396,,,,,
DSH,Demersal_Shark,3,5086.883093,13480.2402,2116.652055,2.116652055,0.002116652,4.666413453,0.00396,3.2,61.65747203,,,,,
DSH,Demersal_Shark,4,6322.386939,16754.32539,2630.745205,2.630745205,0.002630745,5.799793495,0.00396,3.2,65.99254474,,,,,
DSH,Demersal_Shark,5,7003.190092,18558.45374,2914.027397,2.914027397,0.002914027,6.424323081,0.00396,3.2,68.13566735,,,,,
DSH,Demersal_Shark,6,7359.72978,19503.28392,3062.383561,3.062383561,0.003062384,6.751392047,0.00396,3.2,69.2012397,,,,,
DSH,Demersal_Shark,7,7506.098705,19891.16157,3123.287671,3.123287671,0.003123288,6.885662466,0.00396,3.2,69.62841358,,,,,
DSH,Demersal_Shark,8,7633.702383,20229.31132,3176.383562,3.176383562,0.003176384,7.002718728,0.00396,3.2,69.99617336,,,,,
DSH,Demersal_Shark,9,7678.738975,20348.65828,3195.123287,3.195123287,0.003195123,7.044032702,0.00396,3.2,70.1249615,,,,,
DSH,Demersal_Shark,10,7701.257272,20408.33177,3204.493151,3.204493151,0.003204493,7.06468969,0.00396,3.2,70.1891609,,,,,
FOU,Fourspotflounder,1,476.0273973,1261.472603,198.075,0.198075,0.000198075,0.436680107,0.012,2.95,26.89746359,,,,,
FOU,Fourspotflounder,2,1129.488104,2993.143474,469.9800001,0.46998,0.00046998,1.036127308,0.012,2.95,36.05077627,,,,,
FOU,Fourspotflounder,3,1548.906513,4104.60226,644.5000001,0.6445,0.0006445,1.42087759,0.012,2.95,40.12397562,,,,,
FOU,Fourspotflounder,4,2095.457822,5552.96323,871.9199997,0.87192,0.00087192,1.92225227,0.012,2.95,44.45255659,,,,,
FOU,Fourspotflounder,5,2636.890171,6987.758953,1097.21,1.09721,0.00109721,2.418931111,0.012,2.95,48.05423841,,,,,
FOU,Fourspotflounder,6,2919.850997,7737.605143,1214.95,1.21495,0.00121495,2.678503069,0.012,2.95,49.74369251,,,,,
FOU,Fourspotflounder,7,3445.56597,9130.749819,1433.7,1.4337,0.0014337,3.160763694,0.012,2.95,52.6151558,,,,,
FOU,Fourspotflounder,8,3970.920452,10522.9392,1652.3,1.6523,0.0016523,3.642693626,0.012,2.95,55.20807388,,,,,
FOU,Fourspotflounder,9,4109.589041,10890.41096,1710,1.71,0.00171,3.7699002,0.012,2.95,55.85420649,,,,,
FOU,Fourspotflounder,10,4373.94857,11590.96371,1820,1.82,0.00182,4.0124084,0.012,2.95,57.0471492,,,,,
GOO,Monkfish,1,32.68445085,86.61379476,13.6,0.0136,0.0000136,0.029982832,0.013,3,10.15153817,,,,,
GOO,Monkfish,2,155.0108147,410.778659,64.5,0.0645,0.0000645,0.14219799,0.013,3,17.05580102,,,,,
GOO,Monkfish,3,455.6596972,1207.498198,189.6,0.1896,0.0001896,0.417995952,0.013,3,24.43233607,,,,,
GOO,Monkfish,4,1113.434271,2950.600817,463.3000002,0.4633,0.0004633,1.021400446,0.013,3,32.90836579,,,,,
GOO,Monkfish,5,2142.033165,5676.387887,891.3,0.8913,0.0008913,1.964977806,0.013,3,40.92859641,,,,,
GOO,Monkfish,6,4036.770007,10697.44052,1679.7,1.6797,0.0016797,3.703100214,0.013,3,50.55484579,,,,,
GOO,Monkfish,7,6590.963711,17466.05383,2742.5,2.7425,0.0027425,6.04617035,0.013,3,59.52980062,,,,,
GOO,Monkfish,8,10846.19082,28742.40567,4513.1,4.5131,0.0045131,9.949670522,0.013,3,70.28196059,,,,,
GOO,Monkfish,9,18022.11007,47758.59168,7499,7.499,0.007499,16.53244538,0.013,3,83.24407537,,,,,
GOO,Monkfish,10,27537.01034,72973.07739,11458.15,11.45815,0.01145815,25.26086666,0.013,3,95.87904885,,,,,
HAD,Haddock,1,290.555155,769.9711609,120.9,0.1209,0.0001209,0.266538558,0.0118,3,21.71941371,,,,,
HAD,Haddock,2,1987.02235,5265.609228,826.7999998,0.8268,0.0008268,1.822779816,0.0118,3,41.2261539,,,,,
HAD,Haddock,3,3981.73516,10551.59817,1656.8,1.6568,0.0016568,3.652614416,0.0118,3,51.97518289,,,,,
HAD,Haddock,4,5681.326604,15055.5155,2364,2.364,0.002364,5.21172168,0.0118,3,58.51337586,,,,,
HAD,Haddock,5,6717.495794,17801.36385,2795.15,2.79515,0.00279515,6.162243593,0.0118,3,61.87393032,,,,,
HAD,Haddock,6,7278.538813,19288.12785,3028.6,3.0286,0.0030286,6.676912132,0.0118,3,63.5506461,,,,,
HAD,Haddock,7,7769.887048,20590.20068,3233.050001,3.233050001,0.00323305,7.127646692,0.0118,3,64.94964844,,,,,
HAD,Haddock,8,8090.60322,21440.09853,3366.5,3.3665,0.0033665,7.42185323,0.0118,3,65.83126551,,,,,
HAD,Haddock,9,8291.276134,21971.88176,3449.999999,3.449999999,0.00345,7.605938999,0.0118,3,66.3711021,,,,,
HAD,Haddock,10,8651.766403,22927.18097,3600,3.6,0.0036,7.936632001,0.0118,3,67.31938883,,,,,
HAL,Halibut,1,476.0273973,1261.472603,198.075,0.198075,0.000198075,0.436680107,0.0168,3.1,20.5775503,,,,,
HAL,Halibut,2,1129.488104,2993.143474,469.9800001,0.46998,0.00046998,1.036127308,0.0168,3.1,27.19205101,,,,,
HAL,Halibut,3,1548.906513,4104.60226,644.5000001,0.6445,0.0006445,1.42087759,0.0168,3.1,30.1079939,,,,,
HAL,Halibut,4,2095.457822,5552.96323,871.9199997,0.87192,0.00087192,1.92225227,0.0168,3.1,33.19110631,,,,,
HAL,Halibut,5,2636.890171,6987.758953,1097.21,1.09721,0.00109721,2.418931111,0.0168,3.1,35.74534625,,,,,
HAL,Halibut,6,2919.850997,7737.605143,1214.95,1.21495,0.00121495,2.678503069,0.0168,3.1,36.94024039,,,,,
HAL,Halibut,7,3445.56597,9130.749819,1433.7,1.4337,0.0014337,3.160763694,0.0168,3.1,38.96666402,,,,,
HAL,Halibut,8,3970.920452,10522.9392,1652.3,1.6523,0.0016523,3.642693626,0.0168,3.1,40.79191287,,,,,
HAL,Halibut,9,4109.589041,10890.41096,1710,1.71,0.00171,3.7699002,0.0168,3.1,41.24609597,,,,,
HAL,Halibut,10,4373.94857,11590.96371,1820,1.82,0.00182,4.0124084,0.0168,3.1,42.08398028,,,,,
HER,Herring,1,16.82287911,44.58062965,6.999999998,0.007,0.000007,0.01543234,0.0125,3,8.242570599,,,,,
HER,Herring,2,32.97284307,87.37803414,13.72,0.01372,0.0000137,0.030247386,0.0125,3,10.3152882,,,,,
HER,Herring,3,91.49242972,242.4549388,38.07000001,0.03807,0.0000381,0.083929883,0.0125,3,14.49520254,,,,,
HER,Herring,4,197.6207643,523.6950253,82.23000003,0.08223,0.0000822,0.181285903,0.0125,3,18.73728916,,,,,
HER,Herring,5,286.3734679,758.8896899,119.16,0.11916,0.00011916,0.262702519,0.0125,3,21.20346449,,,,,
HER,Herring,6,355.755828,942.7529441,148.03,0.14803,0.00014803,0.326349899,0.0125,3,22.79361676,,,,,
HER,Herring,7,418.3129055,1108.5292,174.06,0.17406,0.00017406,0.383736157,0.0125,3,24.05819212,,,,,
HER,Herring,8,455.4914684,1207.052391,189.53,0.18953,0.00018953,0.417841629,0.0125,3,24.75080431,,,,,
HER,Herring,9,520.1153569,1378.305696,216.42,0.21642,0.00021642,0.47712386,0.0125,3,25.86996215,,,,,
HER,Herring,10,647.6207643,1716.195025,269.475,0.269475,0.000269475,0.594089975,0.0125,3,27.83147067,,,,,
INV,Invasive_Species,1,127.5414564,337.9848595,53.07000001,0.05307,0.0000531,0.116999183,0.012,3.1,14.99760408,,,,,
INV,Invasive_Species,2,347.4885845,920.8447489,144.59,0.14459,0.00014459,0.318766006,0.012,3.1,20.72228993,,,,,
INV,Invasive_Species,3,732.4200913,1940.913242,304.76,0.30476,0.00030476,0.671879991,0.012,3.1,26.35698417,,,,,
INV,Invasive_Species,4,1115.200673,2955.281782,464.035,0.464035,0.000464035,1.023020842,0.012,3.1,30.18537743,,,,,
INV,Invasive_Species,5,1550.432588,4108.646359,645.1349999,0.645135,0.000645135,1.422277523,0.012,3.1,33.57050369,,,,,
INV,Invasive_Species,6,1976.435953,5237.555275,822.395,0.822395,0.000822395,1.813068465,0.012,3.1,36.30508758,,,,,
INV,Invasive_Species,7,2275.666907,6030.517304,946.905,0.946905,0.000946905,2.087565701,0.012,3.1,37.99424289,,,,,
INV,Invasive_Species,8,2451.333814,6496.034608,1020,1.02,0.00102,2.2487124,0.012,3.1,38.91662211,,,,,
INV,Invasive_Species,9,2643.59529,7005.527518,1100,1.1,0.0011,2.425082,0.012,3.1,39.87616345,,,,,
INV,Invasive_Species,10,3076.18361,8151.886566,1280,1.28,0.00128,2.8219136,0.012,3.1,41.87402901,,,,,
LSK,Little_Skate,1,350,927.5,145.635,0.145635,0.000145635,0.321069834,0.0127,3.1,20.39406897,,,,,
LSK,Little_Skate,2,1200,3180,499.32,0.49932,0.00049932,1.100810858,0.0127,3.1,30.347369,,,,,
LSK,Little_Skate,3,1800,4770,748.98,0.74898,0.00074898,1.651216288,0.0127,3.1,34.58793844,,,,,
LSK,Little_Skate,4,3129.99,8294.48,1302.388839,1.302388839,0.001302389,2.871272482,0.0127,3.1,41.34578791,,,,,
LSK,Little_Skate,5,7000,18550,2912.7,2.9127,0.0029127,6.421396674,0.0127,3.1,53.60323234,,,,,
LSK,Little_Skate,6,9000,23850,3744.9,3.7449,0.0037449,8.256081438,0.0127,3.1,58.12980584,,,,,
LSK,Little_Skate,7,13000,34450,5409.3,5.4093,0.0054093,11.92545097,0.0127,3.1,65.45084732,,,,,
LSK,Little_Skate,8,18000,40770,7489.8,7.4898,0.0074898,16.51216288,0.0127,3.1,72.69513084,,,,,
LSK,Little_Skate,9,30000,79500,12483,12.483,0.012483,27.52027146,0.0127,3.1,85.71748801,,,,,
LSK,Little_Skate,10,32000,85500,13315.2,13.3152,0.0133152,29.35495622,0.0127,3.1,87.52073558,,,,,
MAK,Mackerel,1,24.46,64.84,10.177806,0.010177806,0.0000102,0.022438195,0.0129,3.05,8.909579336,,,,,
MAK,Mackerel,2,31.24,82.79,12.998964,0.012998964,0.000013,0.028657776,0.0129,3.05,9.653721466,,,,,
MAK,Mackerel,3,60.65,160.73,25.236465,0.025236465,0.0000252,0.055636815,0.0129,3.05,11.99942031,,,,,
MAK,Mackerel,4,230.06,609.67,95.727966,0.095727966,0.0000957,0.211043788,0.0129,3.05,18.57803222,,,,,
MAK,Mackerel,5,437.81,1160.21,182.172741,0.182172741,0.000182173,0.401621668,0.0129,3.05,22.94145083,,,,,
MAK,Mackerel,6,498.6,1321.3,207.46746,0.20746746,0.000207467,0.457386912,0.0129,3.05,23.94057174,,,,,
MAK,Mackerel,7,581.55,1541.12,241.982955,0.241982955,0.000241983,0.533480462,0.0129,3.05,25.1795267,,,,,
MAK,Mackerel,8,607.61,1610.16,252.826521,0.252826521,0.000252827,0.557386405,0.0129,3.05,25.54403387,,,,,
MAK,Mackerel,9,704.28,1866.37,293.050908,0.293050908,0.000293051,0.646065893,0.0129,3.05,26.81097313,,,,,
MAK,Mackerel,10,759.34,2012.27,315.961374,0.315961374,0.000315961,0.696574764,0.0129,3.05,27.48089752,,,,,
MEN,Menhaden,1,48.0653689,127.3732276,20,0.02,0.00002,0.0440924,0.01,2.9,13.74947784,,,,,
MEN,Menhaden,2,120.1634223,318.433069,50.00000002,0.05,0.00005,0.110231,0.01,2.9,18.85848923,,,,,
MEN,Menhaden,3,192.2614756,509.4929104,80,0.08,0.00008,0.1763696,0.01,2.9,22.17650481,,,,,
MEN,Menhaden,4,242.730113,643.2347994,101,0.101,0.000101,0.22266662,0.01,2.9,24.03258427,,,,,
MEN,Menhaden,5,254.7464552,675.0781062,106,0.106,0.000106,0.23368972,0.01,2.9,24.43635948,,,,,
MEN,Menhaden,6,283.321317,750.8014901,117.89,0.11789,0.00011789,0.259902652,0.01,2.9,25.34880993,,,,,
MEN,Menhaden,7,314.4436434,833.275655,130.84,0.13084,0.00013084,0.288452481,0.01,2.9,26.27639017,,,,,
MEN,Menhaden,8,345.5659698,915.7498198,143.79,0.14379,0.00014379,0.31700231,0.01,2.9,27.1456063,,,,,
MEN,Menhaden,9,372.7469359,987.77938,155.1,0.1551,0.0001551,0.341936562,0.01,2.9,27.86368495,,,,,
MEN,Menhaden,10,408.7959625,1083.309301,170.1,0.1701,0.0001701,0.375005862,0.01,2.9,28.76494556,,,,,
OHK,Offshore_Hake,1,127.5414564,337.9848595,53.07000001,0.05307,0.0000531,0.116999183,0.014,2.8,18.97206751,,,,,
