#
#Atlantis2 Updated to Version 6536
#
#
#
#Atlantis path https://svnserv.csiro.au/svn/ext/atlantis/Atlantis/trunk/atlantis Relative ^/Atlantis/trunk/atlantis
#
#
#
#Atlantis SVN Last Change Date 2020-11-17 00:11:57 +0000 (Tue, 17 Nov 2020)

# Log file for run of Atlantis - only ecological errors and important events are recorded here #
# Key to indices used in Atlantis, which may appear in logged errors here:
atlantisMerged -i neus_init.nc 0 -o neus_output.nc -r at_run.prm -f at_force_LINUX.prm -p at_physics.prm -b at_biology.prm -h at_harvest.prm -e at_economics.prm -s neus_groups.csv -q neus_fisheries.csv -t . -d Master_12152020
Counter: 25, sp: BFT-0, MigrateAway: 9126, MigrateBack: 9320 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 26, sp: BFT-0, MigrateAway: 9491, MigrateBack: 9685 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 27, sp: BFT-0, MigrateAway: 9856, MigrateBack: 10050 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 28, sp: BFT-0, MigrateAway: 10221, MigrateBack: 10415 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 29, sp: BFT-0, MigrateAway: 10586, MigrateBack: 10780 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 30, sp: BFT-0, MigrateAway: 10951, MigrateBack: 11145 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 31, sp: BFT-0, MigrateAway: 11316, MigrateBack: 11510 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 32, sp: BFT-0, MigrateAway: 11681, MigrateBack: 11875 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 33, sp: BFT-0, MigrateAway: 12046, MigrateBack: 12240 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
Counter: 34, sp: BFT-0, MigrateAway: 12411, MigrateBack: 12605 sp_Migrate_Time: 1, sp_Migrate_Return: 195, startDay: 1, endDay: 195, num_migrate: 1 multiyr_mig: 0
