Code,Functional_Group,Species,Scientific_Name,SVSPP,NESPP3,Species_Itis,isFishedSpecies
OSH,Other shrimps,Other penaeids,NA,307,NA,NA,FALSE
OSH,Other shrimps,Pink shrimp,NA,914,NA,NA,FALSE
OSH,Other shrimps,White shrimp,NA,915,NA,NA,FALSE
OSH,Other shrimps,Crangon shrimp,CRANGONIDAE,NA,739,97106,FALSE
OSH,Other shrimps,Mantis shrimp,STOMATOPODA,NA,737,99140,FALSE
OSH,Other shrimps,Nk shrimp,CARIDEA,NA,735,96106,FALSE
OSH,Other shrimps,Penaeid shrimp,PANAEIDAE,NA,738,95602,FALSE
OSH,Other shrimps,Shrimp royal red,PLEOTICUS ROBUSTUS,NA,733,95966,FALSE
PB,Pelagic Bacteria,Pelagic Bacteria,NA,NA,NA,NA,FALSE
PIN,Pinnipeds,All Pinnipeds,NA,NA,NA,NA,FALSE
PL,Diatom,Diatom,NA,NA,NA,NA,FALSE
PLA,American plaice,American plaice,HIPPOGLOSSOIDES PLATESSOIDES,102,124,172877,TRUE
POL,Pollock,Pollock,POLLACHIUS VIRENS,75,269,164727,TRUE
POL,Pollock,Pollock,POLLACHIUS VIRENS,75,270,164727,TRUE
POR,Porbeagle shark,Porbeagle shark,LAMNA NASUS,353,481,159911,TRUE
PS,Pico-phytoplankton,Pico-phytoplankton,NA,NA,NA,NA,FALSE
PSH,Other pelagic sharks,Bignose shark,CARCHARHINUS ALTIMUS,929,483,160307,FALSE
PSH,Other pelagic sharks,Blacknose shark,CARCHARHINUS ACRONOTUS,354,503,160304,FALSE
PSH,Other pelagic sharks,Blacktip shark,CARCHARHINUS LIMBATUS,357,487,160318,FALSE
PSH,Other pelagic sharks,Dusky shark,CARCHARHINUS OBSCURUS,3,484,160268,FALSE
PSH,Other pelagic sharks,Finetooth shark,CARCHARHINUS ISODON,928,499,160409,FALSE
PSH,Other pelagic sharks,Great hammerhead,SPHYRNA MOKARRAN,363,386,160515,FALSE
PSH,Other pelagic sharks,Shortfin mako,ISURUS OXYRINCHUS,352,355,159924,FALSE
PSH,Other pelagic sharks,Silky shark,CARCHARHINUS FALCIFORMIS,355,485,160310,FALSE
PSH,Other pelagic sharks,Tiger shark,GALEOCERDO CUVIER,358,491,160189,FALSE
PSH,Other pelagic sharks,White shark,CARCHARODON CARCHARIAS,351,480,159903,FALSE
PSH,Other pelagic sharks,Basking shark,CETORHINUS MAXIMUS,NA,496,159907,FALSE
PSH,Other pelagic sharks,Mako longfin shark,ISURUS PAUCUS,NA,358,159926,FALSE
PSH,Other pelagic sharks,Mako shark,ISURUS,NA,357,159923,FALSE
PSH,Other pelagic sharks,Pelagic sharks,LAMINIFORMES,NA,498,159851,FALSE
