"","SOURCE","YEAR","NumTow"
"390","NC120",1981,1
"391","NC120",1982,1
"392","NC120",1983,1
"393","NC120",1984,1
"394","NC120",1985,1
"395","NC120",1986,1
"396","NC120",1987,1
"397","NC120",1988,1
"398","NC120",1989,1
"399","NC120",1990,1
"400","NC120",1991,1
"401","NC120",1992,1
"402","NC120",1993,1
"403","NC120",1994,1
"404","NC120",1995,1
"405","NC120",1996,1
"406","NC120",1997,1
"407","NC120",1998,1
"408","NC120",1999,1
"409","NC120",2010,1
"410","NC120",2011,1
"411","NC120",2012,1
"412","NC120",2013,1
"413","NC120",2014,1
"414","NC120",2015,1
"415","NC120",2016,1
"416","NC120",2017,1
"417","NC120",2018,1
"418","NC120",2019,1
"419","195-Pamlico Sound Survey",1987,1
"420","195-Pamlico Sound Survey",1988,1
"421","195-Pamlico Sound Survey",1989,1
"422","195-Pamlico Sound Survey",1990,1
"423","195-Pamlico Sound Survey",1991,1
"424","195-Pamlico Sound Survey",1992,1
"425","195-Pamlico Sound Survey",1993,1
"426","195-Pamlico Sound Survey",1994,1
"427","195-Pamlico Sound Survey",1995,1
"428","195-Pamlico Sound Survey",1996,1
"429","195-Pamlico Sound Survey",1997,1
"430","195-Pamlico Sound Survey",1998,1
"431","195-Pamlico Sound Survey",1999,1
"432","195-Pamlico Sound Survey",2000,1
"433","195-Pamlico Sound Survey",2001,1
"434","195-Pamlico Sound Survey",2002,1
"435","195-Pamlico Sound Survey",2003,1
"436","195-Pamlico Sound Survey",2004,1
"437","195-Pamlico Sound Survey",2005,1
"438","195-Pamlico Sound Survey",2006,1
"439","195-Pamlico Sound Survey",2007,1
"440","195-Pamlico Sound Survey",2008,1
"441","195-Pamlico Sound Survey",2009,1
"442","195-Pamlico Sound Survey",2010,1
"443","195-Pamlico Sound Survey",2011,1
"444","195-Pamlico Sound Survey",2012,1
"445","195-Pamlico Sound Survey",2013,1
"446","195-Pamlico Sound Survey",2014,1
"447","195-Pamlico Sound Survey",2015,1
"448","195-Pamlico Sound Survey",2016,1
"449","195-Pamlico Sound Survey",2017,1
"450","195-Pamlico Sound Survey",2018,1
"451","195-Pamlico Sound Survey",2019,1
"452","NH_Juv Seine",1997,1
"453","NH_Juv Seine",1998,1
"454","NH_Juv Seine",1999,1
"455","NH_Juv Seine",2000,1
"456","NH_Juv Seine",2001,1
"457","NH_Juv Seine",2002,1
"458","NH_Juv Seine",2003,1
"459","NH_Juv Seine",2004,1
"460","NH_Juv Seine",2005,1
"461","NH_Juv Seine",2006,1
"462","NH_Juv Seine",2007,1
"463","NH_Juv Seine",2008,1
"464","NH_Juv Seine",2009,1
"465","NH_Juv Seine",2010,1
"466","NH_Juv Seine",2011,1
"467","NH_Juv Seine",2012,1
"468","NH_Juv Seine",2013,1
"469","NH_Juv Seine",2014,1
"470","NH_Juv Seine",2015,1
"471","NH_Juv Seine",2016,1
"472","NH_Juv Seine",2017,1
"473","NH_Juv Seine",2018,1
"474","NH_Juv Seine",2019,1
"475","NY_WLI Seine",1984,1
"476","NY_WLI Seine",1985,1
"477","NY_WLI Seine",1986,1
"478","NY_WLI Seine",1987,1
"479","NY_WLI Seine",1988,1
"480","NY_WLI Seine",1989,1
"481","NY_WLI Seine",1990,1
"482","NY_WLI Seine",1991,1
"483","NY_WLI Seine",1992,1
"484","NY_WLI Seine",1993,1
"485","NY_WLI Seine",1994,1
"486","NY_WLI Seine",1995,1
"487","NY_WLI Seine",1996,1
"488","NY_WLI Seine",1997,1
"489","NY_WLI Seine",1998,1
"490","NY_WLI Seine",1999,1
"491","NY_WLI Seine",2000,1
"492","NY_WLI Seine",2001,1
"493","NY_WLI Seine",2002,1
"494","NY_WLI Seine",2003,1
"495","NY_WLI Seine",2004,1
"496","NY_WLI Seine",2005,1
"497","NY_WLI Seine",2006,1
"498","NY_WLI Seine",2007,1
"499","NY_WLI Seine",2008,1
"500","NY_WLI Seine",2009,1
"501","NY_WLI Seine",2010,1
"502","NY_WLI Seine",2011,1
"503","NY_WLI Seine",2012,1
"504","NY_WLI Seine",2013,1
"505","NY_WLI Seine",2014,1
"506","NY_WLI Seine",2015,1
"507","NY_WLI Seine",2016,1
"508","NY_WLI Seine",2017,1
"509","NY_WLI Seine",2018,1
"510","NY_WLI Seine",2019,1
"511","MD-BASS-SEINE",1959,51
"512","MD-BASS-SEINE",1960,62
"513","MD-BASS-SEINE",1961,85
"514","MD-BASS-SEINE",1962,83
"515","MD-BASS-SEINE",1963,68
"516","MD-BASS-SEINE",1964,86
"517","MD-BASS-SEINE",1965,64
"518","MD-BASS-SEINE",1966,126
"519","MD-BASS-SEINE",1967,106
"520","MD-BASS-SEINE",1968,105
"521","MD-BASS-SEINE",1969,98
"522","MD-BASS-SEINE",1970,132
"523","MD-BASS-SEINE",1971,123
"524","MD-BASS-SEINE",1972,113
"525","MD-BASS-SEINE",1973,115
"526","MD-BASS-SEINE",1974,128
"527","MD-BASS-SEINE",1975,157
"528","MD-BASS-SEINE",1976,185
"529","MD-BASS-SEINE",1977,201
"530","MD-BASS-SEINE",1978,191
"531","MD-BASS-SEINE",1979,187
"532","MD-BASS-SEINE",1980,151
"533","MD-BASS-SEINE",1981,143
"534","MD-BASS-SEINE",1982,204
"535","MD-BASS-SEINE",1983,299
"536","MD-BASS-SEINE",1984,190
"537","MD-BASS-SEINE",1985,192
"538","MD-BASS-SEINE",1986,183
"539","MD-BASS-SEINE",1987,173
"540","MD-BASS-SEINE",1988,168
"541","MD-BASS-SEINE",1989,193
"542","MD-BASS-SEINE",1990,214
"543","MD-BASS-SEINE",1991,194
"544","MD-BASS-SEINE",1992,146
"545","MD-BASS-SEINE",1993,167
"546","MD-BASS-SEINE",1994,183
"547","MD-BASS-SEINE",1995,167
"548","MD-BASS-SEINE",1996,172
"549","MD-BASS-SEINE",1997,163
"550","MD-BASS-SEINE",1998,150
"551","MD-BASS-SEINE",1999,158
"552","MD-BASS-SEINE",2000,165
"553","MD-BASS-SEINE",2001,170
"554","MD-BASS-SEINE",2002,155
"555","MD-BASS-SEINE",2003,165
"556","MD-BASS-SEINE",2004,151
"557","MD-BASS-SEINE",2005,158
"558","MD-BASS-SEINE",2006,122
"559","MD-BASS-SEINE",2007,147
"560","MD-BASS-SEINE",2008,136
"561","MD-BASS-SEINE",2009,142
"562","MD-BASS-SEINE",2010,141
"563","MD-BASS-SEINE",2011,163
"564","MD-BASS-SEINE",2012,129
"565","MD-BASS-SEINE",2013,151
"566","MD-BASS-SEINE",2014,143
"567","MD-BASS-SEINE",2015,159
"568","MD-BASS-SEINE",2016,128
"569","MD-BASS-SEINE",2017,147
"570","MD-BASS-SEINE",2018,149
"571","MD-BASS-SEINE",2019,145
