"Code","Species","Cohort","numyrs","age","li_a","li_b","vbert_cm","grams","SN_mg","RN_mg","Linf","K","To","Rname","Sname","newage","vbert_cm2","grams2","inches","lbs","SN_2","RN_2","interval","recruit_cm","recruit_grams","recruitSN","recruitRN"
"BFT","BluefinTuna",1,3,3,0.03,3,48.2798121870874,1296.2217182591,3115.16875332637,8255.19719631489,314.9,0.089,-1.13,"BluefinTuna1_ResN","BluefinTuna1_StructN",6,147.95154232417,97158.2637500715,58.248670164568,214.197051428683,233497.389449823,618768.082042032,2,54.3785685874823,4823.96967461879,11593.2940990598,30722.2293625085
"BFT","BluefinTuna",2,3,6,0.026,3,110.756101882612,13144.9556540733,31590.8571354802,83715.7714090226,314.9,0.089,-1.13,"BluefinTuna2_ResN","BluefinTuna2_StructN",12,217.025589812938,265770.138982945,85.4431917349436,585.922163804581,638716.988663651,1692600.01995867,2,54.3785685874823,4180.77371800295,10047.5215525185,26625.932114174
"BFT","BluefinTuna",3,3,9,0.026,3,158.592514507545,35790.0280723597,86013.0451150197,227934.569554802,314.9,0.089,-1.13,"BluefinTuna3_ResN","BluefinTuna3_StructN",18,257.520612955491,444026.960171066,101.38612284119,978.910716932335,1067115.98214628,2827857.35268763,2,54.3785685874823,4180.77371800295,10047.5215525185,26625.932114174
"BFT","BluefinTuna",4,3,12,0.026,3,195.219567489963,63904.8005932894,153580.390755322,406988.035501603,314.9,0.089,-1.13,"BluefinTuna4_ResN","BluefinTuna4_StructN",24,281.261032967545,578498.25099946,110.732749940355,1275.36881411843,1390286.59216405,3684259.46923473,2,54.3785685874823,4180.77371800295,10047.5215525185,26625.932114174
"BFT","BluefinTuna",5,3,15,0.026,3,223.263915645736,92934.5214149955,223346.602775764,591868.497355775,314.9,0.089,-1.13,"BluefinTuna5_ResN","BluefinTuna5_StructN",30,295.178978893016,668697.387015461,116.212259169159,1474.22363336203,1607059.32952526,4258707.22324194,2,54.3785685874823,4180.77371800295,10047.5215525185,26625.932114174
"BFT","BluefinTuna",6,3,18,0.026,3,244.73671783541,120072.602726241,288566.697251241,764701.747715788,314.9,0.089,-1.13,"BluefinTuna6_ResN","BluefinTuna6_StructN",36,303.338447793986,725697.669384031,119.42465023494,1599.88759587742,1744046.3095026,4621722.72018188,2,54.3785685874823,4180.77371800295,10047.5215525185,26625.932114174
"BFT","BluefinTuna",7,3,21,0.026,3,261.177864240947,143954.686985044,345961.756753289,916798.655396217,314.9,0.089,-1.13,"BluefinTuna7_ResN","BluefinTuna7_StructN",42,308.121979293706,760573.842109053,121.307931369911,1676.77630379046,1827863.11489799,4843837.25447967,2,54.3785685874823,4180.77371800295,10047.5215525185,26625.932114174
"BFT","BluefinTuna",8,3,24,0.026,3,273.766407307686,164158.730572424,394517.497169969,1045471.36750042,314.9,0.089,-1.13,"BluefinTuna8_ResN","BluefinTuna8_StructN",48,310.926349760281,781530.502636491,122.412014826973,1722.97777672246,1878227.59585795,4977303.12902356,2,54.3785685874823,4180.77371800295,10047.5215525185,26625.932114174
"BFT","BluefinTuna",9,3,27,0.026,3,283.40511574287,180796.821177259,434503.295307038,1151433.73256365,314.9,0.089,-1.13,"BluefinTuna9_ResN","BluefinTuna9_StructN",54,312.570426675895,793993.605352343,123.059289552726,1750.45418223188,1908179.77734281,5056676.40995844,2,54.3785685874823,4180.77371800295,10047.5215525185,26625.932114174
"BFT","BluefinTuna",10,3,30,0.026,3,290.785215235397,194240.65083009,466812.42689279,1237052.93126589,314.9,0.089,-1.13,"BluefinTuna10_ResN","BluefinTuna10_StructN",60,313.534275402969,801361.404248938,123.438757760424,1766.69737903529,1925886.57594073,5103599.42624293,2,54.3785685874823,4180.77371800295,10047.5215525185,26625.932114174
"BIL","Billfish",1,3,3,0.0214,2.96,33.6580065694741,708.917031546759,1703.71793209988,4514.85252006467,358.7,0.092,-1.929,"Billfish1_ResN","Billfish1_StructN",6,185.74725886691,111281.793684653,73.1288815631614,245.33406799306,267440.023274821,708716.061678275,2,84.7300621375875,10899.4566157985,26194.320153325,69414.9484063112
"BIL","Billfish",2,3,6,0.0214,2.96,112.053932344506,24929.7541243248,59912.8914307254,158769.162291422,358.7,0.092,-1.929,"Billfish2_ResN","Billfish2_StructN",12,259.114319463759,298090.65349342,102.013566687202,657.176616504663,716391.861315596,1898438.43248633,2,84.7300621375875,10899.4566157985,26194.320153325,69414.9484063112
"BIL","Billfish",3,3,9,0.0214,2.96,171.5417745416,87932.3485267848,211325.038516666,560011.352069165,358.7,0.092,-1.929,"Billfish3_ResN","Billfish3_StructN",18,301.358857541699,466124.893618318,118.645283573024,1027.62826296882,1120223.24830165,2968591.60799938,2,84.7300621375875,10899.4566157985,26194.320153325,69414.9484063112
"BIL","Billfish",4,3,12,0.0214,2.96,216.681918423838,175569.423273199,421940.454874306,1118142.20541691,358.7,0.092,-1.929,"Billfish4_ResN","Billfish4_StructN",24,325.683138532385,586526.698881159,128.221777323339,1293.06849088738,1409581.10762115,3735389.93519604,2,84.7300621375875,10899.4566157985,26194.320153325,69414.9484063112
"BIL","Billfish",5,3,15,0.0214,2.96,250.934843298103,271090.464446704,651503.158968286,1726483.37126596,358.7,0.092,-1.929,"Billfish5_ResN","Billfish5_StructN",30,339.688988108069,664377.505366206,133.735894307135,1464.69993588044,1596677.4942711,4231195.35981842,2,84.7300621375875,10899.4566157985,26194.320153325,69414.9484063112
"BIL","Billfish",6,3,18,0.0214,2.96,276.926405609089,362921.172150705,872197.001083166,2311322.05287039,358.7,0.092,-1.929,"Billfish6_ResN","Billfish6_StructN",36,347.75351517104,712159.870724433,136.910906676353,1570.0418941965,1711511.34516807,4535505.06469538,2,84.7300621375875,10899.4566157985,26194.320153325,69414.9484063112
"BIL","Billfish",7,3,21,0.0214,2.96,296.649139181352,444890.699605105,1069191.77987288,2833358.21666313,358.7,0.092,-1.929,"Billfish7_ResN","Billfish7_StructN",42,352.397046175563,740677.686437326,138.739069476365,1632.91284107346,1780047.31179362,4717125.37625309,2,84.7300621375875,10899.4566157985,26194.320153325,69414.9484063112
"BIL","Billfish",8,3,24,0.0214,2.96,311.615004445944,514664.39223162,1236876.69365926,3277723.23819705,358.7,0.092,-1.929,"Billfish8_ResN","Billfish8_StructN",48,355.070777694052,757436.047817037,139.791720248926,1669.8586597384,1820322.15288882,4823853.70515537,2,84.7300621375875,10899.4566157985,26194.320153325,69414.9484063112
"BIL","Billfish",9,3,27,0.0214,2.96,322.971296528747,572188.331472968,1375122.161675,3644073.72843875,358.7,0.092,-1.929,"Billfish9_ResN","Billfish9_StructN",54,356.610304452029,767198.389370806,140.397833473068,1691.38091317467,1843783.68029513,4886026.75278211,2,84.7300621375875,10899.4566157985,26194.320153325,69414.9484063112
"BIL","Billfish",10,3,30,0.0214,2.96,331.588597806679,618569.574399446,1486588.73924404,3939460.15899671,358.7,0.092,-1.929,"Billfish10_ResN","Billfish10_StructN",60,357.496759439054,772857.129050321,140.746831687915,1703.85628384692,1857383.15080587,4922065.34963554,2,84.7300621375875,10899.4566157985,26194.320153325,69414.9484063112
"BLF","Bluefish",1,1,1,0.011,2.9,27.0425145421501,156.433295238403,375.95120220717,996.270685848999,81.53,0.31,-0.3,"Bluefish1_ResN","Bluefish1_StructN",1,27.0425145421501,156.433295238403,10.646665017759,0.344875971348489,375.95120220717,996.270685848999,1,27.0425145421501,156.433295238403,375.95120220717,996.270685848999
"BLF","Bluefish",2,1,2,0.011,2.9,41.5663196386248,544.18084001262,1307.81264122235,3465.70349923923,81.53,0.31,-0.3,"Bluefish2_ResN","Bluefish2_StructN",2,41.5663196386248,544.180840012621,16.3647016080462,1.19971196350862,1307.81264122235,3465.70349923923,1,27.0425145421501,156.433295238403,375.95120220717,996.270685848999
"BLF","Bluefish",3,1,3,0.011,2.9,52.2187602794289,1054.60469551315,2534.49818676557,6716.42019492876,81.53,0.31,-0.3,"Bluefish3_ResN","Bluefish3_StructN",3,52.2187602794289,1054.60469551315,20.5585781407715,2.32500260382221,2534.49818676557,6716.42019492875,1,27.0425145421501,156.433295238403,375.95120220717,996.270685848999
"BLF","Bluefish",4,1,4,0.011,2.9,60.0317604437867,1580.14817967457,3797.5202587709,10063.4286857429,81.53,0.31,-0.3,"Bluefish4_ResN","Bluefish4_StructN",4,60.0317604437867,1580.14817967457,23.6345641184793,3.48362627987415,3797.5202587709,10063.4286857429,1,27.0425145421501,156.433295238403,375.95120220717,996.270685848999
"BLF","Bluefish",5,1,5,0.011,2.9,65.7621816333147,2058.37121948809,4946.81860006751,13109.0692901789,81.53,0.31,-0.3,"Bluefish5_ResN","Bluefish5_StructN",5,65.7621816333147,2058.37121948809,25.8906366712176,4.53792635790784,4946.81860006752,13109.0692901789,1,27.0425145421501,156.433295238403,375.95120220717,996.270685848999
"BLF","Bluefish",6,1,6,0.011,2.9,69.9651416126572,2463.48354607608,5920.41227127152,15689.0925188695,81.53,0.31,-0.3,"Bluefish6_ResN","Bluefish6_StructN",6,69.9651416126572,2463.48354607607,27.5453462180448,5.43104509535023,5920.41227127151,15689.0925188695,1,27.0425145421501,156.433295238403,375.95120220717,996.270685848999
"BLF","Bluefish",7,1,7,0.011,2.9,73.0477898166385,2791.60017980307,6708.96462341522,17778.7562520503,81.53,0.31,-0.3,"Bluefish7_ResN","Bluefish7_StructN",7,73.0477898166385,2791.60017980307,28.7589878986004,6.15441758839745,6708.96462341522,17778.7562520503,1,27.0425145421501,156.433295238403,375.95120220717,996.270685848999
"BLF","Bluefish",8,1,8,0.011,2.9,75.3087487589588,3049.61094600149,7329.03375631217,19421.9394542272,81.53,0.31,-0.3,"Bluefish8_ResN","Bluefish8_StructN",8,75.3087487589588,3049.61094600149,29.6491296951509,6.72323328377381,7329.03375631217,19421.9394542273,1,27.0425145421501,156.433295238403,375.95120220717,996.270685848999
"BLF","Bluefish",9,1,9,0.011,2.9,76.9670422133518,3248.45307205498,7806.90476341019,20688.297623037,81.53,0.31,-0.3,"Bluefish9_ResN","Bluefish9_StructN",9,76.9670422133518,3248.45307205498,30.3020014864388,7.16160461171385,7806.90476341019,20688.297623037,1,27.0425145421501,156.433295238403,375.95120220717,996.270685848999
"BLF","Bluefish",10,1,10,0.011,2.9,78.1833125000029,3399.56601485775,8170.06973049207,21650.684785804,81.53,0.31,-0.3,"Bluefish10_ResN","Bluefish10_StructN",10,78.1833125000029,3399.56601485775,30.7808483145637,7.49475122767569,8170.06973049206,21650.684785804,1,27.0425145421501,156.433295238403,375.95120220717,996.270685848999
"BLS","Blue_Shark",1,7,7,0.00325,3,219.265780084395,34260.6766596752,82337.6031234685,218194.648277192,282,0.18,-1.35,"Blue_Shark1_ResN","Blue_Shark1_StructN",28,280.568236257072,71779.2418875851,110.459995182646,158.245952250208,172504.787040579,457137.685657535,4,97.2678254624706,2990.82485685622,7187.75500325936,19047.5507586373
"BLS","Blue_Shark",2,7,14,0.00325,3,264.205185921617,59938.7076171565,144048.804655507,381729.332337094,282,0.18,-1.35,"Blue_Shark2_ResN","Blue_Shark2_StructN",56,281.990731121877,72876.5595281402,111.020032833414,160.665120666928,175141.935900361,464126.130135957,4,97.2678254624706,2990.82485685622,7187.75500325936,19047.5507586373
"BLS","Blue_Shark",3,7,21,0.00325,3,276.952429335852,69039.7003788392,165920.933378609,439690.473453314,282,0.18,-1.35,"Blue_Shark3_ResN","Blue_Shark3_StructN",84,281.999939995616,72883.6994750706,111.023658376214,160.68086153673,175159.095109518,464171.602040224,4,97.2678254624706,2990.82485685622,7187.75500325936,19047.5507586373
"BLS","Blue_Shark",4,7,28,0.00325,3,280.568236257072,71779.2418875851,172504.787040579,457137.685657535,282,0.18,-1.35,"Blue_Shark4_ResN","Blue_Shark4_StructN",112,281.999999611547,72883.7456988093,111.023681847066,160.680963442509,175159.206197571,464171.896423563,4,97.2678254624706,2990.82485685622,7187.75500325936,19047.5507586373
"BLS","Blue_Shark",5,7,35,0.00325,3,281.593874449322,72569.3061783781,174403.523620231,462169.337593612,282,0.18,-1.35,"Blue_Shark5_ResN","Blue_Shark5_StructN",140,281.999999997485,72883.7459980502,111.02368199901,160.680964102221,175159.206916727,464171.898329327,4,97.2678254624706,2990.82485685622,7187.75500325936,19047.5507586373
"BLS","Blue_Shark",6,7,42,0.00325,3,281.884800852286,72794.4617872434,174944.632990251,463603.277424165,282,0.18,-1.35,"Blue_Shark6_ResN","Blue_Shark6_StructN",168,281.999999999984,72883.7459999874,111.023681999994,160.680964106492,175159.206921383,464171.898341665,4,97.2678254624706,2990.82485685622,7187.75500325936,19047.5507586373
"BLS","Blue_Shark",7,7,49,0.00325,3,281.967323297902,72858.4127606492,175098.32434667,464010.559518674,282,0.18,-1.35,"Blue_Shark7_ResN","Blue_Shark7_StructN",196,282,72883.7459999999,111.023682,160.68096410652,175159.206921413,464171.898341744,4,97.2678254624706,2990.82485685622,7187.75500325936,19047.5507586373
"BLS","Blue_Shark",8,7,56,0.00325,3,281.990731121877,72876.5595281402,175141.935900361,464126.130135957,282,0.18,-1.35,"Blue_Shark8_ResN","Blue_Shark8_StructN",224,282,72883.746,111.023682,160.68096410652,175159.206921413,464171.898341745,4,97.2678254624706,2990.82485685622,7187.75500325936,19047.5507586373
"BLS","Blue_Shark",9,7,63,0.00325,3,281.997370845399,72881.7074803237,175154.3078114,464158.915700211,282,0.18,-1.35,"Blue_Shark9_ResN","Blue_Shark9_StructN",252,282,72883.746,111.023682,160.68096410652,175159.206921413,464171.898341745,4,97.2678254624706,2990.82485685622,7187.75500325936,19047.5507586373
"BLS","Blue_Shark",10,7,70,0.00325,3,281.999254229711,72883.1677618238,175157.817259851,464168.215738604,282,0.18,-1.35,"Blue_Shark10_ResN","Blue_Shark10_StructN",280,282,72883.746,111.023682,160.68096410652,175159.206921413,464171.898341745,4,97.2678254624706,2990.82485685622,7187.75500325936,19047.5507586373
"BPF","Benthopelagic_Fish",1,1,1,0.0116,3,17.6217415417192,63.4752574019359,152.548083157741,404.252420368013,29.1726666666667,0.926466666666667,0,"Benthopelagic_Fish1_ResN","Benthopelagic_Fish1_StructN",1,17.6217415417192,63.4752574019358,6.9376972667164,0.139938821973456,152.548083157741,404.252420368012,1,17.6217415417192,63.4752574019358,152.548083157741,404.252420368012
"BPF","Benthopelagic_Fish",2,1,2,0.0116,3,24.5990747915504,172.668973842546,414.969896281052,1099.67022514479,29.1726666666667,0.926466666666667,0,"Benthopelagic_Fish2_ResN","Benthopelagic_Fish2_StructN",2,24.5990747915504,172.668973842546,9.68468034450818,0.380669473112753,414.969896281052,1099.67022514479,1,17.6217415417192,63.4752574019358,152.548083157741,404.252420368012
"BPF","Benthopelagic_Fish",3,1,3,0.0116,3,27.3617517473974,237.62366170011,571.073447969504,1513.34463711918,29.1726666666667,0.926466666666667,0,"Benthopelagic_Fish3_ResN","Benthopelagic_Fish3_StructN",3,27.3617517473974,237.62366170011,10.7723490247021,0.523869877057298,571.073447969504,1513.34463711918,1,17.6217415417192,63.4752574019358,152.548083157741,404.252420368012
"BPF","Benthopelagic_Fish",4,1,4,0.0116,3,28.455634422781,267.27775043603,642.340183696298,1702.20148679519,29.1726666666667,0.926466666666667,0,"Benthopelagic_Fish4_ResN","Benthopelagic_Fish4_StructN",4,28.455634422781,267.27775043603,11.2030117278833,0.589245874166279,642.340183696298,1702.20148679519,1,17.6217415417192,63.4752574019358,152.548083157741,404.252420368012
"BPF","Benthopelagic_Fish",5,1,5,0.0116,3,28.8887575590101,279.669162488917,672.120073273052,1781.11819417359,29.1726666666667,0.926466666666667,0,"Benthopelagic_Fish5_ResN","Benthopelagic_Fish5_StructN",5,28.8887575590101,279.669162488917,11.3735327397398,0.616564229006316,672.120073273052,1781.11819417359,1,17.6217415417192,63.4752574019358,152.548083157741,404.252420368012
"BPF","Benthopelagic_Fish",6,1,6,0.0116,3,29.0602527799863,284.679472395857,684.161192972498,1813.02716137712,29.1726666666667,0.926466666666667,0,"Benthopelagic_Fish6_ResN","Benthopelagic_Fish6_StructN",6,29.0602527799863,284.679472395857,11.4410505797334,0.627610058433353,684.161192972498,1813.02716137712,1,17.6217415417192,63.4752574019358,152.548083157741,404.252420368012
"BPF","Benthopelagic_Fish",7,1,7,0.0116,3,29.1281563583398,286.679726077945,688.968339528826,1825.76609975139,29.1726666666667,0.926466666666667,0,"Benthopelagic_Fish7_ResN","Benthopelagic_Fish7_StructN",7,29.1281563583398,286.679726077945,11.4677842864347,0.632019857705958,688.968339528826,1825.76609975139,1,17.6217415417192,63.4752574019358,152.548083157741,404.252420368012
"BPF","Benthopelagic_Fish",8,1,8,0.0116,3,29.1550427982474,287.474309221856,690.877936125584,1830.8265307328,29.1726666666667,0.926466666666667,0,"Benthopelagic_Fish8_ResN","Benthopelagic_Fish8_StructN",8,29.1550427982474,287.474309221856,11.4783695047128,0.633771611596687,690.877936125584,1830.8265307328,1,17.6217415417192,63.4752574019358,152.548083157741,404.252420368012
"BPF","Benthopelagic_Fish",9,1,9,0.0116,3,29.1656884912791,287.789329941003,691.63501547946,1832.83279102057,29.1726666666667,0.926466666666667,0,"Benthopelagic_Fish9_ResN","Benthopelagic_Fish9_StructN",9,29.1656884912791,287.789329941003,11.4825607247051,0.634466112574535,691.63501547946,1832.83279102057,1,17.6217415417192,63.4752574019358,152.548083157741,404.252420368012
"BPF","Benthopelagic_Fish",10,1,10,0.0116,3,29.1699036562662,287.914126052305,691.934934035821,1833.62757519493,29.1726666666667,0.926466666666667,0,"Benthopelagic_Fish10_ResN","Benthopelagic_Fish10_StructN",10,29.1699036562662,287.914126052305,11.4842202393756,0.634741240577433,691.934934035821,1833.62757519493,1,17.6217415417192,63.4752574019358,152.548083157741,404.252420368012
"BSB","Black_Sea_Bass",1,2,2,0.015,3,19.1988128345637,106.148627567673,255.103647122503,676.024664874632,58.9,0.22,0.207,"Black_Sea_Bass1_ResN","Black_Sea_Bass1_StructN",3,27.0390509983107,296.527921744131,10.6453014170859,0.653731386835546,712.636197414398,1888.48592314816,1.5,9.42927449645541,12.5755241384963,30.222360342457,80.089254907511
"BSB","Black_Sea_Bass",2,2,4,0.015,3,33.3309895052204,555.438372390013,1334.86751355447,3537.39891091933,58.9,0.22,0.207,"Black_Sea_Bass2_ResN","Black_Sea_Bass2_StructN",6,42.4326259903049,1146.01680801641,16.705767285009,2.52653157528914,2754.18603224324,7298.59298544458,1.5,9.42927449645541,12.5755241384963,30.222360342457,80.089254907511
"BSB","Black_Sea_Bass",3,2,6,0.015,3,42.4326259903049,1146.01680801641,2754.18603224324,7298.59298544458,58.9,0.22,0.207,"Black_Sea_Bass3_ResN","Black_Sea_Bass3_StructN",9,50.3888157675152,1919.08280537697,19.8381271564865,4.23084833439017,4612.07114966827,12221.9885466209,1.5,9.42927449645541,12.5755241384963,30.222360342457,80.089254907511
"BSB","Black_Sea_Bass",4,2,8,0.015,3,48.2944113781584,1689.59217908128,4060.54356904898,10760.4404579798,58.9,0.22,0.207,"Black_Sea_Bass4_ResN","Black_Sea_Bass4_StructN",12,54.5009830713355,2428.31077591372,21.4570915361679,5.35350250279491,5835.88266261409,15465.0890559273,1.5,9.42927449645541,12.5755241384963,30.222360342457,80.089254907511
"BSB","Black_Sea_Bass",5,2,10,0.015,3,52.0696146605091,2117.60205706148,5089.16620298362,13486.2904379066,58.9,0.22,0.207,"Black_Sea_Bass5_ResN","Black_Sea_Bass5_StructN",15,56.6263622299682,2723.62459470085,22.2938554363007,6.00455725396939,6545.60104470284,17345.8427684625,1.5,9.42927449645541,12.5755241384963,30.222360342457,80.089254907511
"BSB","Black_Sea_Bass",6,2,12,0.015,3,54.5009830713355,2428.31077591372,5835.88266261409,15465.0890559273,58.9,0.22,0.207,"Black_Sea_Bass6_ResN","Black_Sea_Bass6_StructN",18,57.7248672844083,2885.22766891794,22.7263379747388,6.36083062344988,6933.97661359756,18375.0380260335,1.5,9.42927449645541,12.5755241384963,30.222360342457,80.089254907511
"BSB","Black_Sea_Bass",7,2,14,0.015,3,56.0668728809788,2643.68837484471,6353.49284990317,16836.7560522434,58.9,0.22,0.207,"Black_Sea_Bass7_ResN","Black_Sea_Bass7_StructN",21,58.2926310877416,2971.20237195395,22.949867151875,6.55037217325713,7140.59690447958,18922.5817968709,1.5,9.42927449645541,12.5755241384963,30.222360342457,80.089254907511
"BSB","Black_Sea_Bass",8,2,16,0.015,3,57.075362949792,2788.9280146026,6702.54269310888,17761.7381367385,58.9,0.22,0.207,"Black_Sea_Bass8_ResN","Black_Sea_Bass8_StructN",24,58.5860805671705,3016.30040597974,23.0653985053756,6.64979620103105,7248.97958658913,19209.7959044612,1.5,9.42927449645541,12.5755241384963,30.222360342457,80.089254907511
"BSB","Black_Sea_Bass",9,2,18,0.015,3,57.7248672844083,2885.22766891794,6933.97661359756,18375.0380260335,58.9,0.22,0.207,"Black_Sea_Bass9_ResN","Black_Sea_Bass9_StructN",27,58.7377503222192,3039.78722602335,23.125111039608,6.7015757142356,7305.42472007534,19359.3755081997,1.5,9.42927449645541,12.5755241384963,30.222360342457,80.089254907511
"BSB","Black_Sea_Bass",10,2,20,0.015,3,58.1431717315526,2948.40688090147,7085.81322014291,18777.4050333787,58.9,0.22,0.207,"Black_Sea_Bass10_ResN","Black_Sea_Bass10_StructN",30,58.8161410375181,3051.97406952769,23.1559735426119,6.72844307316214,7334.71297651452,19436.9893877635,1.5,9.42927449645541,12.5755241384963,30.222360342457,80.089254907511
"BUT","Butterfish",1,1,1,0.021,3,12.6440846651804,42.4503700469108,102.019634815936,270.35203226223,21.02,0.86,-0.06999,"Butterfish1_ResN","Butterfish1_StructN",1,12.644732935939,42.456899759091,4.9782440016121,0.0936013303468872,102.035327467174,270.39361778801,1,12.644732935939,42.456899759091,102.035327467174,270.39361778801
"BUT","Butterfish",2,1,2,0.021,3,17.4756302256006,112.077345120461,269.35194693694,713.782659382891,21.02,0.86,-0.06999,"Butterfish2_ResN","Butterfish2_StructN",2,17.4759045492047,112.082623203737,6.88028109692643,0.247099592767423,269.364631587928,713.81627370801,1,12.644732935939,42.456899759091,102.035327467174,270.39361778801
"BUT","Butterfish",3,1,3,0.021,3,19.5201571057611,156.195752908825,375.380324222122,994.757859188623,21.02,0.86,-0.06999,"Butterfish3_ResN","Butterfish3_StructN",3,19.5202731891086,156.198539541166,7.68515107482524,0.344358424243244,375.387021247694,994.775606306389,1,12.644732935939,42.456899759091,102.035327467174,270.39361778801
"BUT","Butterfish",4,1,4,0.021,3,20.3853233577244,177.898427389297,427.537676974999,1132.97484398375,21.02,0.86,-0.06999,"Butterfish4_ResN","Butterfish4_StructN",4,20.3853724797954,177.899713426329,8.02574153066794,0.392201266213954,427.540767667217,1132.98303431813,1,12.644732935939,42.456899759091,102.035327467174,270.39361778801
"BUT","Butterfish",5,1,5,0.021,3,20.7514289104562,187.656371865458,450.988637023451,1195.11988811214,21.02,0.86,-0.06999,"Butterfish5_ResN","Butterfish5_StructN",5,20.7514496970541,187.656935789243,8.16986649717989,0.413712233779682,450.98999228369,1195.12347955178,1,12.644732935939,42.456899759091,102.035327467174,270.39361778801
"BUT","Butterfish",6,1,6,0.021,3,20.9063508984983,191.890732679343,461.164942752566,1222.0870982943,21.02,0.86,-0.06999,"Butterfish6_ResN","Butterfish6_StructN",6,20.9063596945983,191.890974886718,8.23085471812306,0.423046681054756,461.165524841908,1222.08864083106,1,12.644732935939,42.456899759091,102.035327467174,270.39361778801
"BUT","Butterfish",7,1,7,0.021,3,20.971908009555,193.7015638225,465.516856098293,1233.61966866048,21.02,0.86,-0.06999,"Butterfish7_ResN","Butterfish7_StructN",7,20.971911731731,193.701666959245,8.25666262069423,0.42703856901169,465.517103963577,1233.62032550348,1,12.644732935939,42.456899759091,102.035327467174,270.39361778801
"BUT","Butterfish",8,1,8,0.021,3,20.9996492931805,194.471256475155,467.366634162834,1238.52158053151,21.02,0.86,-0.06999,"Butterfish8_ResN","Butterfish8_StructN",8,20.9996508682642,194.471300234249,8.2675835464865,0.42873531792243,467.366739327683,1238.52185921836,1,12.644732935939,42.456899759091,102.035327467174,270.39361778801
