Species,Cohort,N.Type,RN,SN,weight mg,g,kg,weight (lbs)
Mesopel_M_Fish,4,Reserve,13.46971882,5.082912761,2114.9999998521,2.1149999999,0.002115,0.0046627713
Mesopel_M_Fish,5,Reserve,13.50156212,5.094929103,2119.9999997583,2.1199999998,0.00212,0.0046737944
Mesopel_M_Fish,6,Reserve,13.53340543,5.106945446,2125.0000000806,2.1250000001,0.002125,0.0046848175
Mesopel_M_Fish,7,Reserve,13.56524874,5.118961788,2129.9999999868,2.13,0.00213,0.0046958406
Mesopel_M_Fish,8,Reserve,13.59709205,5.13097813,2134.999999893,2.1349999999,0.002135,0.0047068637
Mesopel_M_Fish,9,Reserve,13.62893535,5.142994473,2140.0000002153,2.1400000002,0.00214,0.0047178868
Mesopel_M_Fish,10,Reserve,13.66077866,5.155010815,2145.0000001215,2.1450000001,0.002145,0.0047289099
Mesopel_N_Fish,1,Reserve,0,0,0,0,0,0
Mesopel_N_Fish,2,Reserve,0,0,0,0,0,0
Mesopel_N_Fish,3,Reserve,0,0,0,0,0,0
Mesopel_N_Fish,4,Reserve,0,0,0,0,0,0
Mesopel_N_Fish,5,Reserve,0,0,0,0,0,0
Mesopel_N_Fish,6,Reserve,0,0,0,0,0,0
Mesopel_N_Fish,7,Reserve,0,0,0,0,0,0
Mesopel_N_Fish,8,Reserve,0,0,0,0,0,0
Mesopel_N_Fish,9,Reserve,0,0,0,0,0,0
Mesopel_N_Fish,10,Reserve,0,0,0,0,0,0
Penguin,1,Reserve,0,0,0,0,0,0
Penguin,2,Reserve,0,0,0,0,0,0
Penguin,3,Reserve,0,0,0,0,0,0
Penguin,4,Reserve,0,0,0,0,0,0
Penguin,5,Reserve,0,0,0,0,0,0
Penguin,6,Reserve,0,0,0,0,0,0
Penguin,7,Reserve,0,0,0,0,0,0
Penguin,8,Reserve,0,0,0,0,0,0
Penguin,9,Reserve,0,0,0,0,0,0
Penguin,10,Reserve,0,0,0,0,0,0
Pinniped,1,Reserve,24386.56408,9202.477013,3829150.6851093,3829.1506851093,3.8291506851,8.4418221834
Pinniped,2,Reserve,182274.6482,68782.88609,28620558.902049,28620.558902049,28.620558902,63.0974565666
Pinniped,3,Reserve,328160.4053,123834.1152,51527375.33472,51527.37533472,51.5273753347,113.5982822104
Pinniped,4,Reserve,412934.5468,155824.3573,64838515.07253,64838.51507253,64.8385150725,142.9442870992
Pinniped,5,Reserve,455270.8951,171800.3378,71486120.55858,71486.12055858,71.4861205586,157.5997311059
Pinniped,6,Reserve,475183.9369,179314.6932,74612843.84052,74612.84384052,74.6128438405,164.4929677877
Pinniped,7,Reserve,484313.9801,182759.9925,76046432.87925,76046.43287925,76.0464328793,167.6534868543
Pinniped,8,Reserve,488453.3308,184322.0116,76696389.02676,76696.38902676,76.6963890268,169.0863931762
Pinniped,9,Reserve,490321.1109,185026.8343,76989665.75223,76989.66575223,76.9896657522,169.7329569107
Pinniped,10,Reserve,491162.507,185344.3423,77121780.83103,77121.78083103,77.121780831,170.0242204557
Pisciv_B_Fish,1,Reserve,1261.472603,476.0273973,198075.00001653,198.0750000165,0.198075,0.4366801065
Pisciv_B_Fish,2,Reserve,2993.143474,1129.488104,469980.0000744,469.9800000744,0.4699800001,1.0361273078
Pisciv_B_Fish,3,Reserve,4104.60226,1548.906513,644500.0000593,644.5000000593,0.6445000001,1.4208775901
Pisciv_B_Fish,4,Reserve,5552.96323,2095.457822,871919.9997342,871.9199997342,0.8719199997,1.9222522698
Pisciv_B_Fish,5,Reserve,6987.758953,2636.890171,1097210.0001531,1097.2100001531,1.0972100002,2.4189311105
Pisciv_B_Fish,6,Reserve,7737.605143,2919.850997,1214949.9998517,1214.9499998517,1.2149499999,2.6785030687
Pisciv_B_Fish,7,Reserve,9130.749819,3445.56597,1433700.000117,1433.700000117,1.4337000001,3.1607636943
Pisciv_B_Fish,8,Reserve,10522.9392,3970.920452,1652300.0000772,1652.3000000772,1.6523000001,3.6426936262
Pisciv_B_Fish,9,Reserve,10890.41096,4109.589041,1709999.9999601,1709.9999999601,1.71,3.7699001999
Pisciv_B_Fish,10,Reserve,11590.96371,4373.94857,1819999.999977,1819.999999977,1.82,4.0124083999
Pisciv_D_Fish,1,Reserve,116.5465032,43.97981254,18299.999997894,18.2999999979,0.0183,0.040344546
Pisciv_D_Fish,2,Reserve,671.2569094,253.3044941,105399.99999501,105.399999995,0.1054,0.232366948
