Species,Cohort,N.Type,RN,SN,weight mg,g,kg
Demersal_D_Fish,10,Reserve,9770,3686,1506836.8,1506.8368,1.5068368
Demersal_DC_Fish,1,Reserve,674,254,103835.2,103.8352,0.1038352
Demersal_DC_Fish,2,Reserve,1248,471,192544.8,192.5448,0.1925448
Demersal_DC_Fish,3,Reserve,2002,756,309052.8,309.0528,0.3090528
Demersal_DC_Fish,4,Reserve,2918,1101,450088.8,450.0888,0.4500888
Demersal_DC_Fish,5,Reserve,3971,1499,612791.2,612.7912,0.6127912
Demersal_DC_Fish,6,Reserve,5134,1937,791845.6,791.8456,0.7918456
Demersal_DC_Fish,7,Reserve,6378,2407,983981.6,983.9816,0.9839816
Demersal_DC_Fish,8,Reserve,7679,2898,1184702.4,1184.7024,1.1847024
Demersal_DC_Fish,9,Reserve,9013,3401,1390328.8,1390.3288,1.3903288
Demersal_DC_Fish,10,Reserve,10359,3909,1597999.2,1597.9992,1.5979992
Demersal_E_Fish,1,Reserve,217,82,33521.6,33.5216,0.0335216
Demersal_E_Fish,2,Reserve,1207,456,186412.8,186.4128,0.1864128
Demersal_E_Fish,3,Reserve,2949,1113,454994.4,454.9944,0.4549944
Demersal_E_Fish,4,Reserve,5175,1953,798386.4,798.3864,0.7983864
Demersal_E_Fish,5,Reserve,7611,2872,1174073.6,1174.0736,1.1740736
Demersal_E_Fish,6,Reserve,10050,3792,1550169.6,1550.1696,1.5501696
Demersal_E_Fish,7,Reserve,12365,4662,1905825.6,1905.8256,1.9058256
Demersal_E_Fish,8,Reserve,14449,5452,2228777.6,2228.7776,2.2287776
Demersal_E_Fish,9,Reserve,16299,6151,2514528.8,2514.5288,2.5145288
Demersal_E_Fish,10,Reserve,17902,6755,2761444,2761.444,2.761444
Demersal_F_Fish,1,Reserve,61,23,9402.4,9.4024,0.0094024
Demersal_F_Fish,2,Reserve,450,170,69496,69.496,0.069496
Demersal_F_Fish,3,Reserve,1310,494,201947.2,201.9472,0.2019472
Demersal_F_Fish,4,Reserve,2616,987,403485.6,403.4856,0.4034856
Demersal_F_Fish,5,Reserve,4262,1608,657350.4,657.3504,0.6573504
Demersal_F_Fish,6,Reserve,6121,2310,944328,944.328,0.944328
Demersal_F_Fish,7,Reserve,8078,3048,1246022.4,1246.0224,1.2460224
Demersal_F_Fish,8,Reserve,10037,3788,1548534.4,1548.5344,1.5485344
Demersal_F_Fish,9,Reserve,11931,4502,1840417.6,1840.4176,1.8404176
Demersal_F_Fish,10,Reserve,13712,5174,2115131.2,2115.1312,2.1151312
Demersal_M_Fish,1,Reserve,1142,641,262040.8,262.0408,0.2620408
Demersal_M_Fish,2,Reserve,2284,1732,708041.6,708.0416,0.7080416
Demersal_M_Fish,3,Reserve,3624,2455,1003604,1003.604,1.003604
Demersal_M_Fish,4,Reserve,5015,2812,1149545.6,1149.5456,1.1495456
Demersal_M_Fish,5,Reserve,6354,2971,1214544.8,1214.5448,1.2145448
Demersal_M_Fish,6,Reserve,7581,3040,1242752,1242.752,1.242752
Demersal_M_Fish,7,Reserve,8665,3068,1254198.4,1254.1984,1.2541984
Demersal_M_Fish,8,Reserve,9599,3080,1259104,1259.104,1.259104
Demersal_M_Fish,9,Reserve,10390,3085,1261148,1261.148,1.261148
Demersal_M_Fish,10,Reserve,11049,3087,1261965.6,1261.9656,1.2619656
Demersal_O_Fish,1,Reserve,2090,327,133677.6,133.6776,0.1336776
Demersal_O_Fish,2,Reserve,12863,1418.5,579882.8,579.8828,0.5798828
Demersal_O_Fish,3,Reserve,27763,2572,1051433.6,1051.4336,1.0514336
Demersal_O_Fish,4,Reserve,41187,3430,1402184,1402.184,1.402184
Demersal_O_Fish,5,Reserve,51362,3970,1622936,1622.936,1.622936
Demersal_O_Fish,6,Reserve,58443,4290,1753752,1753.752,1.753752
Demersal_O_Fish,7,Reserve,63148,4480,1831424,1831.424,1.831424
Demersal_O_Fish,8,Reserve,66192,4580,1872304,1872.304,1.872304
Demersal_O_Fish,9,Reserve,68131,4642,1897649.6,1897.6496,1.8976496
Demersal_O_Fish,10,Reserve,69354,4674,1910731.2,1910.7312,1.9107312
Demersal_P_Fish,1,Reserve,14,5,2044,2.044,0.002044
Demersal_P_Fish,2,Reserve,67,25,10220,10.22,0.01022
Demersal_P_Fish,3,Reserve,138,52,21257.6,21.2576,0.0212576
Demersal_P_Fish,4,Reserve,209,79,32295.2,32.2952,0.0322952
Demersal_P_Fish,5,Reserve,269,102,41697.6,41.6976,0.0416976
Demersal_P_Fish,6,Reserve,317,120,49056,49.056,0.049056
Demersal_P_Fish,7,Reserve,353,133,54370.4,54.3704,0.0543704
Demersal_P_Fish,8,Reserve,380,143,58458.4,58.4584,0.0584584
Demersal_P_Fish,9,Reserve,399,150,61320,61.32,0.06132
Demersal_P_Fish,10,Reserve,412,156,63772.8,63.7728,0.0637728
Demersal_S_Fish,1,Reserve,298,112.1304,45838.90752,45.83890752,0.0458389075
Demersal_S_Fish,2,Reserve,1441,543.5964,222222.20832,222.22220832,0.2222222083
Demersal_S_Fish,3,Reserve,2876,1085.102,443589.6976,443.5896976,0.4435896976
Demersal_S_Fish,4,Reserve,4074,1521.74,622087.312,622.087312,0.622087312
Demersal_S_Fish,5,Reserve,4783,1798.466,735212.9008,735.2129008,0.7352129008
Demersal_S_Fish,6,Reserve,5281,1990.036,813526.7168,813.5267168,0.8135267168
Demersal_S_Fish,7,Reserve,5625,2121.714,867356.6832,867.3566832,0.8673566832
Demersal_S_Fish,8,Reserve,5861,2211.786,904178.1168,904.1781168,0.9041781168
Demersal_S_Fish,9,Reserve,6022,2272.629,929050.7352,929.0507352,0.9290507352
Demersal_S_Fish,10,Reserve,6132,2314.375,946116.5,946.1165,0.9461165
Dugong,1,Reserve,38715,14610,5972568,5972.568,5.972568
Dugong,2,Reserve,425892,160715,65700292,65700.292,65.700292
Dugong,3,Reserve,745993,281507,115080061.6,115080.0616,115.0800616
Dugong,4,Reserve,1016347,383527,156785837.6,156785.8376,156.7858376
Dugong,5,Reserve,1086862,410136,167663596.8,167663.5968,167.6635968
Dugong,6,Reserve,1119562,422476,172708188.8,172708.1888,172.7081888
Dugong,7,Reserve,1134462,428099,175006871.2,175006.8712,175.0068712
Dugong,8,Reserve,1141199,430641,176046040.8,176046.0408,176.0460408
Dugong,9,Reserve,1144235,431787,176514525.6,176514.5256,176.5145256
Dugong,10,Reserve,1145601,432302,176725057.6,176725.0576,176.7250576
Mesopel_M_Fish,1,Reserve,59.7,22.8,9320.64,9.32064,0.00932064
Mesopel_M_Fish,2,Reserve,131.5,49,20031.2,20.0312,0.0200312
Mesopel_M_Fish,3,Reserve,160,60.8,24855.04,24.85504,0.02485504
Mesopel_M_Fish,4,Reserve,170,64.8,26490.24,26.49024,0.02649024
Mesopel_M_Fish,5,Reserve,173,65,26572,26.572,0.026572
Mesopel_M_Fish,6,Reserve,174,66,26980.8,26.9808,0.0269808
Mesopel_M_Fish,7,Reserve,175,67.8,27716.64,27.71664,0.02771664
Mesopel_M_Fish,8,Reserve,176,68,27798.4,27.7984,0.0277984
Mesopel_M_Fish,9,Reserve,177,69,28207.2,28.2072,0.0282072
Mesopel_M_Fish,10,Reserve,178,69.5,28411.6,28.4116,0.0284116
Mesopel_N_Fish,1,Reserve,54.5,8.5,3474.8,3.4748,0.0034748
Mesopel_N_Fish,2,Reserve,100,38.5,15738.8,15.7388,0.0157388
Mesopel_N_Fish,3,Reserve,150,56,22892.8,22.8928,0.0228928
Mesopel_N_Fish,4,Reserve,166,63,25754.4,25.7544,0.0257544
Mesopel_N_Fish,5,Reserve,173,65,26572,26.572,0.026572
Mesopel_N_Fish,6,Reserve,174,66,26980.8,26.9808,0.0269808
Mesopel_N_Fish,7,Reserve,175,67.8,27716.64,27.71664,0.02771664
Mesopel_N_Fish,8,Reserve,176,68,27798.4,27.7984,0.0277984
Mesopel_N_Fish,9,Reserve,177,69,28207.2,28.2072,0.0282072
Mesopel_N_Fish,10,Reserve,178,70.5,28820.4,28.8204,0.0288204
Penguin,1,Reserve,239,23,9402.4,9.4024,0.0094024
Penguin,2,Reserve,1116,169,69087.2,69.0872,0.0690872
Penguin,3,Reserve,3398,987,403485.6,403.4856,0.4034856
Penguin,4,Reserve,5026,2309,943919.2,943.9192,0.9439192
Penguin,5,Reserve,5901,3787,1548125.6,1548.1256,1.5481256
Penguin,6,Reserve,6325,5174,2115131.2,2115.1312,2.1151312
Penguin,7,Reserve,6522,6355,2597924,2597.924,2.597924
Penguin,8,Reserve,6611,7304,2985875.2,2985.8752,2.9858752
Penguin,9,Reserve,6652,8037,3285525.6,3285.5256,3.2855256
Penguin,10,Reserve,6670,8592,3512409.6,3512.4096,3.5124096
Pinniped,1,Reserve,116146,43828,17916886.4,17916.8864,17.9168864
Pinniped,2,Reserve,340713,128571,52559824.8,52559.8248,52.5598248
Pinniped,3,Reserve,497329,187978,76845406.4,76845.4064,76.8454064
Pinniped,4,Reserve,580133,217597,88953653.6,88953.6536,88.9536536
Pinniped,5,Reserve,626536,234881,96019352.8,96019.3528,96.0193528
Pinniped,6,Reserve,633065,241892,98885449.6,98885.4496,98.8854496
Pinniped,7,Reserve,645228,243482,99535441.6,99535.4416,99.5354416
Pinniped,8,Reserve,650743,245563,100386154.4,100386.1544,100.3861544
Pinniped,9,Reserve,653231,246502,100770017.6,100770.0176,100.7700176
Pinniped,10,Reserve,654351,246925,100942940,100942.94,100.94294
Pisciv_B_Fish,1,Reserve,350,132,53961.6,53.9616,0.0539616
Pisciv_B_Fish,2,Reserve,905,341.3924838,139561.24737744,139.5612473774,0.1395612474
Pisciv_B_Fish,3,Reserve,1637,618,252638.4,252.6384,0.2526384
Pisciv_B_Fish,4,Reserve,2452,925,378140,378.14,0.37814
Pisciv_B_Fish,5,Reserve,3275.237595,1236,505276.8,505.2768,0.5052768
Pisciv_B_Fish,6,Reserve,4055,1530,625464,625.464,0.625464
Pisciv_B_Fish,7,Reserve,4764,1798,735022.4,735.0224,0.7350224
Pisciv_B_Fish,8,Reserve,5388,1798,735022.4,735.0224,0.7350224
Pisciv_B_Fish,9,Reserve,5926,2236,914076.8,914.0768,0.9140768
Pisciv_B_Fish,10,Reserve,6383,2409,984799.2,984.7992,0.9847992
Pisciv_D_Fish,1,Reserve,142,73,29842.4,29.8424,0.0298424
Pisciv_D_Fish,2,Reserve,659,371,151664.8,151.6648,0.1516648
Pisciv_D_Fish,3,Reserve,1361,800,327040,327.04,0.32704
Pisciv_D_Fish,4,Reserve,2058,1237,505685.6,505.6856,0.5056856
Pisciv_D_Fish,5,Reserve,2656,1620,662256,662.256,0.662256
Pisciv_D_Fish,6,Reserve,3128,1926,787348.8,787.3488,0.7873488
Pisciv_D_Fish,7,Reserve,3485,2159,882599.2,882.5992,0.8825992
Pisciv_D_Fish,8,Reserve,3747,2330,952504,952.504,0.952504
Pisciv_D_Fish,9,Reserve,3935,2454,1003195.2,1003.1952,1.0031952
Pisciv_D_Fish,10,Reserve,4068,2542,1039169.6,1039.1696,1.0391696
Pisciv_O_Fish,1,Reserve,350,132,53961.6,53.9616,0.0539616
Pisciv_O_Fish,2,Reserve,905,341.39,139560.232,139.560232,0.139560232
Pisciv_O_Fish,3,Reserve,1637,618,252638.4,252.6384,0.2526384
Pisciv_O_Fish,4,Reserve,2452,925,378140,378.14,0.37814
Pisciv_O_Fish,5,Reserve,3275.237595,1236,505276.8,505.2768,0.5052768
Pisciv_O_Fish,6,Reserve,4055,1530,625464,625.464,0.625464
Pisciv_O_Fish,7,Reserve,4764,1798,735022.4,735.0224,0.7350224
Pisciv_O_Fish,8,Reserve,5388,1798,735022.4,735.0224,0.7350224
Pisciv_O_Fish,9,Reserve,5926,2236,914076.8,914.0768,0.9140768
Pisciv_O_Fish,10,Reserve,6383,2409,984799.2,984.7992,0.9847992
Pisciv_S_Fish,1,Reserve,9837,2077,849077.6,849.0776,0.8490776
Pisciv_S_Fish,2,Reserve,20113,6759,2763079.2,2763.0792,2.7630792
Pisciv_S_Fish,3,Reserve,24083,8786,3591716.8,3591.7168,3.5917168
Pisciv_S_Fish,4,Reserve,25177,9425,3852940,3852.94,3.85294
Pisciv_S_Fish,5,Reserve,25472,9612,3929385.6,3929.3856,3.9293856
Pisciv_S_Fish,6,Reserve,25613,9666,3951460.8,3951.4608,3.9514608
Pisciv_S_Fish,7,Reserve,25653,9681,3957592.8,3957.5928,3.9575928
Pisciv_S_Fish,8,Reserve,25665,9685,3959228,3959.228,3.959228
Pisciv_S_Fish,9,Reserve,25668,9686,3959636.8,3959.6368,3.9596368
Pisciv_S_Fish,10,Reserve,25669,9687,3960045.6,3960.0456,3.9600456
Pisciv_T_Fish,1,Reserve,114107,11049,4516831.2,4516.8312,4.5168312
Pisciv_T_Fish,2,Reserve,342269,90200,36873760,36873.76,36.87376
Pisciv_T_Fish,3,Reserve,503525,165776,67769228.8,67769.2288,67.7692288
Pisciv_T_Fish,4,Reserve,589895,210196,85928124.8,85928.1248,85.9281248
Pisciv_T_Fish,5,Reserve,616077,232481,95038232.8,95038.2328,95.0382328
Pisciv_T_Fish,6,Reserve,643909,242984,99331859.2,99331.8592,99.3318592
Pisciv_T_Fish,7,Reserve,656681,247804,101302275.2,101302.2752,101.3022752
Pisciv_T_Fish,8,Reserve,662474,249990,102195912,102195.912,102.195912
Pisciv_T_Fish,9,Reserve,665088,250977,102599397.6,102599.3976,102.5993976
Pisciv_T_Fish,10,Reserve,666265,251420,102780496,102780.496,102.780496
Pisciv_V_Fish,1,Reserve,822,641,262040.8,262.0408,0.2620408
Pisciv_V_Fish,2,Reserve,1965,1732,708041.6,708.0416,0.7080416
Pisciv_V_Fish,3,Reserve,3221,2455,1003604,1003.604,1.003604
Pisciv_V_Fish,4,Reserve,4375,2812,1149545.6,1149.5456,1.1495456
Pisciv_V_Fish,5,Reserve,5337,2971,1214544.8,1214.5448,1.2145448
Pisciv_V_Fish,6,Reserve,6095,3040,1242752,1242.752,1.242752
Pisciv_V_Fish,7,Reserve,6669,3068,1254198.4,1254.1984,1.2541984
Pisciv_V_Fish,8,Reserve,7096,3080,1259104,1259.104,1.259104
Pisciv_V_Fish,9,Reserve,7407,3085,1261148,1261.148,1.261148
Pisciv_V_Fish,10,Reserve,7631,3087,1261965.6,1261.9656,1.2619656
Planktiv_L_Fish,1,Reserve,231,87,35565.6,35.5656,0.0355656
Planktiv_L_Fish,2,Reserve,1323,495,202356,202.356,0.202356
Planktiv_L_Fish,3,Reserve,3072,1159,473799.2,473.7992,0.4737992
Planktiv_L_Fish,4,Reserve,5016,1892,773449.6,773.4496,0.7734496
Planktiv_L_Fish,5,Reserve,6832,2578,1053886.4,1053.8864,1.0538864
Planktiv_L_Fish,6,Reserve,8376,3161,1292216.8,1292.2168,1.2922168
Planktiv_L_Fish,7,Reserve,9614,3628,1483126.4,1483.1264,1.4831264
Planktiv_L_Fish,8,Reserve,10572,3989,1630703.2,1630.7032,1.6307032
Planktiv_L_Fish,9,Reserve,11270,4261,1741896.8,1741.8968,1.7418968
Planktiv_L_Fish,10,Reserve,11862,4460,1823248,1823.248,1.823248
Planktiv_O_Fish,1,Reserve,111,41.83,17100.104,17.100104,0.017100104
Planktiv_O_Fish,2,Reserve,441,166,67860.8,67.8608,0.0678608
Planktiv_O_Fish,3,Reserve,990,373,152482.4,152.4824,0.1524824
Planktiv_O_Fish,4,Reserve,1699,641,262040.8,262.0408,0.2620408
Planktiv_O_Fish,5,Reserve,2504,945,386316,386.316,0.386316
Planktiv_O_Fish,6,Reserve,3344,1262,515905.6,515.9056,0.5159056
Planktiv_O_Fish,7,Reserve,4176,1576,644268.8,644.2688,0.6442688
Planktiv_O_Fish,8,Reserve,4969,1875.274937,766612.3942456,766.6123942456,0.7666123942
Planktiv_O_Fish,9,Reserve,5704,2153,880146.4,880.1464,0.8801464
Planktiv_O_Fish,10,Reserve,6371,2404,982755.2,982.7552,0.9827552
Planktiv_S_Fish,1,Reserve,0.25,0.028,11.4464,0.0114464,1.14464E-05
Planktiv_S_Fish,2,Reserve,18,7,2861.6,2.8616,0.0028616
Planktiv_S_Fish,3,Reserve,68,25.5,10424.4,10.4244,0.0104244
Planktiv_S_Fish,4,Reserve,115,44,17987.2,17.9872,0.0179872
Planktiv_S_Fish,5,Reserve,150,56,22892.8,22.8928,0.0228928
Planktiv_S_Fish,6,Reserve,170,64,26163.2,26.1632,0.0261632
Planktiv_S_Fish,7,Reserve,182,69,28207.2,28.2072,0.0282072
Planktiv_S_Fish,8,Reserve,189,72,29433.6,29.4336,0.0294336
Planktiv_S_Fish,9,Reserve,193,73,29842.4,29.8424,0.0298424
Planktiv_S_Fish,10,Reserve,195,74,30251.2,30.2512,0.0302512
Reptile,1,Reserve,23214,8760,3581088,3581.088,3.581088
Reptile,2,Reserve,46444,17526,7164628.8,7164.6288,7.1646288
Reptile,3,Reserve,53732,20276,8288828.8,8288.8288,8.2888288
Reptile,4,Reserve,54110,20427,8350557.6,8350.5576,8.3505576
Reptile,5,Reserve,54123,20420,8347696,8347.696,8.347696
Reptile,6,Reserve,54132,20427,8350557.6,8350.5576,8.3505576
Reptile,7,Reserve,54133,20428,8350966.4,8350.9664,8.3509664
Reptile,8,Reserve,54134,20429,8351375.2,8351.3752,8.3513752
Reptile,9,Reserve,54135,20429,8351375.2,8351.3752,8.3513752
Reptile,10,Reserve,54136,20430,8351784,8351.784,8.351784
Seabird,1,Reserve,51698,19508,7974870.4,7974.8704,7.9748704
Seabird,2,Reserve,86326,32575,13316660,13316.66,13.31666
Seabird,3,Reserve,94105,35521,14520984.8,14520.9848,14.5209848
Seabird,4,Reserve,95500,36090,14753592,14753.592,14.753592
Seabird,5,Reserve,95894,36196,14796924.8,14796.9248,14.7969248
Seabird,6,Reserve,95967,36216,14805100.8,14805.1008,14.8051008
Seabird,7,Reserve,95981,36220,14806736,14806.736,14.806736
Seabird,8,Reserve,95984,36221,14807144.8,14807.1448,14.8071448
Seabird,9,Reserve,95985,36222,14807553.6,14807.5536,14.8075536
Seabird,10,Reserve,95990,36222,14807553.6,14807.5536,14.8075536
Shark_B,1,Reserve,2399,905,369964,369.964,0.369964
Shark_B,2,Reserve,6361,2400,981120,981.12,0.98112
Shark_B,3,Reserve,14452,5454,2229595.2,2229.5952,2.2295952
Shark_B,4,Reserve,23237,8769,3584767.2,3584.7672,3.5847672
Shark_B,5,Reserve,30241,11412,4665225.6,4665.2256,4.6652256
Shark_B,6,Reserve,35123,13254,5418235.2,5418.2352,5.4182352
Shark_B,7,Reserve,38413,14496,5925964.8,5925.9648,5.9259648
Shark_B,8,Reserve,40488,15279,6246055.2,6246.0552,6.2460552
Shark_B,9,Reserve,41815,15779,6450455.2,6450.4552,6.4504552
Shark_B,10,Reserve,42625,16085,6575548,6575.548,6.575548
Shark_C,1,Reserve,590,223,91162.4,91.1624,0.0911624
Shark_C,2,Reserve,1439,543,221978.4,221.9784,0.2219784
Shark_C,3,Reserve,2975,1122,458673.6,458.6736,0.4586736
Shark_C,4,Reserve,4947,1867,763229.6,763.2296,0.7632296
Shark_C,5,Reserve,6725,2538,1037534.4,1037.5344,1.0375344
Shark_C,6,Reserve,8191,3091,1263600.8,1263.6008,1.2636008
Shark_C,7,Reserve,9331,3521,1439384.8,1439.3848,1.4393848
Shark_C,8,Reserve,10186,3844,1571427.2,1571.4272,1.5714272
Shark_C,9,Reserve,10812,4080,1667904,1667.904,1.667904
Shark_C,10,Reserve,11264,4251,1737808.8,1737.8088,1.7378088
Shark_D,1,Reserve,55257,20851,8523888.8,8523.8888,8.5238888
Shark_D,2,Reserve,123986,46787,19126525.6,19126.5256,19.1265256
Shark_D,3,Reserve,193772,73122,29892273.6,29892.2736,29.8922736
Shark_D,4,Reserve,259524,97934,40035419.2,40035.4192,40.0354192
Shark_D,5,Reserve,336736,127070,51946216,51946.216,51.946216
Shark_D,6,Reserve,399269,150667,61592669.6,61592.6696,61.5926696
Shark_D,7,Reserve,445500,168113,68724594.4,68724.5944,68.7245944
Shark_D,8,Reserve,478833,180692,73866889.6,73866.8896,73.8668896
Shark_D,9,Reserve,302773,189650,77528920,77528.92,77.52892
Shark_D,10,Reserve,519404,196002,80125617.6,80125.6176,80.1256176
Shark_P,1,Reserve,76838,28052,11467657.6,11467.6576,11.4676576
Shark_P,2,Reserve,382615,144260,58973488,58973.488,58.973488
Shark_P,3,Reserve,808002,304922,124652113.6,124652.1136,124.6521136
Shark_P,4,Reserve,1226509,4622843,1889818218.4,1889818.2184,1889.8182184
Shark_P,5,Reserve,1577323,595257,243341061.6,243341.0616,243.3410616
Shark_P,6,Reserve,1847435,697169,285002687.2,285002.6872,285.0026872
Shark_P,7,Reserve,2045039,771763,315496714.4,315496.7144,315.4967144
Shark_P,8,Reserve,2185692,824700,337137360,337137.36,337.13736
Shark_P,9,Reserve,2289412,861537,352196325.6,352196.3256,352.1963256
Shark_P,10,Reserve,2350801,886820,362532016,362532.016,362.532016
Shark_R,1,Reserve,2399,905,369964,369.964,0.369964
Shark_R,2,Reserve,6361,2400,981120,981.12,0.98112
Shark_R,3,Reserve,14452,5454,2229595.2,2229.5952,2.2295952
Shark_R,4,Reserve,23237,8769,3584767.2,3584.7672,3.5847672
Shark_R,5,Reserve,30241,11412,4665225.6,4665.2256,4.6652256
Shark_R,6,Reserve,35123,13254,5418235.2,5418.2352,5.4182352
Shark_R,7,Reserve,38413,14496,5925964.8,5925.9648,5.9259648
Shark_R,8,Reserve,40488,15279,6246055.2,6246.0552,6.2460552
Shark_R,9,Reserve,41815,15779,6450455.2,6450.4552,6.4504552
Shark_R,10,Reserve,42625,16085,6575548,6575.548,6.575548
SkateRay,1,Reserve,1267,478,195406.4,195.4064,0.1954064
SkateRay,2,Reserve,19190,7241,2960120.8,2960.1208,2.9601208
SkateRay,3,Reserve,54423,20537,8395525.6,8395.5256,8.3955256
SkateRay,4,Reserve,95962,36110,14761768,14761.768,14.761768
SkateRay,5,Reserve,134946,50923,20817322.4,20817.3224,20.8173224
SkateRay,6,Reserve,168484,63579,25991095.2,25991.0952,25.9910952
SkateRay,7,Reserve,195405,73737,30143685.6,30143.6856,30.1436856
SkateRay,8,Reserve,216187,81580,33349904,33349.904,33.349904
SkateRay,9,Reserve,231826,87481,35762232.8,35762.2328,35.7622328
SkateRay,10,Reserve,243398,91848,37547462.4,37547.4624,37.5474624
Whale_Baleen,1,Reserve,195672539.7,73838694.2,30185258188.96,30185258.18896,30185.25818896
Whale_Baleen,2,Reserve,218131986.6,82313957.2,33649945703.36,33649945.70336,33649.94570336
Whale_Baleen,3,Reserve,218991666.7,82638364.7,33782563489.36,33782563.48936,33782.56348936
Whale_Baleen,4,Reserve,219023417.5,82650346.2,33787461526.56,33787461.52656,33787.46152656
Whale_Baleen,5,Reserve,219024588.7,82650788.1,33787642175.28,33787642.17528,33787.64217528
Whale_Baleen,6,Reserve,219024631.8,82650804.4,33787648838.72,33787648.83872,33787.64883872
Whale_Baleen,7,Reserve,219024633,82650805,33787649084,33787649.084,33787.649084
Whale_Baleen,8,Reserve,219024636,82650805,33787649084,33787649.084,33787.649084
Whale_Baleen,9,Reserve,219024639,82650805,33787649084,33787649.084,33787.649084
Whale_Baleen,10,Reserve,219024643,82650805,33787649084,33787649.084,33787.649084
Whale_Small,1,Reserve,174219,65743,26875738.4,26875.7384,26.8757384
Whale_Small,2,Reserve,511070,192856,78839532.8,78839.5328,78.8395328
Whale_Small,3,Reserve,745993,281507,115080061.6,115080.0616,115.0800616
Whale_Small,4,Reserve,871155,328737,134387685.6,134387.6856,134.3876856
Whale_Small,5,Reserve,931596,351545,143711596,143711.596,143.711596
Whale_Small,6,Reserve,959624,362122,148035473.6,148035.4736,148.0354736
Whale_Small,7,Reserve,972396,366942,150005889.6,150005.8896,150.0058896
Whale_Small,8,Reserve,978171,369121,150896664.8,150896.6648,150.8966648
Whale_Small,9,Reserve,980773,370103,151298106.4,151298.1064,151.2981064
Whale_Small,10,Reserve,981944,370544,151478387.2,151478.3872,151.4783872
Whale_Tooth,1,Reserve,15424238.81,5820467.4,2379407073.12,2379407.07312,2379.40707312
Whale_Tooth,2,Reserve,16287370.72,6146177.6,2512557402.88,2512557.40288,2512.55740288
Whale_Tooth,3,Reserve,16303472.61,6152253.8,2515041353.44,2515041.35344,2515.04135344
Whale_Tooth,4,Reserve,16303767.63,6152365,2515086812,2515086.812,2515.086812
Whale_Tooth,5,Reserve,16303769,6152367,2515087629.6,2515087.6296,2515.0876296
Whale_Tooth,6,Reserve,16303773,6152385,2515094988,2515094.988,2515.094988
Whale_Tooth,7,Reserve,16303777,6152390,2515097032,2515097.032,2515.097032
Whale_Tooth,8,Reserve,16303781,6152395,2515099076,2515099.076,2515.099076
Whale_Tooth,9,Reserve,16303783,6152405,2515103164,2515103.164,2515.103164
Whale_Tooth,10,Reserve,16303787,6152415,2515107252,2515107.252,2515.107252
