Species,Cohort,SN,RN
Halibut,3,1548.906513,4104.60226
Halibut,4,2095.457822,5552.96323
Halibut,5,2636.890171,6987.758953
Halibut,6,2919.850997,7737.605143
Halibut,7,3445.56597,9130.749819
Halibut,8,3970.920452,10522.9392
Halibut,9,4109.589041,10890.41096
Halibut,10,4373.94857,11590.96371
Herring,1,16.82287911,44.58062965
Herring,2,32.97284307,87.37803414
Herring,3,91.49242972,242.4549388
Herring,4,197.6207643,523.6950253
Herring,5,286.3734679,758.8896899
Herring,6,355.755828,942.7529441
Herring,7,418.3129055,1108.5292
Herring,8,455.4914684,1207.052391
Herring,9,520.1153569,1378.305696
Herring,10,647.6207643,1716.195025
Invasive_Species,1,127.5414564,337.9848595
Invasive_Species,2,347.4885845,920.8447489
Invasive_Species,3,732.4200913,1940.913242
Invasive_Species,4,1115.200673,2955.281782
Invasive_Species,5,1550.432588,4108.646359
Invasive_Species,6,1976.435953,5237.555275
Invasive_Species,7,2275.666907,6030.517304
Invasive_Species,8,2451.333814,6496.034608
Invasive_Species,9,2643.59529,7005.527518
Invasive_Species,10,3076.18361,8151.886566
Little_Skate,1,350,927.5
Little_Skate,2,1200,3180
Little_Skate,3,1800,4770
Little_Skate,4,3129.99,8294.48
Little_Skate,5,7000,18550
Little_Skate,6,9000,23850
Little_Skate,7,13000,34450
Little_Skate,8,18000,40770
Little_Skate,9,30000,79500
Little_Skate,10,32000,85500
Mackerel,1,24.46,64.84
Mackerel,2,31.24,82.79
Mackerel,3,60.65,160.73
Mackerel,4,230.06,609.67
Mackerel,5,437.81,1160.21
Mackerel,6,498.6,1321.3
Mackerel,7,581.55,1541.12
Mackerel,8,607.61,1610.16
Mackerel,9,704.28,1866.37
Mackerel,10,759.34,2012.27
Menhaden,1,48.0653689,127.3732276
Menhaden,2,120.1634223,318.433069
Menhaden,3,192.2614756,509.4929104
Menhaden,4,242.730113,643.2347994
Menhaden,5,254.7464552,675.0781062
Menhaden,6,283.321317,750.8014901
Menhaden,7,314.4436434,833.275655
Menhaden,8,345.5659698,915.7498198
Menhaden,9,372.7469359,987.77938
Menhaden,10,408.7959625,1083.309301
Mesopelagic_Mig_Fish,1,2.667627974,7.06921413
Mesopelagic_Mig_Fish,2,3.869262196,10.25354482
Mesopelagic_Mig_Fish,3,5.070896419,13.43787551
Mesopelagic_Mig_Fish,4,5.082912761,13.46971882
Mesopelagic_Mig_Fish,5,5.094929103,13.50156212
Mesopelagic_Mig_Fish,6,5.106945446,13.53340543
Mesopelagic_Mig_Fish,7,5.118961788,13.56524874
Mesopelagic_Mig_Fish,8,5.13097813,13.59709205
Mesopelagic_Mig_Fish,9,5.142994473,13.62893535
Mesopelagic_Mig_Fish,10,5.155010815,13.66077866
Misc_Demersal_Fish,1,127.5414564,337.9848595
Misc_Demersal_Fish,2,347.4885845,920.8447489
Misc_Demersal_Fish,3,732.4200913,1940.913242
Misc_Demersal_Fish,4,1115.200673,2955.281782
Misc_Demersal_Fish,5,1550.432588,4108.646359
Misc_Demersal_Fish,6,1976.435953,5237.555275
Misc_Demersal_Fish,7,2275.666907,6030.517304
Misc_Demersal_Fish,8,2451.333814,6496.034608
Misc_Demersal_Fish,9,2643.59529,7005.527518
Misc_Demersal_Fish,10,3076.18361,8151.886566
