"box","variable","value","Code","phase","season"
17,"FMAK_S3juv",0.01,"MAK","juv",3
18,"FMAK_S3juv",0.01,"MAK","juv",3
19,"FMAK_S3juv",0.04,"MAK","juv",3
20,"FMAK_S3juv",0.04,"MAK","juv",3
21,"FMAK_S3juv",0.05,"MAK","juv",3
22,"FMAK_S3juv",0.02,"MAK","juv",3
23,"FMAK_S3juv",0,"MAK","juv",3
24,"FMAK_S3juv",0,"MAK","juv",3
25,"FMAK_S3juv",0,"MAK","juv",3
26,"FMAK_S3juv",0,"MAK","juv",3
27,"FMAK_S3juv",0,"MAK","juv",3
28,"FMAK_S3juv",0,"MAK","juv",3
29,"FMAK_S3juv",0,"MAK","juv",3
0,"FMAK_S4juv",0,"MAK","juv",4
1,"FMAK_S4juv",0.02,"MAK","juv",4
2,"FMAK_S4juv",0.04,"MAK","juv",4
3,"FMAK_S4juv",0.08,"MAK","juv",4
4,"FMAK_S4juv",0.01,"MAK","juv",4
5,"FMAK_S4juv",0.08,"MAK","juv",4
6,"FMAK_S4juv",0.1,"MAK","juv",4
7,"FMAK_S4juv",0.05,"MAK","juv",4
8,"FMAK_S4juv",0.04,"MAK","juv",4
9,"FMAK_S4juv",0.08,"MAK","juv",4
10,"FMAK_S4juv",0.02,"MAK","juv",4
11,"FMAK_S4juv",0.03,"MAK","juv",4
12,"FMAK_S4juv",0.06,"MAK","juv",4
13,"FMAK_S4juv",0.08,"MAK","juv",4
14,"FMAK_S4juv",0.1,"MAK","juv",4
15,"FMAK_S4juv",0.08,"MAK","juv",4
16,"FMAK_S4juv",0.02,"MAK","juv",4
17,"FMAK_S4juv",0.01,"MAK","juv",4
18,"FMAK_S4juv",0.01,"MAK","juv",4
19,"FMAK_S4juv",0.02,"MAK","juv",4
20,"FMAK_S4juv",0.03,"MAK","juv",4
21,"FMAK_S4juv",0.03,"MAK","juv",4
22,"FMAK_S4juv",0.01,"MAK","juv",4
23,"FMAK_S4juv",0,"MAK","juv",4
24,"FMAK_S4juv",0,"MAK","juv",4
25,"FMAK_S4juv",0,"MAK","juv",4
26,"FMAK_S4juv",0,"MAK","juv",4
27,"FMAK_S4juv",0,"MAK","juv",4
28,"FMAK_S4juv",0,"MAK","juv",4
29,"FMAK_S4juv",0,"MAK","juv",4
0,"FHER_S1",0,"HER","adult",1
1,"FHER_S1",0.02,"HER","adult",1
2,"FHER_S1",0.03,"HER","adult",1
3,"FHER_S1",0.01,"HER","adult",1
4,"FHER_S1",0.03,"HER","adult",1
5,"FHER_S1",0.04,"HER","adult",1
6,"FHER_S1",0.05,"HER","adult",1
7,"FHER_S1",0.05,"HER","adult",1
8,"FHER_S1",0.07,"HER","adult",1
9,"FHER_S1",0.05,"HER","adult",1
10,"FHER_S1",0.07,"HER","adult",1
11,"FHER_S1",0.07,"HER","adult",1
12,"FHER_S1",0.09,"HER","adult",1
13,"FHER_S1",0.06,"HER","adult",1
14,"FHER_S1",0.06,"HER","adult",1
15,"FHER_S1",0.06,"HER","adult",1
16,"FHER_S1",0.05,"HER","adult",1
17,"FHER_S1",0.02,"HER","adult",1
18,"FHER_S1",0.03,"HER","adult",1
19,"FHER_S1",0.04,"HER","adult",1
20,"FHER_S1",0.05,"HER","adult",1
21,"FHER_S1",0.03,"HER","adult",1
22,"FHER_S1",0.02,"HER","adult",1
23,"FHER_S1",0,"HER","adult",1
24,"FHER_S1",0,"HER","adult",1
25,"FHER_S1",0,"HER","adult",1
26,"FHER_S1",0,"HER","adult",1
27,"FHER_S1",0,"HER","adult",1
28,"FHER_S1",0,"HER","adult",1
29,"FHER_S1",0,"HER","adult",1
0,"FHER_S2",0,"HER","adult",2
1,"FHER_S2",0.02,"HER","adult",2
2,"FHER_S2",0.03,"HER","adult",2
3,"FHER_S2",0.01,"HER","adult",2
4,"FHER_S2",0.03,"HER","adult",2
5,"FHER_S2",0.04,"HER","adult",2
6,"FHER_S2",0.05,"HER","adult",2
7,"FHER_S2",0.05,"HER","adult",2
8,"FHER_S2",0.07,"HER","adult",2
9,"FHER_S2",0.05,"HER","adult",2
10,"FHER_S2",0.07,"HER","adult",2
11,"FHER_S2",0.07,"HER","adult",2
12,"FHER_S2",0.09,"HER","adult",2
13,"FHER_S2",0.06,"HER","adult",2
14,"FHER_S2",0.06,"HER","adult",2
15,"FHER_S2",0.06,"HER","adult",2
16,"FHER_S2",0.05,"HER","adult",2
17,"FHER_S2",0.02,"HER","adult",2
18,"FHER_S2",0.03,"HER","adult",2
19,"FHER_S2",0.04,"HER","adult",2
20,"FHER_S2",0.05,"HER","adult",2
21,"FHER_S2",0.03,"HER","adult",2
22,"FHER_S2",0.02,"HER","adult",2
23,"FHER_S2",0,"HER","adult",2
24,"FHER_S2",0,"HER","adult",2
25,"FHER_S2",0,"HER","adult",2
26,"FHER_S2",0,"HER","adult",2
27,"FHER_S2",0,"HER","adult",2
28,"FHER_S2",0,"HER","adult",2
29,"FHER_S2",0,"HER","adult",2
0,"FHER_S3",0,"HER","adult",3
1,"FHER_S3",0,"HER","adult",3
2,"FHER_S3",0,"HER","adult",3
3,"FHER_S3",0,"HER","adult",3
4,"FHER_S3",0,"HER","adult",3
5,"FHER_S3",0,"HER","adult",3
6,"FHER_S3",0.03,"HER","adult",3
7,"FHER_S3",0.02,"HER","adult",3
8,"FHER_S3",0.08,"HER","adult",3
9,"FHER_S3",0.05,"HER","adult",3
10,"FHER_S3",0.09,"HER","adult",3
11,"FHER_S3",0.11,"HER","adult",3
12,"FHER_S3",0.13,"HER","adult",3
13,"FHER_S3",0.06,"HER","adult",3
14,"FHER_S3",0.06,"HER","adult",3
15,"FHER_S3",0.07,"HER","adult",3
16,"FHER_S3",0.07,"HER","adult",3
17,"FHER_S3",0.02,"HER","adult",3
18,"FHER_S3",0.03,"HER","adult",3
19,"FHER_S3",0.04,"HER","adult",3
20,"FHER_S3",0.08,"HER","adult",3
21,"FHER_S3",0.04,"HER","adult",3
22,"FHER_S3",0.02,"HER","adult",3
23,"FHER_S3",0,"HER","adult",3
24,"FHER_S3",0,"HER","adult",3
25,"FHER_S3",0,"HER","adult",3
26,"FHER_S3",0,"HER","adult",3
27,"FHER_S3",0,"HER","adult",3
28,"FHER_S3",0,"HER","adult",3
29,"FHER_S3",0,"HER","adult",3
0,"FHER_S4",0,"HER","adult",4
1,"FHER_S4",0.02,"HER","adult",4
2,"FHER_S4",0.03,"HER","adult",4
3,"FHER_S4",0.01,"HER","adult",4
4,"FHER_S4",0.03,"HER","adult",4
5,"FHER_S4",0.04,"HER","adult",4
6,"FHER_S4",0.05,"HER","adult",4
7,"FHER_S4",0.05,"HER","adult",4
8,"FHER_S4",0.07,"HER","adult",4
9,"FHER_S4",0.05,"HER","adult",4
10,"FHER_S4",0.07,"HER","adult",4
11,"FHER_S4",0.07,"HER","adult",4
12,"FHER_S4",0.09,"HER","adult",4
13,"FHER_S4",0.06,"HER","adult",4
14,"FHER_S4",0.06,"HER","adult",4
15,"FHER_S4",0.06,"HER","adult",4
16,"FHER_S4",0.05,"HER","adult",4
17,"FHER_S4",0.02,"HER","adult",4
18,"FHER_S4",0.03,"HER","adult",4
19,"FHER_S4",0.04,"HER","adult",4
20,"FHER_S4",0.05,"HER","adult",4
21,"FHER_S4",0.03,"HER","adult",4
22,"FHER_S4",0.02,"HER","adult",4
23,"FHER_S4",0,"HER","adult",4
24,"FHER_S4",0,"HER","adult",4
25,"FHER_S4",0,"HER","adult",4
26,"FHER_S4",0,"HER","adult",4
27,"FHER_S4",0,"HER","adult",4
28,"FHER_S4",0,"HER","adult",4
29,"FHER_S4",0,"HER","adult",4
0,"FHER_S1juv",0,"HER","juv",1
1,"FHER_S1juv",0.05,"HER","juv",1
2,"FHER_S1juv",0.06,"HER","juv",1
3,"FHER_S1juv",0.03,"HER","juv",1
4,"FHER_S1juv",0.06,"HER","juv",1
5,"FHER_S1juv",0.08,"HER","juv",1
6,"FHER_S1juv",0.08,"HER","juv",1
7,"FHER_S1juv",0.09,"HER","juv",1
8,"FHER_S1juv",0.05,"HER","juv",1
9,"FHER_S1juv",0.05,"HER","juv",1
10,"FHER_S1juv",0.05,"HER","juv",1
11,"FHER_S1juv",0.04,"HER","juv",1
12,"FHER_S1juv",0.06,"HER","juv",1
13,"FHER_S1juv",0.05,"HER","juv",1
14,"FHER_S1juv",0.05,"HER","juv",1
15,"FHER_S1juv",0.04,"HER","juv",1
16,"FHER_S1juv",0.04,"HER","juv",1
17,"FHER_S1juv",0.01,"HER","juv",1
18,"FHER_S1juv",0.02,"HER","juv",1
19,"FHER_S1juv",0.03,"HER","juv",1
20,"FHER_S1juv",0.02,"HER","juv",1
21,"FHER_S1juv",0.02,"HER","juv",1
22,"FHER_S1juv",0.02,"HER","juv",1
23,"FHER_S1juv",0,"HER","juv",1
24,"FHER_S1juv",0,"HER","juv",1
25,"FHER_S1juv",0,"HER","juv",1
26,"FHER_S1juv",0,"HER","juv",1
27,"FHER_S1juv",0,"HER","juv",1
28,"FHER_S1juv",0,"HER","juv",1
29,"FHER_S1juv",0,"HER","juv",1
0,"FHER_S2juv",0,"HER","juv",2
1,"FHER_S2juv",0.02,"HER","juv",2
2,"FHER_S2juv",0.03,"HER","juv",2
3,"FHER_S2juv",0.01,"HER","juv",2
4,"FHER_S2juv",0.03,"HER","juv",2
5,"FHER_S2juv",0.04,"HER","juv",2
6,"FHER_S2juv",0.05,"HER","juv",2
7,"FHER_S2juv",0.05,"HER","juv",2
8,"FHER_S2juv",0.07,"HER","juv",2
9,"FHER_S2juv",0.05,"HER","juv",2
10,"FHER_S2juv",0.07,"HER","juv",2
11,"FHER_S2juv",0.07,"HER","juv",2
12,"FHER_S2juv",0.09,"HER","juv",2
13,"FHER_S2juv",0.06,"HER","juv",2
14,"FHER_S2juv",0.06,"HER","juv",2
15,"FHER_S2juv",0.06,"HER","juv",2
16,"FHER_S2juv",0.05,"HER","juv",2
17,"FHER_S2juv",0.02,"HER","juv",2
18,"FHER_S2juv",0.03,"HER","juv",2
19,"FHER_S2juv",0.04,"HER","juv",2
20,"FHER_S2juv",0.05,"HER","juv",2
21,"FHER_S2juv",0.03,"HER","juv",2
22,"FHER_S2juv",0.02,"HER","juv",2
23,"FHER_S2juv",0,"HER","juv",2
24,"FHER_S2juv",0,"HER","juv",2
25,"FHER_S2juv",0,"HER","juv",2
26,"FHER_S2juv",0,"HER","juv",2
27,"FHER_S2juv",0,"HER","juv",2
28,"FHER_S2juv",0,"HER","juv",2
29,"FHER_S2juv",0,"HER","juv",2
0,"FHER_S3juv",0,"HER","juv",3
1,"FHER_S3juv",0,"HER","juv",3
2,"FHER_S3juv",0,"HER","juv",3
3,"FHER_S3juv",0,"HER","juv",3
4,"FHER_S3juv",0,"HER","juv",3
5,"FHER_S3juv",0,"HER","juv",3
6,"FHER_S3juv",0.03,"HER","juv",3
7,"FHER_S3juv",0.02,"HER","juv",3
8,"FHER_S3juv",0.08,"HER","juv",3
9,"FHER_S3juv",0.05,"HER","juv",3
10,"FHER_S3juv",0.09,"HER","juv",3
11,"FHER_S3juv",0.11,"HER","juv",3
12,"FHER_S3juv",0.13,"HER","juv",3
13,"FHER_S3juv",0.06,"HER","juv",3
14,"FHER_S3juv",0.06,"HER","juv",3
15,"FHER_S3juv",0.07,"HER","juv",3
16,"FHER_S3juv",0.07,"HER","juv",3
17,"FHER_S3juv",0.02,"HER","juv",3
18,"FHER_S3juv",0.03,"HER","juv",3
19,"FHER_S3juv",0.04,"HER","juv",3
20,"FHER_S3juv",0.08,"HER","juv",3
21,"FHER_S3juv",0.04,"HER","juv",3
22,"FHER_S3juv",0.02,"HER","juv",3
23,"FHER_S3juv",0,"HER","juv",3
24,"FHER_S3juv",0,"HER","juv",3
25,"FHER_S3juv",0,"HER","juv",3
26,"FHER_S3juv",0,"HER","juv",3
27,"FHER_S3juv",0,"HER","juv",3
28,"FHER_S3juv",0,"HER","juv",3
29,"FHER_S3juv",0,"HER","juv",3
0,"FHER_S4juv",0,"HER","juv",4
1,"FHER_S4juv",0.02,"HER","juv",4
2,"FHER_S4juv",0.03,"HER","juv",4
3,"FHER_S4juv",0.01,"HER","juv",4
4,"FHER_S4juv",0.03,"HER","juv",4
5,"FHER_S4juv",0.04,"HER","juv",4
6,"FHER_S4juv",0.05,"HER","juv",4
7,"FHER_S4juv",0.05,"HER","juv",4
8,"FHER_S4juv",0.07,"HER","juv",4
9,"FHER_S4juv",0.05,"HER","juv",4
10,"FHER_S4juv",0.07,"HER","juv",4
11,"FHER_S4juv",0.07,"HER","juv",4
12,"FHER_S4juv",0.09,"HER","juv",4
13,"FHER_S4juv",0.06,"HER","juv",4
14,"FHER_S4juv",0.06,"HER","juv",4
15,"FHER_S4juv",0.06,"HER","juv",4
16,"FHER_S4juv",0.05,"HER","juv",4
17,"FHER_S4juv",0.02,"HER","juv",4
18,"FHER_S4juv",0.03,"HER","juv",4
19,"FHER_S4juv",0.04,"HER","juv",4
20,"FHER_S4juv",0.05,"HER","juv",4
21,"FHER_S4juv",0.03,"HER","juv",4
22,"FHER_S4juv",0.02,"HER","juv",4
23,"FHER_S4juv",0,"HER","juv",4
24,"FHER_S4juv",0,"HER","juv",4
25,"FHER_S4juv",0,"HER","juv",4
26,"FHER_S4juv",0,"HER","juv",4
27,"FHER_S4juv",0,"HER","juv",4
28,"FHER_S4juv",0,"HER","juv",4
29,"FHER_S4juv",0,"HER","juv",4
0,"FWHK_S1",0,"WHK","adult",1
1,"FWHK_S1",0,"WHK","adult",1
2,"FWHK_S1",0,"WHK","adult",1
3,"FWHK_S1",0.003,"WHK","adult",1
4,"FWHK_S1",0,"WHK","adult",1
5,"FWHK_S1",0,"WHK","adult",1
6,"FWHK_S1",0.006,"WHK","adult",1
7,"FWHK_S1",0,"WHK","adult",1
8,"FWHK_S1",0,"WHK","adult",1
9,"FWHK_S1",0.002,"WHK","adult",1
10,"FWHK_S1",0.003,"WHK","adult",1
11,"FWHK_S1",0.129,"WHK","adult",1
12,"FWHK_S1",0.009,"WHK","adult",1
13,"FWHK_S1",0.001,"WHK","adult",1
14,"FWHK_S1",0.007,"WHK","adult",1
15,"FWHK_S1",0.01,"WHK","adult",1
16,"FWHK_S1",0.049,"WHK","adult",1
17,"FWHK_S1",0.004,"WHK","adult",1
18,"FWHK_S1",0.006,"WHK","adult",1
19,"FWHK_S1",0.372,"WHK","adult",1
20,"FWHK_S1",0.239,"WHK","adult",1
21,"FWHK_S1",0.048,"WHK","adult",1
22,"FWHK_S1",0.112,"WHK","adult",1
23,"FWHK_S1",0,"WHK","adult",1
24,"FWHK_S1",0,"WHK","adult",1
25,"FWHK_S1",0,"WHK","adult",1
26,"FWHK_S1",0,"WHK","adult",1
27,"FWHK_S1",0,"WHK","adult",1
28,"FWHK_S1",0,"WHK","adult",1
29,"FWHK_S1",0,"WHK","adult",1
0,"FWHK_S2",0,"WHK","adult",2
1,"FWHK_S2",0,"WHK","adult",2
2,"FWHK_S2",0,"WHK","adult",2
3,"FWHK_S2",0.003,"WHK","adult",2
4,"FWHK_S2",0,"WHK","adult",2
5,"FWHK_S2",0,"WHK","adult",2
6,"FWHK_S2",0.006,"WHK","adult",2
7,"FWHK_S2",0,"WHK","adult",2
8,"FWHK_S2",0,"WHK","adult",2
9,"FWHK_S2",0.002,"WHK","adult",2
10,"FWHK_S2",0.003,"WHK","adult",2
11,"FWHK_S2",0.129,"WHK","adult",2
12,"FWHK_S2",0.009,"WHK","adult",2
13,"FWHK_S2",0.001,"WHK","adult",2
14,"FWHK_S2",0.007,"WHK","adult",2
15,"FWHK_S2",0.01,"WHK","adult",2
16,"FWHK_S2",0.049,"WHK","adult",2
17,"FWHK_S2",0.004,"WHK","adult",2
18,"FWHK_S2",0.006,"WHK","adult",2
19,"FWHK_S2",0.372,"WHK","adult",2
20,"FWHK_S2",0.239,"WHK","adult",2
21,"FWHK_S2",0.048,"WHK","adult",2
22,"FWHK_S2",0.112,"WHK","adult",2
23,"FWHK_S2",0,"WHK","adult",2
24,"FWHK_S2",0,"WHK","adult",2
25,"FWHK_S2",0,"WHK","adult",2
26,"FWHK_S2",0,"WHK","adult",2
27,"FWHK_S2",0,"WHK","adult",2
28,"FWHK_S2",0,"WHK","adult",2
29,"FWHK_S2",0,"WHK","adult",2
0,"FWHK_S3",0,"WHK","adult",3
1,"FWHK_S3",0,"WHK","adult",3
2,"FWHK_S3",0,"WHK","adult",3
3,"FWHK_S3",0.003,"WHK","adult",3
4,"FWHK_S3",0,"WHK","adult",3
5,"FWHK_S3",0,"WHK","adult",3
6,"FWHK_S3",0.006,"WHK","adult",3
7,"FWHK_S3",0,"WHK","adult",3
8,"FWHK_S3",0,"WHK","adult",3
9,"FWHK_S3",0.002,"WHK","adult",3
10,"FWHK_S3",0.003,"WHK","adult",3
11,"FWHK_S3",0.129,"WHK","adult",3
12,"FWHK_S3",0.009,"WHK","adult",3
13,"FWHK_S3",0.001,"WHK","adult",3
14,"FWHK_S3",0.007,"WHK","adult",3
15,"FWHK_S3",0.01,"WHK","adult",3
16,"FWHK_S3",0.049,"WHK","adult",3
17,"FWHK_S3",0.004,"WHK","adult",3
18,"FWHK_S3",0.006,"WHK","adult",3
19,"FWHK_S3",0.372,"WHK","adult",3
20,"FWHK_S3",0.239,"WHK","adult",3
21,"FWHK_S3",0.048,"WHK","adult",3
22,"FWHK_S3",0.112,"WHK","adult",3
23,"FWHK_S3",0,"WHK","adult",3
24,"FWHK_S3",0,"WHK","adult",3
25,"FWHK_S3",0,"WHK","adult",3
26,"FWHK_S3",0,"WHK","adult",3
27,"FWHK_S3",0,"WHK","adult",3
28,"FWHK_S3",0,"WHK","adult",3
29,"FWHK_S3",0,"WHK","adult",3
0,"FWHK_S4",0,"WHK","adult",4
1,"FWHK_S4",0,"WHK","adult",4
2,"FWHK_S4",0,"WHK","adult",4
3,"FWHK_S4",0,"WHK","adult",4
4,"FWHK_S4",0,"WHK","adult",4
