"Code","Name","LongName","missing_cohorts","tot.biomass","tot.bio.SE","tot.abundance","tot.abund.SE","init.biomass.tonnes","init.numbers","group.scale.fract","q","tot.abundance.adj","new.init.scalar"
"MEN","Menhaden","Atlantic menhaden",2,33062.2149092456,24747.0926164918,124591,78468.2855216728,2694.32677,51806628.3217801,0.399903186316608,0.05,6231058.1292223,0.120275307061484
"MPF","Mesopelagic_Mig_Fish","Migratory mesopelagic fish ",2,111082.601191708,53826.2189514864,85799806.7,40793182.0524622,33.3835947,20251102.4100256,0.399903186303291,0.175,1226008260.26539,60.5403219756789
"OHK","Offshore_Hake","Offshore hake",2,685296.054343276,347915.399950923,1410532.09090909,667441.809693052,407.633297,1594292.46962277,0.399903006816326,0.142,24839334.575019,15.5801617634789
"OPT","Ocean_Pout","Ocean pout",2,1701142.94810411,523379.616259684,3989839.36363636,1154569.28199893,28313.2843,47523722.3879893,0.399903006816326,0.15,66513451.1057224,1.39958420265775
"PLA","Plaice","American plaice",2,9603739.35997426,1516197.04612195,34678738.9090909,6928250.4650079,18436.75056,49994968,0.399902966234522,0.267,324786081.197366,6.4963754191695
"POL","Pollock","Pollock",2,27313205.8882206,4523572.55391251,9014161.81818182,1733083.68620546,120956.7859,39239512,0.3999032658714,0.142,158738420.567215,4.04537193447297
"POR","Porbeagle_Shark","Porbeagle shark",2,3145383.79821772,3145383.79821772,34949,34948.7088690858,2309.321877,54491.23445143,0.399903186323542,0.175,499392.298582481,9.16463544292811
"PSH","Pelagic_Shark","Other pelagic sharks",2,1082814.5232149,609194.449388186,101515.125,49981.4717508105,6757.40206,54491.23445143,0.399903186323542,0.175,1450567.15827743,26.6201926397973
"RED","Redfish","Acadian redfish",2,41435061.4168959,13766883.2627165,133183506.727273,39472092.5087986,11948.74027,292013939,0.399903238865594,0.334,997123742.444933,3.41464433464915
"REP","Turtle","Marine turtles",2,1805895.12699259,1523016.56790093,25131.4285714286,20832.1844614363,1158.843574,11946.992414589,0.399903186314307,0.175,359107.324422357,30.0583872459679
"RHK","Red_Hake","Red hake",2,11348294.8551553,2268313.81642888,56191849.5454545,12386882.4012487,34783.2885,61541849,0.399903243076106,0.199,706098557.919802,11.4734699946991
"SAL","Atlantic_Salmon","Atlantic salmon",2,3696.02834114611,3696.02834114611,18480,18480.1417057306,6789418.2,1271368134.22309,0.399903186319577,0.175,264063.912498089,0.000207700590717931
"SCU","Scup","Scup",2,2540651.32230026,1328542.25759088,69308034.5454545,51385404.525474,3916.77798,14112177.8618477,0.399903006816326,0.15,1155414077.31546,81.8735484080827
"SDF","Atlantic_States_Demersals","Atlantic states demersal fish",2,3456.64242276119,3456.64242276119,16758.5,16758.5160609623,2512804.16,1271368134.22309,0.399903186319577,0.175,239465.10160169,0.000188352291642124
"SHK","Silver_Hake","Silver hake",2,21516131.2880638,3301584.97653581,226608175.181818,45388837.7217964,124594.872,873104339,0.399903005177941,0.142,3990548205.25839,4.5705284317209
"SK","Skate","Northeast skate complex",2,29496530.1339807,1041869.1811933,11246758.7272727,391508.050307559,64602.9994,75041032,0.399902922443817,0.144,195303626.901073,2.6026244801787
"SMO","Smooth_Dogfish","Smooth dogfish",2,6407491.75478075,1844638.9533301,2501487.875,673288.394716402,10321.7549,2872194,0.399902652815235,0.199,31433376.9497486,10.9440298774208
"SSH","Sandbar_Shark","Sandbar shark",2,705695.845491078,389971.702223129,73059.5,35908.3241728073,119369.26387,7450024.8198495,0.399903186297423,0.199,918055.115360084,0.123228464006464
"STB","Striped_Bass","Striped Bass",2,237374.520143005,143267.82499743,73932.5,56385.2388065058,2297547.68,1271368134.22309,0.399903186319577,0.175,1056434.26465179,0.000830942852989904
"SUF","Summerflounder","Summer flounder",2,1378260.10172352,390380.053663943,2006479.90909091,503308.05634042,2036.19315,938853.207077405,0.399903006816326,0.199,25213147.7924925,26.8552608676489
"TAU","Tautog","Tautog",2,88549.3027499338,83284.4670036899,119106,110267.535905815,159.0508499,355984.615438016,0.399903006816326,0.15,1985581.46967047,5.57771707978823
"TUN","Tunas","Other tunas",2,37250.138738136,37250.138738136,18813,18813.201382897,663.84704,47759.043756438,0.399903186356478,0.175,268822.207000441,5.62871837156923
"TYL","Tilefish","Tilefish",2,336313.929793399,309456.768394771,75559.75,65612.6117430652,202.723635,91541,0.399908237838783,0.1475,1280967.58969976,13.9933755333649
"WHK","White_Hake","White hake",2,40029601.6366696,3012288.41401906,34703152.1818182,2822513.39372925,80218.7,129868303,0.39990301559573,0.142,611119161.686102,4.70568373936558
"WIF","Winterflounder","Winter flounder",2,15722580.2408685,1983331.58565567,29621472.7272727,4192347.28293598,34146.6283,18020299.3794074,0.399903006816326,0.267,277421883.630528,15.3949652993862
"WPF","Windowpane","Windowpane flounder",2,2782570.74936333,668238.706275431,17011413.8181818,5354481.15004273,6390.93293,32058752.2292145,0.399903006816326,0.267,159321533.676253,4.96967357110882
"WSK","Winter_Skate","Winter skate",2,12935224.2273835,2628829.11557811,9137246.90909091,2120844.68964856,40866.90176,10489853,0.399902648778777,0.144,158671375.968943,15.1261772656817
"WTF","Witchflounder","Witch flounder",2,6382954.48569625,1187788.71451257,9874844.09090909,1907094.73194684,8797.88075,44373724.6441188,0.399903006816326,0.267,92483512.6693586,2.08419539741332
"YTF","Yellowtail_Flounder","Yellowtail flounder",2,21924954.1742976,4841500.23917498,86733005.2727273,20574271.1566159,88958.519,503956956,0.399903000842794,0.267,812303772.896554,1.61185149490536
