|Code|Functional_Group|Species|Scientific_Name|SVSPP|NESPP3|Species_Itis|isFishedSpecies|
|MAK|Atlantic mackerel|Atlantic mackerel|SCOMBER SCOMBRUS|121|212|172414|TRUE|
|MB|Microphtybenthos|Microphtybenthos|NA|NA|NA|NA|FALSE|
|MEN|Atlantic menhaden|Atlantic menhaden|BREVOORTIA|36|221|161731|TRUE|
|MPF|Migratory mesopelagic fish|Lanternfish|MYCTOPHIDAE|56|655|162575|FALSE|
|MPF|Migratory mesopelagic fish|Weitzmans pearlsides|NA|229|NA|NA|FALSE|
|NSH|Northern shrimp other pandalids|Northern shrimp and other pandalids|PANDALUS BOREALIS|306|736|96967|FALSE|
|NSH|Northern shrimp other pandalids|Aesop shrimp|NA|297|NA|NA|FALSE|
|NSH|Northern shrimp other pandalids|Bristled longbeak|NA|296|NA|NA|FALSE|
|OHK|Offshore hake|Offshore hake|MERLUCCIUS ALBIDUS|69|508|164793|TRUE|
|OPT|Ocean pout|Ocean pout|ZOARCES AMERICANUS|193|250|630979|TRUE|
|OSH|Other shrimps|Pink shrimp|NA|914|NA|NA|FALSE|
|OSH|Other shrimps|Brown shrimp|NA|913|NA|NA|FALSE|
|OSH|Other shrimps|White shrimp|NA|915|NA|NA|FALSE|
|OSH|Other shrimps|Other penaeids|NA|307|NA|NA|FALSE|
|PB|Pelagic Bacteria|Pelagic Bacteria|NA|NA|NA|NA|FALSE|
|PIN|Pinnipeds|All Pinnipeds|NA|NA|NA|NA|FALSE|
|PL|Diatom|Diatom|NA|NA|NA|NA|FALSE|
|PLA|American plaice|American plaice|HIPPOGLOSSOIDES PLATESSOIDES|102|124|172877|TRUE|
|POL|Pollock|Pollock|POLLACHIUS VIRENS|75|269|164727|TRUE|
|POL|Pollock|Pollock|POLLACHIUS VIRENS|75|270|164727|TRUE|
|POR|Porbeagle shark|Porbeagle shark|LAMNA NASUS|353|481|159911|TRUE|
|PS|Pico-phytoplankton|Pico-phytoplankton|NA|NA|NA|NA|FALSE|
|PSH|Other pelagic sharks|Dusky shark|CARCHARHINUS OBSCURUS|3|484|160268|FALSE|
|PSH|Other pelagic sharks|Great hammerhead|SPHYRNA MOKARRAN|363|386|160515|FALSE|
|PSH|Other pelagic sharks|Shortfin mako|ISURUS OXYRINCHUS|352|355|159924|FALSE|
|PSH|Other pelagic sharks|White shark|CARCHARODON CARCHARIAS|351|480|159903|FALSE|
|PSH|Other pelagic sharks|Blacknose shark|CARCHARHINUS ACRONOTUS|354|503|160304|FALSE|
|PSH|Other pelagic sharks|Silky shark|CARCHARHINUS FALCIFORMIS|355|485|160310|FALSE|
|PSH|Other pelagic sharks|Blacktip shark|CARCHARHINUS LIMBATUS|357|487|160318|FALSE|
|PSH|Other pelagic sharks|Tiger shark|GALEOCERDO CUVIER|358|491|160189|FALSE|
|PSH|Other pelagic sharks|Finetooth shark|CARCHARHINUS ISODON|928|499|160409|FALSE|
|PSH|Other pelagic sharks|Bignose shark|CARCHARHINUS ALTIMUS|929|483|160307|FALSE|
|QHG|Ocean quahog|Ocean quahog|ARCTICA ISLANDICA|409|754|81343|TRUE|
|RCB|Red deep-sea crab|Red deep-sea crab|CHACEON QUINQUEDENS|310|710|620992|TRUE|
|RED|Acadian redfish|Acadian redfish|SEBASTES FASCIATUS|155|240|166774|TRUE|
|REP|Marine turtles|Green seaturtle|CHELONIA MYDAS|951|809|173833|FALSE|
|REP|Marine turtles|Hawksbill seaturtle|ERETMOCHELYS IMBRICATA|953|814|173836|FALSE|
|REP|Marine turtles|Kemp’s Ridley seaturtle|LEPIDOCHELYS KEMPI|954|810|551770|FALSE|
|REP|Marine turtles|Leatherback seaturtle|DERMOCHELYS CORIACEA|952|812|173843|FALSE|
|REP|Marine turtles|Loggerhead seaturtle|CARETTA CARETTA|950|813|173830|FALSE|
|REP|Marine turtles|Olive Ridley seaturtle|LEPIDOCHELYS OLIVACEA|NA|818|173840|FALSE|
|REP|Marine turtles|Turtles unclassified|TESTUDINES|NA|816|173749|FALSE|
|RHK|Red hake|Red hake|UROPHYCIS CHUSS|77|152|164730|TRUE|
|RWH|Right whales|Right whales|NA|NA|NA|NA|TRUE|
|SAL|Atlantic salmon|Atlantic salmon|SALMO SALAR|894|305|161996|TRUE|
|SB|Seabirds|Seabirds|NA|NA|NA|NA|TRUE|
|SCA|Sea scallop|Sea scallop|PLACOPECTEN MAGELLANICUS|401|800|79718|TRUE|
|SCU|Scup|Scup|STENOTOMUS CHRYSOPS|143|329|169182|TRUE|
