"pred.names","MAK","HER","WHK","BLF","WPF","SUF","WIF","WTF","FOU","HAL","PLA","FLA","BFT","TUN","BIL","MPF","BUT","BPF","ANC","GOO","MEN","FDE","COD","SHK","OHK","POL","RHK","BSB","SCU","TYL","RED","OPT","SAL","DRM","STB","TAU","WOL","SDF","FDF","HAD","YTF","DOG","SMO","SSH","DSH","BLS","POR","PSH","WSK","LSK","SK","SB","PIN","REP","RWH","BWH","SWH","TWH","INV","LSQ","ISQ","SCA","QHG","CLA","BFF","BG","LOB","RCB","BMS","NSH","OSH","ZL","BD","MA","MB","SG","BC","ZG","PL","DF","PS","ZM","ZS","PB","BB","BO","DL","DR","DC","DLsed","DRsed","DCsed"
"2SUF1","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0.06","0.075","0.025","0.025","0","0.025","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.05","0.05","0","0","0","0.015","0.01","0","0.005","0.01","0.18","0.06","1e-05","0.1","0","0","0","0.0025","0","0","0","0","0","0","0","0","0.025","0","0","0","0","0","0"
"1SUF2","0","0.0405","0","0","0","0","0","0","0","0","0","0.1","0","0","0","0.045","0.075","0.06","0.06","0","0.135","0.065","0","0","0","0","0","0","0.18","0","0","0","0","0.05625","0","0","0","0","0.1125","0","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.05","0.05","0","0","0","0.015","0.01","0","0.005","0.01","0.18","0.06","1e-04","0.1","0","0","0","0.005","0","0","0","0","0","0","0","0","0.025","0","0","0","0","0","0"
"2SUF2","0","0.0405","0","0","0","0","0","0","0","0","0","0.1","0","0","0","0.045","0.075","0.075","0.075","0","0.0325","0.065","0","0","0","0","0","0","0.01","0","0","0","0","0","0","0","0","0","0.12","0","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.05","0.05","0","0","0","0.015","0.01","0","0.005","0.01","0.18","0.06","1e-05","0.1","0","0","0","0.0025","0","0","0","0","0","0","0","0","0.025","0","0","0","0","0","0"
"1WIF1","0.06","0.01","0.01","0","0","0","0","0","0","0","0","0.1299239","0","0","0","0.05","0.09","0.025","0.025","0","0.025","0.025","0","0","0","0","0","0","0.1","0","0","0","0","0.05","0","0","0","0.1","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.05","0.05","0","0","0","0.01","0.015","0.00025","0.005","0.01","0.18","0.09","5e-05","0.054","0","0","0","0.0025","0.036","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2WIF1","0.06","0.01","0","0","0","0","0","0","0","0","0","0.15","0","0","0","0.05","0.09","0.025","0.025","0","0.025","0.025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.09","0.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.05","0.05","0","0","0","0.01","0.015","0","0.01","0.01","0.18","0.09","1e-05","0.054","0","0","0","0.0025","0.036","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1WIF2","0.025","0.03","0","0","0","0","0","0","0","0","0","0.05","0","0","0","0.02","0.09","0.06","0.06","0","0.0325","0.065","0","0","0","0","0","0","0.1125","0","0","0","0","0.05625","0","0","0","0.1125","0.1125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0.05","0.05","0","0","0","0.01","0.015","0.00025","0.005","0.015","0.18","0.09","5e-05","0.054","0","0","0","0.005","0.036","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2WIF2","0.025","0.03","0","0","0","0","0","0","0","0","0","0.05","0","0","0","0.02","0.09","0.075","0.075","0","0.0325","0.065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.12","0.12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.05","0.05","0","0","0","0.01","0.015","0","0","0.01","0.18","0.09","1e-05","0.054","0","0","0","0.0025","0.036","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1WTF1","0","0.01","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0.05","0.1875","0.025","0.025","0","0.025","0.025","0","0","0","0","0","0","0","0","0","0","0","0.05","0.1","0.1","0","0.1","0.1","0.2","0.125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1125","0.05","0.05","0","0","0","0.0375","0.015","0.0025","0.01","0.01","0.03","0.03375","0.000188","0.0375","0","0","0","0.0025","0.015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2WTF1","0.05","0.01","0.05","0","0","0","0","0","0","0","0","0","0","0","0","0.05","0.1875","0.025","0.025","0","0.025","0.025","0","0.05","0.05","0","0.05","0","0","0","0","0","0","0","0","0","0","0.09","0.09","0","0.05","0","0","0","0","0","0","0","0.025","0.05","0.05","0","0","0","0","0","0","0","0.1125","0.05","0.05","0","0","0","0.0375","0.015","0.002","0.01","0.01","0.03","0.03375","1.5e-05","0.0375","0","0","0","0.0025","0.015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1WTF2","0.05","0.085","0.17","0.15","0.05","0.05","0.05","0.05","0.05","0","0.05","0.05","0","0","0","0.02","0.1875","0.06","0.06","0","0.0325","0.065","0.01","0.1285","0.1125","0.1125","0.1125","0.1125","0.1125","0.1125","0.1125","0.1125","0","0.05625","0.1125","0.1125","0","0.1125","0.1125","0.2","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1125","0.05","0.05","0","0","0","0.0375","0.015","0.0025","0.01","0.01","0.03","0.03375","0.000188","0.0375","0","0","0","0.005","0.015","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
