"pred.names","prey.names","Bio_JC.pprey","Bio_Orig.pprey","Bio_RG.pprey"
"ZL","RCB",0,0.08,0.08
"BC","RCB",0.0025,0.01,0.0025
"1BUT1","BMS",0,0.25,0
"1BUT2","BMS",0,0.2,0
"1BPF2","BMS",0,0.2,0
"1FDF2","BMS",0.1,0.15,0.1
"2FDF2","BMS",0.1,0.15,0.1
"1DOG1","BMS",0.02,0.1,0.02
"2DOG1","BMS",0.02,0.1,0.02
"1DOG2","BMS",0.02,0.1,0.02
"2DOG2","BMS",0.02,0.1,0.02
"1NSH1","BMS",0,0.05625,0
"2NSH1","BMS",0,0.05625,0
"1NSH2","BMS",0,0.05625,0
"2NSH2","BMS",0,0.05625,0
"LOB","BMS",0.001,0.15,0.001
"RCB","BMS",0.001,0.1125,0.001
"BMS","BMS",0.01,0.05,0.01
"ZL","BMS",0,0.08,0.08
"BC","BMS",0.01,0.05,0.01
"1SSH1","NSH",0.05,0,0
"2SSH1","NSH",0.05,0,0
"1SSH2","NSH",0.05,0,0
"2SSH2","NSH",0.05,0,0
"1DSH1","NSH",0.01,0.05625,0.05625
"2DSH1","NSH",0.01,0.05625,0.05625
"1DSH2","NSH",0.01,0.05625,0.05625
"2DSH2","NSH",0.01,0.05625,0.05625
"1NSH1","NSH",0,0.225,0
"2NSH1","NSH",0,0.225,0
"1NSH2","NSH",0,0.225,0
"2NSH2","NSH",0,0.225,0
"1OSH1","NSH",0,0.225,0
"2OSH1","NSH",0,0.225,0
"1SSH1","OSH",0.05,0,0
"2SSH1","OSH",0.05,0,0
"1SSH2","OSH",0.05,0,0
"2SSH2","OSH",0.05,0,0
"1DSH1","OSH",0.01,0.01125,0.01125
"2DSH1","OSH",0.01,0.01125,0.01125
"1DSH2","OSH",0.01,0.01125,0.01125
"2DSH2","OSH",0.01,0.01125,0.01125
"1MAK1","ZL",0.05,0.1,0.1
"2MAK1","ZL",0.05,0.1,0.1
"1MAK2","ZL",0.05,0.1,0.1
"2MAK2","ZL",0.05,0.1,0.1
"1HER1","ZL",0,1e-05,1e-05
"2HER1","ZL",0,1e-05,1e-05
"1HER2","ZL",0,1e-05,1e-05
"2HER2","ZL",0,1e-05,1e-05
"1MPF1","ZL",0,0.1,0.1
"2MPF1","ZL",0,0.1,0.1
"1MPF2","ZL",0,0.1,0.1
"2MPF2","ZL",0,0.1,0.1
"1ANC1","ZL",0.01,1e-05,1e-05
"2ANC1","ZL",0.01,1e-05,1e-05
"1ANC2","ZL",0.01,1e-05,1e-05
"2ANC2","ZL",0.01,1e-05,1e-05
"1MEN1","ZL",0.025,0,0
"2MEN1","ZL",0.025,0,0
"1MEN2","ZL",0.025,0,0
"2MEN2","ZL",0.025,0,0
"1COD1","ZL",0.01,0.035,0.035
"2COD1","ZL",0.01,0.035,0.035
"1COD2","ZL",0.01,0.035,0.035
"2COD2","ZL",0.01,0.035,0.035
"1DOG1","ZL",0.005,0.0375,0.0375
"2DOG1","ZL",0.005,0.0375,0.0375
"1DOG2","ZL",0.005,0.0375,0.0375
"2DOG2","ZL",0.005,0.0375,0.0375
"1WSK1","ZL",0.09,0.18,0.18
"2WSK1","ZL",0.09,0.18,0.18
"1WSK2","ZL",0.09,0.18,0.18
"2WSK2","ZL",0.09,0.18,0.18
"1SK1","ZL",0.04,0.0812014,0.0812014
"2SK1","ZL",0.04,0.0812014,0.0812014
"1SK2","ZL",0.04,0.0812014,0.0812014
"2SK2","ZL",0.04,0.0812014,0.0812014
"SCA","ZL",0.001,1e-04,1e-04
"BFF","ZL",0.01,1e-04,0
"BG","ZL",0.25,0,0
"1ANC2","BD",0.005,0.03428571,0.03428571
"ZL","BD",0,0.1,0.1
"LOB","MB",0,0.05,0
"RCB","MB",0,0.03,0
"1DOG1","SG",0.003375,0,0
"1REP1","SG",0.05,0.2,0.2
"2REP1","SG",0.05,0.2,0.2
"1REP2","SG",0.05,0.2,0.2
"2REP2","SG",0.05,0.2,0.2
"LOB","SG",0.001,0,0
"RCB","SG",0.025,0,0
"BMS","SG",0.0025,0,0
"BC","SG",0.01,0,0
"1DOG1","BC",0.05,0.1,0.1
"2DOG1","BC",0.05,0.1,0.1
"1DOG2","BC",0.05,0.1,0.1
"2DOG2","BC",0.05,0.1,0.1
"LOB","BC",0.125,0.225,0.15
"1MAK1","ZG",0.01,0.1,0.1
"2MAK1","ZG",0.01,0.1,0.1
"1MAK2","ZG",0.01,0.1,0.1
"2MAK2","ZG",0.01,0.1,0.1
"1HAD1","ZG",0.05,0.105,0.105
"2HAD1","ZG",0.05,0.105,0.105
"1HAD2","ZG",0.05,0.105,0.105
"2HAD2","ZG",0.05,0.105,0.105
"1DOG1","ZG",0.005,0.05,0.05
"2DOG1","ZG",0.005,0.05,0.05
"1DOG2","ZG",0.005,0.05,0.05
"2DOG2","ZG",0.005,0.05,0.05
"1WSK1","ZG",0.01,0.042,0.042
"2WSK1","ZG",0.01,0.042,0.042
"1WSK2","ZG",0.01,0.042,0.042
"2WSK2","ZG",0.01,0.042,0.042
"1SK1","ZG",0.03,0.06,0.06
"2SK1","ZG",0.03,0.06,0.06
"1SK2","ZG",0.03,0.06,0.06
"2SK2","ZG",0.03,0.06,0.06
"1REP1","ZG",0.05,0.15,0.15
"2REP1","ZG",0.05,0.15,0.15
"1REP2","ZG",0.05,0.15,0.15
"2REP2","ZG",0.05,0.15,0.15
"LOB","ZG",0.001,0,0
"RCB","ZG",0.025,0.1,0.1
"BMS","ZG",0.0025,0,0
"BC","ZG",0.01,0,0
"1HER1","PL",0,1e-05,1e-05
"2HER1","PL",0,1e-05,1e-05
"1HER2","PL",0,1e-05,1e-05
"2HER2","PL",0,1e-05,1e-05
"1ANC1","PL",0.1,1e-05,1e-05
"2ANC1","PL",0.1,1e-05,1e-05
"1ANC2","PL",0.1,1e-05,1e-05
"2ANC2","PL",0.1,1e-05,1e-05
"SCA","PL",0.001,1e-04,0.3
"QHG","PL",0.1,1e-04,0.1
"CLA","PL",0.1,1e-04,0.1
"BFF","PL",0.01,1e-04,1e-04
"BG","PL",0.25,0.1,0.1
"BG","PS",0,0.05,0
"1MAK1","ZM",0.05,0.2,0.2
"2MAK1","ZM",0.02,0.2,0.2
"1MAK2","ZM",0.01,0.1,0.1
"2MAK2","ZM",0.01,0.1,0.1
"1HER1","ZM",0.05,0.2,0.2
"2HER1","ZM",0.05,0.2,0.2
"1HER2","ZM",0.05,0.2,0.2
"2HER2","ZM",0.05,0.2,0.2
"1WIF1","ZM",0.05,0.1,0.1
"2WIF1","ZM",0.05,0.1,0.1
"BD","ZM",0,5.5e-05,5.5e-05
"BO","ZM",0,0.0026,0.0026
"1HER1","ZS",0.01,0.1,0.1
"2HER1","ZS",0.01,0.1,0.1
"1HER2","ZS",0.01,0.1,0.1
"2HER2","ZS",0.01,0.1,0.1
"1MEN1","ZS",0.02,0.04,0.04
"2MEN1","ZS",0.02,0.04,0.04
"1MEN2","ZS",0.02,0.04,0.04
"2MEN2","ZS",0.02,0.04,0.04
"ZS","ZS",0.001,0.01,0.01
"ZL","BO",0,0.05,0.05
"ZM","BO",0,0.05,0.05
"1HER1","DL",0,1e-05,1e-05
"2HER1","DL",0,1e-05,1e-05
"1HER2","DL",0,1e-05,1e-05
"2HER2","DL",0,1e-05,1e-05
"1MPF1","DL",0,1e-04,1e-04
"2MPF1","DL",0,1e-04,1e-04
"1MPF2","DL",0,1e-04,1e-04
"2MPF2","DL",0,1e-04,1e-04
"SCA","DL",0.001,1e-04,0.001
"BFF","DL",0.01,1e-04,0.01
"BG","DL",0.25,0,0.25
"SCA","DR",0.001,1e-04,0.001
"BFF","DR",0.01,1e-04,0.01
"BG","DR",0.01,0,0.01
"1DOG1","DC",0.05,0.1,0.1
"2DOG1","DC",0.05,0.1,0.1
"1DOG2","DC",0.05,0.1,0.1
"2DOG2","DC",0.05,0.2,0.2
"LOB","DC",0.125,0.1,0.125
"SCA","DLsed",0.001,1e-04,0.001
"BFF","DLsed",0.01,1e-04,0.01
"LOB","DLsed",0.125,0.1,0.125
"SCA","DRsed",0.001,1e-04,0.001
"BFF","DRsed",0.01,1e-04,0.01
"LOB","DRsed",0.125,0.1,0.125
"ZM","DRsed",0,0.01,0.01
"ZS","DRsed",0,0.05,0.05
"LOB","DCsed",0.125,0.1,0.125
