pred.names,prey.names,Bio_JC.pprey,Bio_Orig.pprey,Bio_RG.pprey,"Version (R,J,O?)"
2WIF2,ZL,1.00E-04,0.03,0.005,
1FOU1,ZL,0.001,0.1,0.01,
2FOU1,ZL,1.00E-04,0.1,0.01,
1FOU2,ZL,0.001,0.1,0.01,
2FOU2,ZL,1.00E-04,0.1,0.01,
1PLA1,ZL,0.0015,0.12,0.012,
2PLA1,ZL,0.0015,0.12,0.012,
1PLA2,ZL,0.0015,0.12,0.012,
2PLA2,ZL,0.0015,0.12,0.012,
1FLA1,ZL,0.0012,0.12,0.012,
2FLA1,ZL,0.00015,0.12,0.012,
1FLA2,ZL,0.0012,0.12,0.012,
2FLA2,ZL,0.00015,0.12,0.012,
2BFT1,ZL,0.003,0.15,0.06,
2BFT2,ZL,0.003,0.15,0.06,
2TUN1,ZL,0.05,0.15,0.06,
2TUN2,ZL,0.05,0.15,0.06,
1BUT1,ZL,0.001,0.1,0.01,
2BUT1,ZL,0.001,0.1,0.01,
1BUT2,ZL,0.001,0.1,0.01,
2BUT2,ZL,0.001,0.1,0.01,
1BPF1,ZL,0.001,0.1,0.01,
2BPF1,ZL,1.00E-04,0.1,0.01,
1BPF2,ZL,0.001,0.1,0.01,
2BPF2,ZL,1.00E-04,0.1,0.01,
1ANC1,ZL,5.00E-04,1.00E-05,0.01,
2ANC1,ZL,5.00E-04,1.00E-05,0.01,
1ANC2,ZL,5.00E-04,1.00E-05,0.01,
2ANC2,ZL,5.00E-04,1.00E-05,0.01,
1MEN1,ZL,0.001,0,0.025,
2MEN1,ZL,0.001,0,0.025,
1MEN2,ZL,0.001,0,0.025,
2MEN2,ZL,0.001,0,0.025,
1FDE1,ZL,0.001,0.1,0.01,
2FDE1,ZL,1.00E-04,0.1,0.01,
1FDE2,ZL,0.001,0.1,0.01,
2FDE2,ZL,1.00E-04,0.1,0.01,
1COD1,ZL,0.000125,0.035,0.0025,
2COD1,ZL,0.000125,0.035,0.0025,
1COD2,ZL,0.000125,0.035,0.0025,
2COD2,ZL,0.000125,0.035,0.0025,
1POL1,ZL,0.001,0.1,0.01,
2POL1,ZL,0.001,0.1,0.01,
1POL2,ZL,0.001,0.1,0.01,
2POL2,ZL,0.001,0.1,0.01,
1TYL1,ZL,0.001,0.19,0.02,
2TYL1,ZL,1.00E-04,0.19,0.02,
1TYL2,ZL,0.001,0.19,0.02,
2TYL2,ZL,1.00E-04,0.19,0.02,
1RED1,ZL,0.001,0.1,0.01,
2RED1,ZL,1.00E-04,0.1,0.01,
1RED2,ZL,0.001,0.1,0.01,
2RED2,ZL,1.00E-04,0.1,0.01,
1HAD1,ZL,0.001,0.045,0.01,
2HAD1,ZL,1.00E-04,0.045,0.01,
1HAD2,ZL,0.001,0.045,0.01,
2HAD2,ZL,1.00E-04,0.045,0.01,
1YTF1,ZL,0.001,0.1,0.01,
2YTF1,ZL,1.00E-04,0.1,0.01,
1YTF2,ZL,0.001,0.1,0.01,
2YTF2,ZL,1.00E-04,0.1,0.01,
1DOG1,ZL,5.00E-04,0.0375,0.005,
2DOG1,ZL,1.00E-04,0.0375,0.005,
1DOG2,ZL,5.00E-04,0.0375,0.005,
2DOG2,ZL,1.00E-04,0.0375,0.005,
1DSH1,ZL,0.00125,0.05,0.025,
2DSH1,ZL,1.00E-04,0.05,0.025,
1DSH2,ZL,0.00125,0.05,0.025,
2DSH2,ZL,1.00E-04,0.05,0.025,
1WSK1,ZL,5.00E-04,0.18,0.01,
2WSK1,ZL,5.00E-04,0.18,0.01,
1WSK2,ZL,5.00E-04,0.18,0.01,
2WSK2,ZL,5.00E-04,0.18,0.01,
1LSK1,ZL,0.003375,0.0812014,0.01,
2LSK1,ZL,0.003375,0.0812014,0.01,
1LSK2,ZL,0.003375,0.0812014,0.01,
2LSK2,ZL,0.003375,0.0812014,0.01,
1SK1,ZL,5.00E-04,0.0812014,0.005,
2SK1,ZL,5.00E-04,0.0812014,0.005,
1SK2,ZL,5.00E-04,0.0812014,0.005,
2SK2,ZL,5.00E-04,0.0812014,0.005,
1SB1,ZL,0.003375,0.1,0.001,
2SB1,ZL,0.003375,0.1,0.001,
1SB2,ZL,0.003375,0.1,0.001,
2SB2,ZL,0.003375,0.1,0.001,
1REP1,ZL,0,0.05625,0.025,
2REP1,ZL,0,0.05625,0.025,
1REP2,ZL,0,0.05625,0.025,
2REP2,ZL,0,0.05625,0.025,
ZL,ZL,0,0.001,1.00E-05,
1ANC2,BD,0.05,0.03428571,0.005,
ZL,PL,0.2,0.01,0.15,
1MAK1,ZM,0.03,0.2,0.025,
2MAK1,ZM,0.015,0.2,0.01,
1MAK2,ZM,0.01,0.1,0.005,
2MAK2,ZM,0.01,0.1,0.005,
1HER1,ZM,0.005,0.2,0.01,
2HER1,ZM,0.005,0.2,0.01,
1HER2,ZM,0.005,0.2,0.01,
2HER2,ZM,0.005,0.2,0.01,
1SUF1,ZM,0.01,0.03,0.0015,
2SUF1,ZM,0.01,0.036,0.0015,
1ANC1,ZM,0.04,0.1,0.025,
2ANC1,ZM,0.04,0.1,0.025,
1ANC2,ZM,0.04,0.1,0.025,
2ANC2,ZM,0.04,0.1,0.025,
1MEN1,ZM,0.04,0.05,0.025,
2MEN1,ZM,0.04,0.05,0.025,
1MEN2,ZM,0.04,0.05,0.025,
2MEN2,ZM,0.04,0.05,0.025,
ZL,ZM,0.2,0.133,0.065,
ZG,ZM,0.001,0.05,0.025,
1HER1,ZS,0.001,0.1,0.0025,
2HER1,ZS,0.001,0.1,0.0025,
1HER2,ZS,0.001,0.1,0.0025,
2HER2,ZS,0.001,0.1,0.0025,
1MEN1,ZS,0.02,0.04,0.01,
2MEN1,ZS,0.02,0.04,0.01,
1MEN2,ZS,0.02,0.04,0.01,
2MEN2,ZS,0.02,0.04,0.01,
BFF,DR,1.00E-04,0.01,0.001,
