"agecl","box","measurement","Code"
1,"21",41068.4641757357,"BFT"
2,"21",16414.2806297772,"BFT"
3,"21",49784.1856483198,"BFT"
4,"21",34016.3996476508,"BFT"
5,"21",24303.7013486237,"BFT"
6,"21",18610.4618273243,"BFT"
7,"21",11635.6611400128,"BFT"
8,"21",8409.77156932859,"BFT"
9,"21",5487.34753402938,"BFT"
10,"21",1625.70822527696,"BFT"
1,"22",41068.4641757357,"BFT"
2,"22",16414.2806297772,"BFT"
3,"22",49784.1856483198,"BFT"
4,"22",34016.3996476508,"BFT"
5,"22",24303.7013486237,"BFT"
6,"22",18610.4618273243,"BFT"
7,"22",11635.6611400128,"BFT"
8,"22",8409.77156932859,"BFT"
9,"22",5487.34753402938,"BFT"
10,"22",1625.70822527696,"BFT"
1,"23",0,"BFT"
2,"23",0,"BFT"
3,"23",0,"BFT"
4,"23",0,"BFT"
5,"23",0,"BFT"
6,"23",0,"BFT"
7,"23",0,"BFT"
8,"23",0,"BFT"
9,"23",0,"BFT"
10,"23",0,"BFT"
1,"24",0,"BFT"
2,"24",0,"BFT"
3,"24",0,"BFT"
4,"24",0,"BFT"
5,"24",0,"BFT"
6,"24",0,"BFT"
7,"24",0,"BFT"
8,"24",0,"BFT"
9,"24",0,"BFT"
10,"24",0,"BFT"
1,"25",0,"BFT"
2,"25",0,"BFT"
3,"25",0,"BFT"
4,"25",0,"BFT"
5,"25",0,"BFT"
6,"25",0,"BFT"
7,"25",0,"BFT"
8,"25",0,"BFT"
9,"25",0,"BFT"
10,"25",0,"BFT"
1,"26",0,"BFT"
2,"26",0,"BFT"
3,"26",0,"BFT"
4,"26",0,"BFT"
5,"26",0,"BFT"
6,"26",0,"BFT"
7,"26",0,"BFT"
8,"26",0,"BFT"
9,"26",0,"BFT"
10,"26",0,"BFT"
1,"27",0,"BFT"
2,"27",0,"BFT"
3,"27",0,"BFT"
4,"27",0,"BFT"
5,"27",0,"BFT"
6,"27",0,"BFT"
7,"27",0,"BFT"
8,"27",0,"BFT"
9,"27",0,"BFT"
10,"27",0,"BFT"
1,"28",0,"BFT"
2,"28",0,"BFT"
3,"28",0,"BFT"
4,"28",0,"BFT"
5,"28",0,"BFT"
6,"28",0,"BFT"
7,"28",0,"BFT"
8,"28",0,"BFT"
9,"28",0,"BFT"
10,"28",0,"BFT"
1,"29",0,"BFT"
2,"29",0,"BFT"
3,"29",0,"BFT"
4,"29",0,"BFT"
5,"29",0,"BFT"
6,"29",0,"BFT"
7,"29",0,"BFT"
8,"29",0,"BFT"
9,"29",0,"BFT"
10,"29",0,"BFT"
1,"0",0,"BIL"
2,"0",0,"BIL"
3,"0",0,"BIL"
4,"0",0,"BIL"
5,"0",0,"BIL"
6,"0",0,"BIL"
7,"0",0,"BIL"
8,"0",0,"BIL"
9,"0",0,"BIL"
10,"0",0,"BIL"
1,"1",34.1364721108427,"BIL"
2,"1",76.4774731392145,"BIL"
3,"1",326.030827749301,"BIL"
4,"1",259.10183912253,"BIL"
5,"1",200.146987025589,"BIL"
6,"1",160.045911988743,"BIL"
7,"1",102.58861041185,"BIL"
8,"1",75.2359141610548,"BIL"
9,"1",49.5215637783466,"BIL"
10,"1",14.7451128127824,"BIL"
1,"2",34.1364721108427,"BIL"
2,"2",76.4774731392145,"BIL"
3,"2",326.030827749301,"BIL"
4,"2",259.10183912253,"BIL"
5,"2",200.146987025589,"BIL"
6,"2",160.045911988743,"BIL"
7,"2",102.58861041185,"BIL"
8,"2",75.2359141610548,"BIL"
9,"2",49.5215637783466,"BIL"
