"Time" "MAK" "HER" "WHK" "BLF" "WPF" "SUF" "WIF" "WTF" "FOU" "HAL" "PLA" "FLA" "BFT" "TUN" "BIL" "MPF" "BUT" "BPF" "ANC" "GOO" "MEN" "FDE" "COD" "SHK" "OHK" "POL" "RHK" "BSB" "SCU" "TYL" "RED" "OPT" "SAL" "DRM" "STB" "TAU" "WOL" "SDF" "FDF" "HAD" "YTF" "DOG" "SMO" "SSH" "DSH" "BLS" "POR" "PSH" "WSK" "LSK" "SK" "SB" "PIN" "RWH" "BWH" "SWH" "TWH" "INV" "LSQ" "ISQ" "SCA" "QHG" "CLA" "BFF" "BG" "LOB" "BMS" "NSH" "OSH" "ZL" "BD" "MA" "MB" "SG" "BC" "ZG"
7300 13963.16823 0 2362.127132 17872.951683 594.666153 9206.486127 1202.242324 569.68018 0 42.961493 998.827744 0 132.515018 77.115093 113.553559 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
7665 13963.16823 0 2362.127132 17872.951683 594.666153 9206.486127 1202.242324 569.68018 0 42.961493 998.827744 0 132.488138 77.10517 113.508908 0 1316.275428 70.320234 0 10199.274097 29483.447904 421.274287 1493.961286 6692.250145 0 4824.074484 1333.722827 2797.14694 5162.23464 524.705429 514.810984 48.965316 0 1364.477863 39.505879 31.960475 0 146.248831 1631.314391 5455.696508 418.757714 9919.431202 426.846698 0 10.210095 0 0 0 8043.469983 8842.635718 3307.819239 0 0 0 0 0 0 0 0 0 7322.903289 14330.947369 16431.782342 34.153488 0 13201.673404 4440.780314 0 0 0 0 0 0 0 0 0
8030 70628.766952 60175.933716 10282.251067 54510.716235 7308.622945 25969.101267 24304.626279 6285.882046 0 131.361653 7267.21237 0 498.11049 77.096028 458.085127 0 6272.483438 123.18353 0 11971.308344 132748.625209 1723.302563 64164.978556 27190.938927 80.939186 23646.3543 6072.283279 3148.926536 14966.528425 1936.314544 4259.817285 4586.545529 0 1768.970829 39.505879 262.472732 1447.004539 177.613207 6191.701845 12708.891801 9257.005711 14487.032109 374.266283 1.308322 10.210095 0 55.569311 1.976048 8043.469983 9017.382679 3905.793282 0 0 0 0 0 0 0 0 0 6683.946932 20609.444973 22367.181245 530.431986 0 11722.842718 2722.634804 0 0 0 0 0 0 0 0 0
8395 68798.390766 68065.780473 10856.243402 84153.76302 6725.217249 24823.078638 16000.534518 5145.097139 0 107.385756 5097.497962 0 418.155979 239.276729 799.301249 0 6640.91206 109.291162 0 11583.748647 61765.324762 1856.188146 48198.406738 24872.043954 82.291931 26144.322499 7006.737979 3154.805861 17125.035954 1948.905878 3081.785344 4095.686281 0 2030.558599 11.619376 346.02876 1310.271604 216.281457 4789.217794 11092.255868 9660.583714 13249.576037 560.69242 1.330188 10.210095 0 68.3915 1.976055 10428.138418 5418.623436 6919.101207 0 0 0 0 0 0 0 0 0 8626.16444 18891.408695 24331.340313 634.499905 0 13218.023672 2776.678574 0 0 0 0 0 0 0 0 0
8760 80352.875267 77233.655183 11053.470807 73568.698312 5908.697228 23563.785609 16859.56952 3795.854607 0 99.871989 4098.238805 0 414.183783 250.928305 716.363992 0 6722.341165 204.849026 0 11934.055581 101862.813911 2129.128442 52990.201142 21552.900137 82.291931 21000.243134 6701.293629 3154.805861 14033.156276 3208.198908 1912.876106 4806.294538 0 1660.48147 12.454519 391.003511 840.535315 124.426549 5493.822227 9410.859521 7851.599283 13232.463342 426.846698 0.467364 2.193013 0 18.547651 2.36654 10202.258033 12229.284443 6333.458766 0 0 0 0 0 0 0 0 0 14101.076419 21502.928192 21732.799141 516.472641 0 13201.673404 3779.71259 0 0 0 0 0 0 0 0 0
9125 82436.705398 86989.149642 9280.653123 44912.771447 6215.503404 24584.183977 16517.342582 3616.962232 0 107.49361 3777.016262 0 458.340837 219.507158 687.713091 0 4216.98509 446.404064 0 12810.721692 95556.354376 2106.802846 66026.207494 22011.635408 82.291931 16174.13526 6696.06491 3154.805861 11994.101008 1360.243549 1167.928854 4052.724788 0 1428.856469 15.649847 363.896427 757.560315 189.282226 4252.468766 8910.463826 7166.983628 13477.110169 364.399741 2.193013 22.037988 0 82.82306 0.922953 12825.785177 12277.722717 5219.084379 0 0 0 0 0 0 0 0 0 13658.339362 20262.617312 23364.868504 274.989505 0 13569.15886 4440.780314 0 0 0 0 0 0 0 0 0
9490 74138.378492 99897.90982 8509.395462 42994.855365 6093.593427 11224.705611 14152.254882 2368.670221 0 84.592797 2907.252752 0 672.268739 190.125649 817.598348 0 4632.399357 222.644791 0 18446.658379 110707.848282 5646.218685 56828.096536 26518.098272 82.291931 12540.175376 8532.797791 3224.122702 10192.262566 453.738076 708.636702 7794.616884 0 3207.129364 56.0998 460.568773 452.731447 405.671535 5032.534432 6197.811537 11680.456945 21341.004708 752.095757 1.294237 6.471187 0 101.464871 2.650536 11908.314636 16130.738676 4462.494742 0 0 0 0 0 0 0 0 0 14867.660445 22381.427805 21901.697127 436.805136 0 18727.442322 43780.133932 0 0 0 0 0 0 0 0 0
9855 86374.494711 94131.147298 9063.544792 42492.151973 7682.701297 9022.920117 11599.502252 1478.162961 0 88.259803 2969.160443 0 609.949451 275.46377 825.160786 0 3412.077255 447.087133 0 13412.470199 160579.849991 4138.899431 72149.495057 27309.66827 82.291931 10311.361171 7998.960079 3068.677235 10447.634667 873.502419 692.478507 10387.154232 0 2588.615449 315.611304 395.497391 454.744705 604.336982 5314.606292 7376.742488 26451.157435 35764.921466 382.195506 45.190457 10.281997 0 87.840752 14.435968 18865.416093 16129.937411 9270.802538 0 0 0 0 0 0 0 0 0 17577.146526 21123.141405 23925.560924 479.514972 0 22157.702144 54112.930191 0 0 0 0 0 0 0 0 0
10220 72197.453745 104680.225014 9001.24164 38738.252229 7788.613061 12906.746919 11487.543664 1796.006105 0 103.179485 5265.605025 0 570.718737 414.110711 621.446451 0 4493.484539 179.791151 0 16260.871098 126628.91015 3008.059468 67501.097487 20119.711928 30.234825 8693.254113 5355.55201 3171.653956 16555.722834 1188.325676 2121.267799 6179.516412 0 3050.48565 354.863009 502.811245 366.808461 717.438954 6410.106383 8453.386618 11238.690565 27106.796552 589.668958 27.502546 24.231001 0 109.79498 49.295286 13336.505652 13309.542372 9111.898941 0 0 0 0 0 0 0 0 0 17278.28553 22053.626222 20582.437764 695.580722 0 23583.660238 51552.389269 0 0 0 0 0 0 0 0 0
10585 40557.231049 124647.037168 13023.336142 31802.14618 2944.354225 15976.031008 8603.155774 2243.740357 0 94.659088 7070.706743 0 561.617692 331.323931 685.569158 0 7666.703084 90.344964 0 22140.555837 126319.084088 2615.581964 48524.772436 20698.379868 118.602481 8190.534543 10307.766426 2941.481377 12613.885793 1652.058141 985.453957 2003.875019 0 3222.633969 627.155827 458.663368 590.675587 626.303068 7380.784463 8280.802571 9734.535003 36970.251984 1198.212212 55.005091 22.577253 0 142.003222 58.382923 14363.950424 15209.446982 7089.005822 0 0 0 0 0 0 0 0 0 14213.027958 22464.402805 21674.846065 507.916293 0 19718.083954 32506.283249 0 0 0 0 0 0 0 0 0
10950 35907.82685 108391.163265 12781.385643 26927.868226 2457.613094 13339.525539 7746.658197 2603.538366 0 91.171837 5726.677113 0 573.203846 488.118618 710.647734 0 9972.387084 256.798279 0 27246.717999 85611.937202 2787.212229 40745.111184 22697.257692 98.038486 6253.4393 18227.315332 3606.690661 8446.92334 1836.95434 900.50165 1230.316491 0 5353.59124 728.607504 316.477005 555.695225 708.343341 7189.740636 5455.696508 5999.617408 34174.806967 1078.279543 30.881943 15.027535 0 86.556474 27.416612 7628.702835 17878.955507 5002.191755 0 0 0 0 0 0 0 0 0 7322.903289 21901.697127 21934.700182 244.503023 0 20120.737554 62055.30585 0 0 0 0 0 0 0 0 0
11315 36950.263206 85894.764034 8905.791629 24503.258186 1304.26778 15007.581893 5587.870147 2666.488637 0 93.149145 5083.009692 0 132.596899 158.449901 337.176009 0 8310.334553 153.47499 0 24973.965153 52360.6046 2892.908287 26754.979674 22247.510181 113.533384 4741.32274 7340.577179 2466.03103 7417.301372 785.566175 536.713076 804.548324 0 6132.234683 691.933848 198.018328 423.754908 705.107748 8068.384054 6374.280812 6241.496005 29313.543289 1048.404228 12.834521 22.10989 0 61.422064 9.596509 9845.479912 11880.344727 9284.787492 0 0 0 0 0 0 0 0 0 7594.729102 20973.225568 21941.674684 323.954821 0 20988.130565 45691.938337 0 0 0 0 0 0 0 0 0
11680 28402.040621 124363.167756 9000.342864 21245.087333 1919.92934 12475.01088 5714.777318 2207.753366 0 80.602232 4652.244331 0 556.809027 274.796633 295.996481 0 3675.921938 74.706261 0 30328.980414 117474.049716 3381.770529 19111.285256 16604.670894 71.039255 4638.346019 2628.375501 3200.92026 5162.23464 665.633506 644.638098 592.652894 0 6860.043355 1206.091242 138.051994 246.875792 596.967019 6400.795064 2933.819851 2991.306283 34527.630473 1642.171605 22.900812 16.357723 0 75.724172 5.810031 7156.989239 16475.750464 3896.805128 0 0 0 0 0 0 0 0 0 7987.530165 21135.149052 19619.992472 238.894661 0 16601.154035 44883.111839 0 0 0 0 0 0 0 0 0
12045 40299.39019 133257.203395 6444.691284 21301.027151 1771.020132 14725.725739 7326.893854 2084.836761 0 83.694021 4450.379242 0 566.151246 160.454449 113.296315 0 4946.215985 55.831965 0 30297.990617 78955.674048 3664.884969 18445.65175 17043.417386 66.797032 3947.900903 2331.42782 4768.555652 5929.403949 1120.378211 765.577397 588.662329 0 8071.54487 2125.837484 157.429604 372.776334 531.967539 4883.984735 4544.047519 3968.77911 33833.020429 1064.294588 21.714428 12.403109 0 113.860946 5.336461 11987.26312 16954.474513 5173.102999 0 0 0 0 0 0 0 0 0 7881.58245 20108.710909 19823.87082 109.722574 0 20455.334107 42615.679746 0 0 0 0 0 0 0 0 0
12410 38898.162455 144569.84525 5200.533642 24441.278593 1861.940313 13859.233773 7678.67478 1771.020132 0 85.671328 4131.349713 0 599.320677 196.581635 254.28552 0 3580.004563 590.675587 0 30485.870752 44634.94181 2192.294419 19784.899892 16205.901958 22.037988 5277.302774 3609.740747 4010.463981 4091.218645 1808.984431 511.727103 458.73527 0 11277.439675 1262.735701 124.031088 597.650089 286.385985 5285.414048 5000.434827 5369.000216 23429.832034 808.646743 23.080568 21.211114 0 103.324824 9.336215 7229.933899 11815.381198 3937.789313 0 0 0 0 0 0 0 0 0 6229.488358 19627.973603 18661.537745 96.025228 0 24305.577306 32556.183293 0 0 0 0 0 0 0 0 0
12775 34356.719229 128642.779558 3995.634537 24662.161783 926.494252 17069.409988 7247.94537 1846.948729 0 80.134868 3776.800556 0 642.003573 187.160851 222.307742 0 6464.356502 88.870971 0 28464.020214 29483.447904 2748.349155 15483.322005 15819.104719 5.284803 7311.310876 8248.232008 2284.333036 3517.875054 1341.2614 509.713845 312.809999 0 12445.041734 2545.514825 111.66393 299.831674 412.39438 4409.718615 6987.093971 6689.230258 25749.536939 942.168905 36.706012 18.982149 0 101.82447 5.34844 9791.517401 13975.139926 3783.882911 0 0 0 0 0 0 0 0 0 5560.870916 17886.972588 18773.453333 63.633341 0 23847.242378 44322.275615 0 0 0 0 0 0 0 0 0
13140 31980.031926 129424.355168 4147.887191 25619.60988 459.7419 15129.491869 6718.242747 2119.817123 0 83.262609 3343.44672 0 630.083683 195.999024 128.945143 0 12281.09097 91.351593 0 27706.459899 21927.689729 2352.240596 15843.120013 18150.817271 11.791941 6147.448804 6053.477099 2761.816774 4431.412192 524.705429 380.793416 497.706198 0 12792.352148 2301.217442 93.724361 284.84009 392.01014 4325.089867 7391.266708 7813.599034 22121.573688 873.502419 8.268739 22.325596 0 68.704821 9.265626 8486.242992 13276.539317 2978.327958 0 0 0 0 0 0 0 0 0 10112.308531 17376.252114 19590.009304 83.010951 0 25977.090805 43588.119427 0 0 0 0 0 0 0 0 0
13505 25323.768772 125900.326374 5059.497712 27025.83481 639.640904 20134.703511 8623.144552 2437.624316 0 82.975 4478.960318 0 570.342988 152.940179 140.425312 0 5021.173904 91.747054 0 23432.851921 58497.159519 1935.711847 17458.184534 12743.852757 3.738908 5232.894971 4470.119239 3976.150511 7284.077963 505.72328 484.727872 337.795972 0 12226.851636 2622.783676 109.650672 148.909208 408.224059 3708.81714 10261.79727 11318.645678 15312.410761 1000.229835 18.65859 8.62825 0 42.393961 13.063337 9001.960661 13861.21108 5501.911211 0 0 0 0 0 0 0 0 0 14612.803523 14724.71911 19775.912132 96.061179 0 24588.485915 34264.325056 0 0 0 0 0 0 0 0 0
13870 39341.906142 140706.007226 5529.269952 33672.103574 401.788823 15686.193724 9107.872425 3018.305514 0 81.644812 4511.999324 0 660.113899 202.776142 188.920818 0 7708.657948 70.320234 0 35555.039294 52820.346499 1815.779177 23677.714454 12930.726263 1.72565 6236.26441 3285.160737 5072.402338 8328.84143 873.502419 719.596017 460.748529 0 11184.593598 2326.16279 127.55429 123.923235 382.698821 2809.861384 13907.884878 11481.539841 11875.347533 979.557987 29.300098 17.472205 0 23.91329 10.330137 8097.468445 10334.19835 5918.691617 0 0 0 0 0 0 0 0 0 21042.179663 17064.412793 22004.660906 195.573658 0 17938.089818 32824.3421 0 0 0 0 0 0 0 0 0
14235 62926.687158 105037.039086 5536.891572 24955.989633 594.666153 16463.742817 7173.95813 3186.196871 0 35.986991 3545.599418 0 630.518335 197.532234 201.885785 0 3805.848996 82.975 0 26719.999312 40787.101999 540.020572 20333.584665 8401.290684 0.575217 5534.708266 1333.722827 5570.038431 7782.730752 850.529704 498.712827 573.670745 0 9946.984798 1369.597651 155.668003 164.90742 164.871469 3212.225424 15788.154109 8760.082064 11503.541877 1025.107955 61.18867 20.420191 0 12.128523 19.051099 9270.802538 11821.349071 5763.778586 0 0 0 0 0 0 0 0 0 23877.602237 17935.937905 24006.522666 244.718729 0 14682.107276 22555.8263 0 0 0 0 0 0 0 0 0
