pred.names,prey.names,R/J,Bio_JC.pprey,Bio_Orig.pprey,Bio_RG.pprey,final.value
1SHK1,MEN,J,0.035,0.07,0.07,0.07
2SHK1,MEN,J,0.015,0.03,0.03,0.03
1SHK2,MEN,J,0.035,0.07,0.07,0.07
2SHK2,MEN,J,0.015,0.0375,0.0375,0.0375
1RED1,MEN,J,0.045,0.09,0.09,0.09
2RED1,MEN,J,0.025,0.05,0.05,0.05
1RED2,MEN,J,0.025,0.05,0.05,0.05
2RED2,MEN,J,0.025,0.05,0.05,0.05
1MAK1,FDE,J,0.05,0.1,0.1,0.1
1MAK2,FDE,J,0.05,0.1,0.1,0.1
1SHK1,FDE,J,0.035,0.07,0.07,0.07
2SHK1,FDE,J,0.015,0.03,0.03,0.03
1SHK2,FDE,J,0.035,0.07,0.07,0.07
2SHK2,FDE,J,0.015,0.0375,0.0375,0.0375
1BSB1,FDE,J,0.05,0.09,0.09,0.09
2BSB1,FDE,J,0.1,0.25,0.25,0.25
1BSB2,FDE,J,0.05,0.0975,0.0975,0.0975
2BSB2,FDE,J,0.1,0.25,0.25,0.25
1HAD1,FDE,J,0.06,0.12,0.12,0.12
2HAD1,FDE,J,0.06,0.12,0.12,0.12
1HAD2,FDE,J,0.055,0.1125,0.1125,0.1125
2HAD2,FDE,J,0.055,0.1125,0.1125,0.1125
1ANC2,COD,J,0.005,0,0,0
1GOO1,COD,J,0.06,0.12,0.12,0.12
2GOO1,COD,J,0.06,0.12,0.12,0.12
1GOO2,COD,J,0.06,0.12,0.12,0.12
2GOO2,COD,J,0.06,0.12,0.12,0.12
1SHK1,COD,J,0.0015,0.00375,0.00375,0.00375
2SHK1,COD,J,0.001,0.00225,0.00225,0.00225
1SHK2,COD,J,0.002,0.0040625,0.0040625,0.0040625
2SHK2,COD,J,0.0015,0.0035,0.0035,0.0035
2WTF1,SHK,J,0.05,0,0,0
2WTF2,SHK,J,0.06,0,0,0
1GOO1,SHK,J,0.005,0.1,0.1,0.1
2GOO1,SHK,J,0.005,0.1,0.1,0.1
1GOO2,SHK,J,0.005,0.1,0.1,0.1
2GOO2,SHK,J,0.005,0.1,0.1,0.1
1SHK1,SHK,J,0.001,0.106,0.106,0.106
2SHK1,SHK,J,0.001,0.119,0.119,0.119
1SHK2,SHK,J,0.001,0.106,0.106,0.106
2SHK2,SHK,J,0.001,0.2,0.2,0.2
2WTF1,OHK,J,0.05,0,0,0
2WTF2,OHK,J,0.06,0,0,0
1GOO1,OHK,J,0.005,0.081,0.081,0.081
2GOO1,OHK,J,0.005,0.081,0.081,0.081
1GOO2,OHK,J,0.005,0.081,0.081,0.081
2GOO2,OHK,J,0.005,0.081,0.081,0.081
1SHK1,OHK,J,0.025,0.05,0.05,0.05
2SHK1,OHK,J,0.035,0.07,0.07,0.07
1SHK2,OHK,J,0.04,0.08,0.08,0.08
2SHK2,OHK,J,0.005,0.01,0.01,0.01
1HER1,POL,J,0,1.00E-05,1.00E-05,0.00001
2HER1,POL,J,0,1.00E-05,1.00E-05,0.00001
1HER2,POL,J,0,1.00E-05,1.00E-05,0.00001
2HER2,POL,J,0,1.00E-05,1.00E-05,0.00001
1SHK1,POL,J,0.025,0.05,0.05,0.05
2SHK1,POL,J,0.035,0.07,0.07,0.07
1SHK2,POL,J,0.04,0.08,0.08,0.08
2SHK2,POL,J,0.005,0.01,0.01,0.01
SCA,POL,R,0.001,1.00E-04,1.00E-04,0.0001
BFF,POL,R,0.01,1.00E-04,1.00E-04,0.0001
BG,POL,R,0.25,0,0,0
ZM,POL,J,0,0.05,0.05,0.05
